id,term,context,title,agency,classification,explanation
1,racial diversity,", media use, mortality, novel, pandemic disease, patient oriented, population health, predictive modeling, preference, prospective, racial disparity, racial diversity, rapid technique, recruit, response, rural americans, rural area, rural dwellers, social, social media, support tools, synergism, theories, urban are",NA,NIH,POLITICAL,"The term ""racial diversity"" appears alongside ""racial disparity,"" suggesting a focus on social and demographic factors related to race, rather than a purely biological or scientific investigation of race.
"
2,racial diversity,"oved, innovation, interest, mathematical model, member, men who have sex with men, phase iii trial, pill, pre-exposure prophylaxis, racial disparity, racial diversity, resource guides, therapy development, transgender women, underserved community, uptake",NA,NIH,POLITICAL,"The presence of terms like ""racial disparity,"" ""men who have sex with men,"" ""transgender women,"" and ""underserved community"" alongside ""racial diversity"" suggests a focus on social and health equity, indicating a political context related to demographic representation and disparities.
"
3,racial diversity,", insight, minority stress, multiphase optimization strategy, peer, pilot test, primary outcome, programs, provider networks, psychological distress, racial diversity, racial minority, reducing suicide, resilience factor, response, secondary outcome, sex assigned, simulation, social, social determinants, social hea",NA,NIH,POLITICAL,"The term ""racial diversity"" appears alongside terms like ""racial minority,"" ""social determinants,"" and ""minority stress,"" suggesting a focus on social and political factors related to race and inequality.
"
4,racial diversity,"er, physical conditioning, poor health outcome, pre-exposure prophylaxis, prevention service, programs, protective effect, psychologic, psychosocial, racial diversity, reduced substance use, resilience, sex, sexual minority, sexual minority group, sexual minority men, social exclusion, sociocultural determinant, st",NA,NIH,POLITICAL,"The term 'racial diversity' is listed alongside terms related to social groups (sexual minority, sexual minority group, sexual minority men), social factors (social exclusion, sociocultural determinant), and health outcomes, suggesting a focus on disparities and social determinants of health, which often intersect with political and identity-related concerns.
"
5,racial diversity,"peer victimization, physical conditioning, preservation, prospective, protective factors, psychologic, psychosocial, public health priorities, queer, racial diversity, sexual identity, sexual minority, sexual minority group, sexual minority stress, sexual minority youth, social, social norm, stressor, substance use",NA,NIH,POLITICAL,"The term 'racial diversity' appears alongside terms like 'queer,' 'sexual identity,' and 'sexual minority,' suggesting a focus on social identity and underrepresented groups, which aligns with a political context.
"
6,racial diversity,"n, motivational enhancement therapy, novel, peer, pilot test, population based, pre-exposure prophylaxis, prevention service, psychological distress, racial diversity, recruit, response, social health determinants, social media, social stigma, substance use, surveillance data, surveillance study, therapy design, tr",NA,NIH,POLITICAL,"The term ""racial diversity"" is used in the context of a grant that likely aims to address health disparities or improve access to services among different racial groups. This aligns with a broader sociopolitical goal of promoting equity and inclusion. The surrounding terms like ""social health determinants,"" ""social stigma,"" and ""population based"" further suggest a focus on social factors and their impact on health outcomes within diverse communities.
"
7,racial diversity,"tervention, peer, physical conditioning, protective effect, protective factors, psychological distress, psychological symptom, racial discrimination, racial diversity, racism, resilience, sex, social, symptom self management, theories, transgender, transgender women",NA,NIH,POLITICAL,"The presence of terms like ""racial discrimination,"" ""racism,"" and ""transgender women"" alongside ""racial diversity"" strongly suggests a focus on social and political issues related to race and identity.
"
8,racial diversity,", multilevel analysis, national surveillance, neglect, novel, personalized approach, pre-exposure prophylaxis, preventive intervention, psychosocial, racial diversity, recruit, scale up, sex, social, social disparities, structural determinants, substance use, syndemic, transgender women, trend, uptake, violence vic",NA,NIH,POLITICAL,"The term ""racial diversity"" in the context of a grant proposal, particularly when listed alongside terms like ""social disparities,"" ""structural determinants,"" and mentions of specific populations (transgender women), suggests it is being used to address social and political issues related to disparities and representation within research or the target population.
"
9,racial diversity,"inalization, meetings, microaggression, minority stress, minority stressor, nonbinary, outcome disparities, peer, physical conditioning, prospective, racial diversity, racial identity, recruit, resilience factor, sex assigned at birth, sexual violence, social, social stigma, sociodemographics, stressor, suicidal, t",NA,NIH,POLITICAL,"The term 'racial diversity' appears in a list alongside terms related to social issues, identity, and disparities, suggesting a focus on social and political aspects of race rather than a purely scientific or biological one.
"
10,racial diversity,"uation, experience, graduate school, graduate student, high school, interest, junior high school, lectures, meetings, outreach, preference, programs, racial diversity, racial population, role model, senior faculty, skills, social, student mentoring, success, support network, symposium, synergism, undergraduate stud",NA,NIH,POLITICAL,"The surrounding terms like ""outreach,"" ""role model,"" ""student mentoring,"" and ""support network"" suggest the grant focuses on social and representational aspects of diversity, aligning with a political context.
"
11,racial diversity,"ogy, next generation, non-verbal, novel, patient engagement, patient-clinician communication, primary care clinic, prototype, provider communication, racial diversity, recruit, signal processing, simulation, social, tool, visual feedback",NA,NIH,POLITICAL,"The term 'racial diversity' in the context of recruitment and patient/provider communication suggests a focus on addressing disparities and ensuring equitable representation, which falls under social and political considerations.
"
12,racial diversity,"who have sex with men, minority stress, pilot test, pre-exposure prophylaxis, prevention service, preventive intervention, primary outcome, programs, racial diversity, recruit, sex, sexual risk behavior, skills, social, social factors, social stigma, social structure, standard of care, theories, therapy adherence, ",NA,NIH,POLITICAL,"The term 'racial diversity' in the context of a grant proposal focusing on minority stress, social stigma, and populations who have sex with men strongly suggests a focus on social and identity factors, placing it in a political context related to equity and representation.
"
