id,term,context,title,agency,classification,explanation
1,racial identity,"ubgroup, cisgender, climate zone, community engagement, community involvement, contextual factors, diaries, educational atmosphere, experience, gender minority community, gender minority group, health disparity, insight, lens, men, minority stress, nonbinary, novel, protective factors, psychologic, racial identity, racism, recruit, response, rural residence, sexual identity, sexual minority group, social, social media, structural determinants, suicidal, suicidal behavior, suicidal risk, suicide rate, theories, transgender","A Strengths-Based, Intersectional Approach to Suicide Prevention Among Black Sexual and Gender Minority Youth",NIH,SCIENTIFIC,"The term 'racial identity' appears within a list of terms related to a scientific study focusing on suicide prevention among a specific population. Its inclusion alongside terms like 'health disparity,' 'minority stress,' 'protective factors,' and 'suicidal behavior' suggests its use as a variable or factor being considered within the research framework.
"
2,racial identity,"ender diversity, health care service utilization, health difference, health disparity, individual variation, intersectionality, marginalization, meetings, microaggression, minority stress, minority stressor, nonbinary, outcome disparities, peer, physical conditioning, prospective, racial diversity, racial identity, recruit, resilience factor, sex assigned at birth, sexual violence, social, social stigma, sociodemographics, stressor, suicidal, theories, transfeminine, transgender, transmasculine, treatment program",An intersectional approach linking Minority Stressors Experienced by Transgender and Gender Diverse Adults to Alcohol and Drug Use and comorbid Mental and Physical Health Outcomes,NIH,SCIENTIFIC,"The term 'racial identity' appears within a list of terms related to health disparities, minority stress, and sociodemographic factors, all of which are common areas of scientific inquiry, particularly in public health and social sciences. Therefore, it is likely being used in a technical/scientific context within this grant proposal.
"
3,racial identity,", ethnic identity, experience, gender diverse, health disparity, help-seeking behavior, high risk, homonegativity, improved, innovation, lens, marginalized population, mental development, minority health disparity, minority stress, multilevel analysis, novel, prevent, prospective, prospective test, racial identity, racial minority, racism, recruit, sexual assault, sexual minority, sexual minority women, social determinants, social stigma, substance use","Sexual Assault Recovery Among Sexual Minority Women: A Longitudinal, Multi-Level Study",NIH,POLITICAL,"The term ""racial identity"" is listed among other terms like ""ethnic identity,"" ""marginalized population,"" ""racism,"" and ""social stigma,"" suggesting its usage relates to social and political aspects of identity and inequality experienced by the study population.
"
4,racial identity,"ths. we will recruit a sex-balanced community-based sample of autistic people (ages 16-30y) to augment our longitudinal ace cohort with two critical subgroups: ldx and asdgd individuals. we will use intentional sampling and equitable inclusion across assigned sex, gender and gender diversity, ethno-racial identity, and ldx individuals with asd. using a mixed-methods approach, we will identify markers of ldx and examine the interplay between sex and gender in dx timing and well-being outcomes. a sex, gender, and ethnoracially diverse stakeholder team of clinicians, self-advocates, autistic people, and parents",Autism Center of Excellence Network: Neurodevelopmental Biomarkers of Late Diagnosis in Female and Gender Diverse Autism,NIH,POLITICAL,"The term 'ethno-racial identity' is used within the context of equitable inclusion and diversity, specifically in relation to participant recruitment and stakeholder team composition. This suggests a focus on social categories and representation, aligning with a political usage.
"
5,racial identity,"thnic diversity, experience, flexibility, follow-up, gender diverse, health disparity, health equity, health inequalities, improved, innovation, insight, lens, marginalization, multidisciplinary, novel, pandemic disease, perceived discrimination, pressure, racial diversity, racial health disparity, racial identity, resilience factor, sexual identity, social, social determinants, stressor, time use",A Longitudinal Examination of Mechanisms Underlying Intersectional Health Disparities in the United States,NIH,SCIENTIFIC,"The term 'racial identity' appears in a list of keywords related to health disparities, marginalization, and social determinants of health, within the context of a scientific grant proposal. This suggests its usage is related to research on these topics, which falls under a scientific context.
"
6,racial identity,", alcohol use disorder, cost, ethnic identity, fluidity, gender minority group, gender minority health disparity, health data, improved, interest, longitudinal design, modifiable risk, neglect, physical conditioning, polysubstance use, population based, protective factors, public policy on alcohol, racial identity, response, screening, secondary analysis, sexual identity, sexual minority, sexual minority group, sexual minority health, sexual minority women, social, stressor",Sexual Fluidity and Longitudinal Changes in Alcohol Misuse and Associated Health Consequences,NIH,SCIENTIFIC,"The term ""racial identity"" is listed alongside other demographic and health-related factors (alcohol use disorder, gender minority group, sexual identity) within the context of a scientific grant proposal, suggesting its use as a variable in research on alcohol misuse and associated health consequences.
"
7,racial identity,"prevention, disorder risk, ethnic diversity, ethnic identity, experience, gender minority group, health equity, high risk, improved, innovation, member, minority stress, multidisciplinary, novel, peer, perceived discrimination, pressure, prevent, programs, queer, racial disparity, racial diversity, racial identity, reduced food intake, research study, response, sexual identity, sexual minority, sexual minority community, sexual minority group, sexual minority health, sexual minority men, sexual minority women, social, social culture, social factors, stressor, tool, treatment guidelines, young adult",Population-Specific Eating Disorder Risk Factors in Sexual Minority Women,NIH,SCIENTIFIC,"The terms 'racial diversity' and 'racial identity' appear alongside other terms related to research, health disparities, and minority groups. This suggests the usage is in the context of scientific investigation into risk factors and health outcomes within specific populations.
"
8,racial identity,"emset to ensure item coverage, comprehension, and cultural attunement for key vst disparity subgroups (i.e., youth with neurodevelopmental disability; youth without interdisciplinary care access). aim 2 recruits 600 youth and emerging adults with vst (ages 11-21), balanced across care access, ethno-racial identity, gender identity diversity, and neurodevelopmental diversity. scale development research procedures, including latent variable modeling and differential item functioning, will produce subscales that function equitably across diverse youth. convergent and discriminant validation will be tested with ",Equitable Measurement of Care Disparities and Needs in Intersex Youth/Youth with Variations in Sex Development,NIH,POLITICAL,"The term 'ethno-racial identity' is used in the context of ensuring representation and equity across different demographic groups within the study population, which aligns with social and political considerations of identity.
"
9,racial identity,"entity, experience, gender minority group, health equity, health inequalities, high risk sexual behavior, improved, insight, intersectionality, large datasets, men who have sex with men, perceived discrimination, population health, post-doctoral training, pre-exposure prophylaxis, racial diversity, racial identity, racial minority, sex, sexual identity, sexual minority, sexual minority group, sexual minority health, sexual risk behavior, skill acquisition, skills, theories, therapy development, transgender women",Intersectional Discrimination and Sexual Health Among Young Black Men who Have Sex with Men: A Mixed Methods Study,NIH,SCIENTIFIC,"The term 'racial identity' appears alongside other terms related to health disparities, minority groups, and intersectionality, suggesting its use in a scientific context within the study of population health and discrimination.
"
10,racial identity,"work, wrist, actigraphy, alpha-amylase, cardiovascular disorder risk, cardiovascular health, cardiovascular risk factor, diaries, disability, electronic structure, ethnoracial, expectation, experience, health disparity, modifiable risk, mortality, neglect, people of color, perceived discrimination, racial identity, recruit, saliva sample, sexual identity, sexual minority, social determinants, social health determinants, social stigma, socioeconomic disadvantage, stressor, theories, therapy design",A daily diary examination of the influence of intersectional stigma on blood pressure,NIH,SCIENTIFIC,"The term 'racial identity' appears alongside other terms related to health disparities, cardiovascular risk factors, social determinants of health, and perceived discrimination. This suggests its usage is within a scientific study examining the impact of social factors, including race, on health outcomes.
"
