id,term,context,title,agency,classification,explanation
1,racial justice," and network building congruent with the needs of racial/ethnic trainees focused on minority populations - all to ensure long-term success of program graduates. these focal areas are closely aligned with nih/daids goals, charm expertise, um public health and psychology faculty, and um’s roadmap for racial justice. innovations include a focus on immersive community engagement and community- based participatory research projects, integrated with coursework and training in key behavioral science topics such as socio-structural, bio-behavioral and epidemiological foundations of hiv/mental health research. weekl",Culturally-focused HIV Advancements through the Next Generation for Equity (CHANGE) Training Program,NIH,POLITICAL,"The term ""racial justice"" is used in connection with the University of Michigan's (UM) ""roadmap for racial justice,"" indicating a focus on social and political goals rather than a purely scientific definition or application of the term.
"
2,racial justice,"tion among populations that experience disparities, we propose the following aims: aim 1. to leverage community- academic partnerships across two u.s. cities to develop training and evaluation materials for pols. aim 2a. to establish the efficacy of a community-based intervention with and without a racial justice framework to increase covid-19 vaccine uptake and reduce hesitancy among social networks of black individuals with rheumatic conditions. we will conduct a cluster randomized controlled trial to test whether pols trained with racial justice framing embedded in information on vaccine safety and effic",Leveraging Community-Academic Partnerships and Social Networks to Disseminate Vaccine-Related Information and Increase Vaccine Uptake Among Black Individuals with Rheumatic Diseases,NIH,POLITICAL,"The phrase ""racial justice framework"" suggests a social and political lens through which vaccine information is presented, rather than a purely scientific or technical approach.
"
3,racial justice,"ntation (uh3) phase, the study team plans to use the findings generated in ug3 phase as an analytical tool to reveal salient multi-level factors related to frv outcomes and develop, implement and evaluate proposed violence prevention intervention strategies that prioritize health equity and advance racial justice. specifically, the study team will 1) conduct a cluster randomized trial to examine effects of proposed intervention on individual- and community level outcomes related to firearms violence, and 2) perform in-depth case studies with community implementation sites to understand barriers and facilita",Adaptable Community-Engaged Intervention for Violence Prevention: Michigan Model,NIH,POLITICAL,"The phrase ""racial justice"" is linked to ""health equity"" and used in the context of violence prevention intervention strategies, suggesting a focus on addressing systemic inequalities related to race that contribute to violence. This aligns with a political understanding of racial justice as a goal to achieve fairness and equity across racial groups within societal structures.
"
4,racial justice,"career: identifying, enabling, and supporting racial justice in science teaching despite years of research and interventions to address inequities that are largely related to race, science education continues to perpetuate these inequities in both participation and outcomes in science. this career project will address the need to provide science teachers wit","CAREER: Identifying, Enabling, and Supporting Racial Justice in Science Teaching",NSF,POLITICAL,"The term ""racial justice"" is used in the context of addressing inequities in science education that are ""largely related to race"" and aims to ""support racial justice in science teaching,"" indicating a focus on social and political issues related to race and equality within the educational system.
"
5,racial justice,"ndergraduates for marine science-related and stem careers, and (5) introduce both high school students and undergraduates to research. all activities will be implemented using equitable stem teaching tools (cultural pedagogies, multi-generational learning, supporting diverse sense-making, centering racial justice, meaningful phenomena, and place-based learning).    this project aims to answer the overarching research question: how does participation in the designed project activities improve outcomes and increase racial equity for black people? the research team will collect data on the experiences and impa",Collaborative Research: Building Racial Equity in Marine Science,NSF,POLITICAL,"The term ""racial justice"" is used in the context of addressing racial equity for Black people, which is inherently a social and political goal related to fairness and equal opportunity. The project's aim to improve outcomes and increase racial equity directly connects to broader political and social justice movements.
"
6,racial justice,"ndergraduates for marine science-related and stem careers, and (5) introduce both high school students and undergraduates to research. all activities will be implemented using equitable stem teaching tools (cultural pedagogies, multi-generational learning, supporting diverse sense-making, centering racial justice, meaningful phenomena, and place-based learning).    this project aims to answer the overarching research question: how does participation in the designed project activities improve outcomes and increase racial equity for black people? the research team will collect data on the experiences and impa",Collaborative Research: Building Racial Equity in Marine Science,NSF,POLITICAL,"The term 'racial justice' is used in the context of addressing racial equity and improving outcomes for Black people, which aligns with social and political goals.
"
7,racial justice,"rators in leading towards racially just and ambitious mathematics instruction school and district leaders play an important role in supporting teachers to learn new practices, especially those related to equity.  both researchers and educators have often treated educational leadership that promotes racial justice as separate from mathematics teaching. this project focuses on developing anti-racist mathematics teaching and learning practices that have led to inequitable school experiences for black, indigenous, and latinx students. this study is a partnership with school and central office leaders from one d",Supporting School Administrators in Leading Towards Racially Just and Ambitious Mathematics Instruction,NSF,POLITICAL,"The text explicitly links racial justice to equity in education, anti-racist teaching practices, and addressing inequitable experiences for specific racial groups (Black, Indigenous, and Latinx). This clearly positions the term within a social and political context related to identity and systemic inequality.
"
8,racial justice,"eachers and students as climate action researchers and change agents. the research will aid in the development of a hub for justice-centered science education and will also yield school-based materials and professional development activities that examine the interwoven nature of climate justice and racial justice. further, project findings will support a transformative science teacher education model that empowers teachers as designers, equity advocates, and leaders in community-engaged science research.         this award is funded in whole or in part under the american rescue plan act of 2021 (public law ",CAREER - Transforming Science Teaching and Learning through Empowering Teachers and Students as Climate Justice Action Researchers and Change Agents,NSF,POLITICAL,"The term 'racial justice' is used in conjunction with 'climate justice' and 'equity advocates,' indicating a focus on social and political issues related to race.
"
9,racial justice,"s from underrepresented groups, and highlighting the successes of mathematical scientists from those groups.    the proposed conferences include one blackwell-tapia conference, one infinite possibilities conference, one latmath conference, three modern math workshops, one workshop on mathematics on racial justice, two roots of unity conferences, and one applied mathematics skills improvement for graduate studies advancement conference. these conferences are complementary to the core activities of the institutes and are important for the goal of increasing participation in key activities that are integral to",Collaborative Research: Conference: Mathematical Sciences Institutes Diversity Initiative,NSF,POLITICAL,"The term ""racial justice"" appears in the title of a workshop, suggesting a focus on social and political issues related to race, rather than a strictly scientific or mathematical application of the term. The context of increasing participation from underrepresented groups further reinforces the political and social justice aspect.
"
10,racial justice,"career: black and latinx parents leading reform and advancing racial justice in elementary mathematics decades of reform efforts in mathematics education continue to fail black and latinx children, in part, because parents are excluded from decisions about school mathematics. nonetheless, black and latinx families often persist in supporting their individual children, but a",CAREER: Black and Latinx Parents Leading Reform and Advancing Racial Justice in Elementary Mathematics,NSF,POLITICAL,"The term ""racial justice"" is used in the context of addressing systemic inequities and disparities in educational outcomes for Black and Latinx children, which aligns with a broader social and political movement for equality and fairness. The mention of ""reform efforts"" and the exclusion of parents from decision-making further points to a systemic issue being addressed.
"
