id,term,context,title,agency,classification,explanation
1,racial,"lic health. an important challenge remains to develop strategies to detect trusted and accurate `signals' amidst dynamic misinformation `noise.' this misinformation contributes to confusion, distrust, and distress around health behaviors such as vaccination, mask wearing, and social distancing. the racial disparities in morbidity, mortality, social, and economic consequences of covid-19 are well documented; less studied are variations in the information- seeking and covid-19 health decision-making specific to black and rural communities. public health information and campaigns have traditionally rel",Investigating and identifying the heterogeneity in COVID-19 misinformation exposure on social media among Black and Rural communities to inform precision public health messaging,NIH,POLITICAL,"The term ""racial disparities"" refers to the documented inequalities in health outcomes and socioeconomic consequences based on racial classification, which is inherently a social and political construct.
"
2,racial,"rence and persistence, thereby increasing prep coverage. interest in lai prep has been high in some groups that are at disproportionately high risk of hiv infection and underrepresented among oral prep users, including black women and black and latino msm, suggesting that lai prep could also reduce racial, ethnic, and gender inequities in prep use. however, barriers to lai prep use may be more common in underserved communities, potentially exacerbating inequities. lai prep may also increase risk of drug resistance due to its long half-life or delayed detection of hiv infections. this risk may be mit",Cabotegravir PrEP: Actionable Robust Evidence for Translation into Practice (CABARET),NIH,POLITICAL,"The term ""racial"" is used in the context of racial inequities in PrEP use, which is a social and political issue related to healthcare access and disparities.
"
3,racial,"eening and treatment of high risk youth (estory) project summary/abstract- cambridge health alliance alacrity for early screening and treatment of high risk youth (estory) barriers to quality mental health care for youth at risk of mental illness are well recognized but persistent, especially among racial, ethnic, and language (rel)-minority youth. the proposed center for early screening and treatment of at-risk youth (the estory center) is dedicated to research and training to improve early detection of mental illness, to prevent adverse outcomes, to improve quality of care, and to foster equity in",ALACRITY for Early Screening and Treatment of High Risk Youth (eSToRY),NIH,POLITICAL,"The term 'racial' is used in conjunction with 'ethnic, and language (rel)-minority youth', indicating a focus on social and identity-related disparities in mental health care access.
"
4,racial,"dity, experience, gender affirmation, gender diversity, gender minority group, health assessment, health care quality, health care service utilization, health difference, health disparity, healthcare burden, high risk, improved, innovation, marginalization, member, novel, peer, poor health outcome, racial minority, routine care, sex, sexual minority group, sexual minority health, social stigma, socioeconomics, structural determinants, theories, transgender",Examining Health Comorbidities and Healthcare Utilization Disparities among Older Transgender and Cisgender Adults in the U.S.,NIH,POLITICAL,"The term ""racial minority"" within the context of health disparities and marginalization points to a focus on social and political factors that contribute to unequal health outcomes.
"
5,racial,"and experience both gender- and racebased stigma and minority stress. black young adults are also at an increased risk of suicide; attempts increased 73% from 1991 to 2017. interventions are needed urgently to improve the mental health of tgd young adults, particularly tgd young adults who are also racial minorities. we propose a transformative, multi-level intervention to advance equity and reduce health disparities for tgd young adults through individual, interpersonal, systemic, and community-based changes that increase knowledge and support among providers, young adults, and caregivers, thereby ",TransHealthGUIDE: Transforming Health for Gender-Diverse Young Adults Using Interventions to Drive Equity,NIH,POLITICAL,"The term 'racial' is used in the context of stigma, minority stress, equity, and health disparities, all of which are inherently social and political concepts related to identity and power structures.
"
6,racial,"intersectionality, intimate partner violence, marginalization, marginalized population, men, minority stress, novel, older adult, pandemic disease, peer, physical conditioning, poor health outcome, pre-exposure prophylaxis, prevention service, programs, protective effect, psychologic, psychosocial, racial diversity, reduced substance use, resilience, sex, sexual minority, sexual minority group, sexual minority men, social exclusion, sociocultural determinant, stressor, substance use, syndemic, theories",Exploring the Role of Novel Aging-Focused Syndemic Conditions on HIV Risk and Quality of Life among HIV-Negative Older Sexual Minority Men,NIH,POLITICAL,"The term 'racial diversity' in this context relates to social identity and population demographics, reflecting a focus on social and political aspects rather than a purely biological or technical definition of race.
"
7,racial,"ty group, gender minority youth, health care disparity, health care quality, health organization, high risk, high risk population, improved, innovation, insight, interest, low socioeconomic status, member, parent grant, peer, population health, primary care provider, primary care setting, programs, racial minority population, response, sexual minority group, sexual minority youth, social health determinants, social stigma, therapy development, treatment services",Effect of Medicaid Accountable Care Organizations on Behavioral Health Care Quality and Outcomes for Children,NIH,POLITICAL,"The term 'racial' is used in the phrase ""racial minority population,"" which is a socio-political construct related to health disparities and equity.
"
8,racial,"re facility, healthcare, incidence, individual, inequity, institutionalization, intervention, interview, job loss, laboratories, learning, length, life, methodology, methods, modeling, new york city, participant, pharmaceutical preparations, population, provider, psychosocial factor, public health, racial equity, randomized, randomized  controlled trials, recommendation, regimen, reporting, research, risk, risk reduction, sampling, science, secure, self determination, serum, service delivery model, services, specific qualifier value, statistical methods, supportive care, surveys, testing, time, tran",A randomized clinical trial of client-centered care coordination to improve pre-exposure prophylaxis use for Black men who have sex with men,NIH,POLITICAL,"The term ""racial"" is linked to ""equity,"" indicating a focus on fairness and justice related to race, which falls under a social and political context.
"
9,racial,"re facility, healthcare, incidence, individual, inequity, institutionalization, intervention, interview, job loss, laboratories, learning, length, life, methodology, methods, modeling, new york city, participant, pharmaceutical preparations, population, provider, psychosocial factor, public health, racial equity, randomized, randomized  controlled trials, recommendation, regimen, reporting, research, risk, risk reduction, sampling, science, secure, self determination, serum, service delivery model, services, specific qualifier value, statistical methods, supportive care, surveys, testing, time, tran",A randomized clinical trial of client-centered care coordination to improve pre-exposure prophylaxis use for Black men who have sex with men,NIH,POLITICAL,"The term ""racial"" appears alongside ""equity"", indicating a focus on social justice and disparities, which is a political context.
"
10,racial,"ority, experience, gender diverse, gender minority, gender minority youth, health inequalities, high risk, improved, infection rate, infection risk, innovation, interest, men who have sex with men, mobile application, nonbinary, novel, pre-exposure prophylaxis, preventive intervention, psychologic, racial minority, randomized  clinical trials, recruit, response, retention rate, self testing, sexual minority, sexual minority community, sexual minority youth, sexually active, social stigma, tool, transfeminine, transgender, transmasculine, transmission process, uptake",Keeping it LITE 2: Exploring HIV Risk in Vulnerable Youth with Limited Interaction and Digital Health Intervention (LITE-2),NIH,POLITICAL,"The term ""racial minority"" is used in the context of identifying a potentially vulnerable group and addressing health inequalities, which aligns with a social and political framing.
"
11,racial,chicago chronic condition equity network (c3en) project summary health disparities in the burden of multiple chronic conditions for low-income and racial/ethnic minority groups are pervasive and have their roots in social determinants of health and unequal access to evidence-based health care services during critical periods of life. a long history of racial segregation in the chicago region has resulted in neighborhoods that are disproportionately ,Chicago Chronic Condition Equity Network (C3EN),NIH,POLITICAL,"The term 'racial' is used to describe 'racial/ethnic minority groups' and is directly linked to social determinants of health, historical racial segregation, and health disparities. This clearly places it within a social and political context.
"
12,racial,"nal approach to suicide prevention among black sexual and gender minority youth project summary black sexual and gender minority (sgm) youth demonstrate higher rates of suicidal ideation and behavior than white sgm youth and black cisgender heterosexual youth. however, limited research has examined racial, sexual, and gender identities as they co-occur and intersect to result in experiences producing suicide risk and protection among black sgm youth. further, suicide research often lacks intercategorical comparisons needed to understand suicide risk and protection across subgroups of black sgm youth","A Strengths-Based, Intersectional Approach to Suicide Prevention Among Black Sexual and Gender Minority Youth",NIH,POLITICAL,"The term 'racial' is used within the context of discussing racial identities and disparities in suicide rates among different groups, specifically highlighting the experiences of Black SGM youth. This falls under social, political, and identity-related considerations.
"
