id,term,context,title,agency,classification,explanation
1,racial,"hool mathematics by engaging students and families of color in participatory design research schools and districts around the country seek to address racial inequities, yet vast disparities in learning opportunities, outcomes, and experiences persist. furthermore, those who bear the heaviest burdens of ra",NA,NSF,POLITICAL,"The text refers to ""racial inequities"" and ""students and families of color,"" indicating a discussion of social and political disparities.
"
2,racial,"y school. this research will address the following research questions. first, how does a justice and community-centered science curriculum impact the racial, science, and academic identities of black elementary students within an urban school? second, through engaging in identity-affirming science instruc",NA,NSF,POLITICAL,"The term 'racial' is used in the context of 'racial identities' and the impact of a curriculum on Black elementary students, indicating a focus on social, political, and identity-related aspects.
"
3,racial,collaborative research: track 2: disrupting engineering trauma this collaborative research project will explore racialized mental health experiences in engineering and apply innovative approaches to promote racial equity in the discipline. the central hypothesis of th,NA,NSF,POLITICAL,"The terms ""racialized mental health experiences"" and ""racial equity"" clearly indicate a focus on social and political dimensions of race within the engineering discipline.
"
4,racial,"apable of effectively interacting and co-developing with local communities and being diverse enough to empathize with the realities and challenges of racially, ethnically, and socio-economically diverse communities. through developing and exploring inclusive and culturally relevant ecd contexts, this plan",NA,NSF,POLITICAL,"The term ""racially"" is used in the context of describing community diversity and the need for empathy and culturally relevant approaches, which are inherently social and political considerations.
"
5,racial,"lized population, mental development, minority health disparity, minority stress, multilevel analysis, novel, prevent, prospective, prospective test, racial identity, racial minority, racism, recruit, sexual assault, sexual minority, sexual minority women, social determinants, social stigma, substance use",NA,NIH,POLITICAL,"The terms ""racial identity,"" ""racial minority,"" and ""racism,"" in the context of health disparities and social determinants, suggest a focus on social and political aspects of race rather than a purely biological or scientific conceptualization.
"
6,racial,"disparity, health disparity populations, improved, infection risk, intervention refinement, maltreatment, overdose prevention, peer, primary outcome, racial minority population, randomized  clinical trials, recruit, response, secondary outcome, social stigma, substance use, treatment duration, treatment g",NA,NIH,POLITICAL,"The context includes ""health disparity populations,"" ""racial minority population,"" and ""social stigma,"" suggesting the term is being used in the context of social inequities and their impact on health outcomes.
"
7,racial,"er, physical conditioning, poor health outcome, pre-exposure prophylaxis, prevention service, programs, protective effect, psychologic, psychosocial, racial diversity, reduced substance use, resilience, sex, sexual minority, sexual minority group, sexual minority men, social exclusion, sociocultural deter",NA,NIH,POLITICAL,"The term ""racial diversity"" suggests a focus on social groups and identity, aligning with a political context.
"
8,racial,"ts, policy and practice reforms run the risk of not appropriately benefiting all black people due to pervasive, deficit-based assumptions about black racial identities and the types of structural engagement needed to advance holistic, racial well-being in transformative and sustainable ways. stated simply",NA,NSF,POLITICAL,"The text discusses racial identities, well-being, and structural engagement in the context of policy and practice reforms, indicating a social and political usage.
"
9,racial, program in large-scale randomized controlled trial (rct) to reduce hiv risk among seroconcordant negative and serodiscordant couples. we will enroll racially diverse trans women and their male partners and randomize couples to either the chip intervention or an enhanced standard of care (soc) control con,NA,NIH,POLITICAL,"The term ""racially diverse"" refers to social categories of race, not a technical scientific definition.
"
10,racial,"intimate partner violence, knowledgebase, male, men who have sex with men, multilevel analysis, open source, payment, peer, pre-exposure prophylaxis, racial diversity, recruit, response, seroconversion, sexual violence, social, social health determinants, social media, social stigma, substance use, survei",NA,NIH,POLITICAL,"""Racial diversity"" in this context implies a social and demographic consideration within the study population, pointing towards a political and social understanding of race.
"
11,racial,"ctionality, large datasets, men who have sex with men, perceived discrimination, population health, post-doctoral training, pre-exposure prophylaxis, racial diversity, racial identity, racial minority, sex, sexual identity, sexual minority, sexual minority group, sexual minority health, sexual risk behavi",NA,NIH,POLITICAL,"The terms ""racial diversity,"" ""racial identity,"" and ""racial minority"" indicate a focus on social groups and identity, aligning with a political context rather than a purely scientific one.
"
12,racial," into a comprehensive culturally congruent, bilingual intervention to increase the use of needed hiv, sti, and hcv prevention and care services among racially/ethnically diverse gbmsm and transgender women in rural appalachia. in aim 2, we will implement and test the intervention through a longitudinal gr",NA,NIH,POLITICAL,"The term ""racially/ethnically diverse"" is used to describe a population group, which falls under a social and identity context rather than a strictly scientific or technical one.
"
13,racial,"sbp: career: inferior and foreign racial stereotypes give rise to exploitative and exclusionary discrimination many racial and ethnic groups in the u.s. experience discrimination. however, g",NA,NSF,POLITICAL,"The term 'racial' is used in the context of racial stereotypes, discrimination, and experiences of racial and ethnic groups, which are all social and political issues.
"
