id,term,context,title,agency,classification,explanation
1,racially,"ide efficient and equitable implementation of prep. our study, cabotegravir prep: actionable robust evidence for translation into practice (cabaret), will evaluate real-world use, population impact, and optimal investment of resources to facilitate the implementation of lai prep. the settings are 3 racially and ethnically diverse regions of kaiser permanente—northern california, mid-atlantic (dc, virginia, maryland), and georgia—serving 5.6 million members and 13,000 prep users. aim 1 will extract and analyze ehr data to evaluate lai prep uptake and persistence, including racial and ethnic inequities ",Cabotegravir PrEP: Actionable Robust Evidence for Translation into Practice (CABARET),NIH,POLITICAL,"The text explicitly mentions ""racially and ethnically diverse regions"" and ""racial and ethnic inequities,"" indicating a focus on social and demographic factors, and disparities related to race and ethnicity which falls under a political context.
"
2,racially,"tcher, take charge: increasing prep awareness, uptake, and adherence through health care empowerment and addressing social determinants of health among racially diverse trans women in the deep south abstract trans women are highly underserved in the response to hiv, especially in the deep south. southern states are disproportionately impacted by hiv. among states in the deep south, which face the vast majority of new hiv infections, hiv diagnosis rates in ","Tcher, Take Charge: Increasing PrEP Awareness, Uptake, and Adherence Through Health Care Empowerment and Addressing Social Determinants of Health Among Racially Diverse Trans Women in the Deep South",NIH,POLITICAL,"The term 'racially' is used to describe and categorize a specific population (""racially diverse trans women"") in the context of health disparities and social determinants of health, which are inherently linked to social, political, and identity factors.
"
3,racially,"r women from aim 1 to analyze how interpersonal protective factors influenced black transgender women's abilities to self-manage psychological distress symptoms. findings will inform future recommendations for interventions aimed at decreasing the harmful effects of adversity and discrimination for racially diverse transgender youth and adults. address, adult, affect, attitude, behavior, birth, black race, categories, childhood, communities, complex, data analyses, data collection, discrimination, disease management, distress, ethics, exposure to, family, future, gender, gender identity, grant, health",Interpersonal Protective Factors and Mental Health Symptom Self-Management Among Black Transgender Women: A Mixed-Methods Study,NIH,POLITICAL,"The term ""racially diverse"" refers to a social and identity context related to diversity and inclusion, implying a focus on social and political categories of race. It is used to describe the target population for future interventions aimed at reducing harm from discrimination.
"
4,racially," proposal is to use a novel, hybrid “community hub”-supported digital cohort (“hub-supported digital cohort”) model to evaluate hiv incidence, risk factors, and syndemic conditions among tw in the us (n=3,000). in this model, on-the-ground community “hubs” will support enrollment and retention of a racially/ethnically and culturally diverse, nationwide digital cohort. we will refine optimal digital cohort methods while examining the impact of structural and psychosocial syndemic experiences on hiv incidence and parameterizing mathematical models to identify targets for future multi-level combination h",Enhanced COhort methods for HIV Research and Epidemiology (ENCORE) among transgender women in the United States,NIH,POLITICAL,"The term ""racially/ethnically and culturally diverse"" refers to social categories of race and ethnicity, indicating a focus on social identities and equity, thus falling under a political context.
"
5,racially,"hould be conducted with, and not on tgd communities to ensure that we do not repeat past wrongs, for example excluding racial/ethnic populations from the conduct and reporting of research that impacts these populations and further reifying stereotypes and stigma. in partnership with and guided by a racially, ethnically, professionally and geographically diverse executive stakeholder board and workgroups consisting of tgd community members, advocates, clinicians, and ethics, legal, and genomics and health equity scholars, we will explore perspectives on the potential risks and benefits of studying geno",Trans/Forming Genomics: Guidance for Research Involving Transgender and Gender Diverse People,NIH,POLITICAL,"The term 'racially' is used in the context of discussing historical exclusion and promoting diversity, which are social and political considerations within research ethics.
"
6,racially,"d intersectionality to examine a host of stressors that contribute to inequities in alcohol abuse and drug use, cross-reciprocal interpersonal violence, and subsequent physical and mental health outcomes among tgdas. the goal will be achieved by conducting a 12-month prospective cohort study with a racially and gender diverse sample of 400 tgdas, ages 18-55. the following aims will be fulfilled: aim 1:identify the structural/community factors and proximal/distal minority stressors most strongly predictive of alcohol abuse and drug use as intermediary outcomes to mental health outcomes (i.e., depressio",An intersectional approach linking Minority Stressors Experienced by Transgender and Gender Diverse Adults to Alcohol and Drug Use and comorbid Mental and Physical Health Outcomes,NIH,POLITICAL,"The term ""racially"" is used to describe a sample of transgender and gender diverse adults (TGDAs), indicating a focus on the social and demographic characteristics of the group. This aligns with a political context, as it pertains to identity and equity within a specific population.
"
7,racially,"lity of communication. this technology will automatically capture nonverbal, linguistic, and affective, cues in patient-provider interactions and then provide feedback for improvement, designed in collaboration with patients and providers. guided by human-centered design, we will engage low income, racially diverse patients and their providers to inform the design of visual feedback from ssp assessment, and then evaluate the efficacy of this novel technology in both simulated and real world encounters. leveraging our preliminary work and multidisciplinary expertise from our two investigative sites, un",UnBIASED: Understanding Biased patient-provider Interaction And Supporting Enhanced Discourse,NIH,POLITICAL,"The term ""racially diverse patients"" is used in the context of addressing health disparities and promoting equitable healthcare, which falls under social and political considerations related to race.
"
8,racially,"ctions in sexual risk behavior compared to the control group. based on our highly successful r34 findings, we propose to test the efficacy of the chip program in large-scale randomized controlled trial (rct) to reduce hiv risk among seroconcordant negative and serodiscordant couples. we will enroll racially diverse trans women and their male partners and randomize couples to either the chip intervention or an enhanced standard of care (soc) control condition. couples will be followed quarterly over 12-months. analysis of study outcomes will utilize both individual- and dyadic-level data. our primary o",A couples-based approach to HIV prevention for transgender women and their male partners,NIH,POLITICAL,"The term 'racially diverse' refers to the social and political construct of race as a factor in describing the study population.
"
9,racially,"ry youth and tgd youth of color. these gaps in research limit the field's ability to provide culturally specific clinical care to a vulnerable group with unique health disparities associated with deb. to advance this care, we urgently need to extend deb research beyond cisgender females and recruit racially/ethnically diverse samples of tgd youth across the spectrum of age, gender identity, and access to gender-affirming support/resources. a novel approach to address these knowledge gaps is to implement community-engaged research methods to develop and evaluate a tailored measure of deb in tgd youth. ",Using youth-engaged methods to develop and evaluate a measure for disordered eating behaviors in transgender and gender-diverse youth,NIH,POLITICAL,"The term ""racially/ethnically diverse samples"" is used to address health disparities and the need for culturally specific clinical care for a vulnerable group, which falls within a social, political, and identity context.
"
10,racially,"design of a lay health worker training intervention to promote mental health care access for racially diverse transgender youth project summary transgender youth face a high risk for serious mental health problems (e.g., suicidality, depression, anxiety) relative to cisgender youth due to their disproportionate exposure to transphobic discrimination and trauma, and significant barriers to mental he",Design of a Lay Health Worker Training Intervention to Promote Mental Health Care Access for Racially Diverse Transgender Youth,NIH,POLITICAL,"The term ""racially diverse"" is used to describe a population group (transgender youth) and acknowledges the role of race in their experiences and access to mental health care. This framing aligns with a social and political understanding of race as a factor influencing health disparities.
"
11,racially,"observational research across five us cities in order to better understand the social contexts of racial, ethnic, and sexual and gender minority populations, as well as how inequities in those social contexts drive hiv and substance use. specifically, through in-depth remote network surveys of 2700 racially diverse young men who have sex with men and transgender women (ymsm-tw), we will examine how an individual's social position determines the people and the places they have access to, as well as how supportive or risky these social and contextual environments are and how these connections might pool",SILOS: Structural Inequities across Layers Of Social-Context as Drivers of HIV and Substance Use,NIH,POLITICAL,"The term 'racially' is used to describe and categorize populations based on race, which is inherently a social and political construct, especially when discussing inequities and social contexts.
"
12,racially," microbes, and spontaneous preterm birth. i will perform a paired analysis of vaginal metabolites and vaginal metagenomic sequencing data, which profiles the entire genomic content of the microbiome. the data i will analyze originates from the numom2b cohort, a large, extensively characterized, and racially-diverse cohort of pregnant women, in which microbiome samples were collected at multiple timepoints. my central hypothesis is that maternal race has significant interactions with the associations among vaginal metabolites, vaginal microbes, and preterm birth. to understand these interactions, i wil","Quantifying the interactions among maternal race, vaginal metabolites, and microbes in preterm birth",NIH,SCIENTIFIC,"The term 'racially' is used to describe the composition of the cohort studied, which is a scientific context within medical research.
"
13,racially,"e considered associations between pms and fetal growth and gwg rates and those that have are subject to methodological limitations. in addition, there is scarcity of evidence regarding associations between mixtures of pms and adverse health outcomes. using data from a nested case control study in a racially diverse population (nulliparous mothers to be (numom2b)), and specifically among healthy controls, we will explore associations between pms and gwg and fetal growth trajectories using sophisticated statistical methods (i.e., growth mixture models, generalized estimating equations and weighted quant",Prenatal exposure to phthalates and associations with gestational weight gain and fetal growth trajectories.,NIH,POLITICAL,"The term ""racially diverse population"" refers to a demographic characteristic of the study population, indicating a focus on social categories and identity related to race. This aligns with a social/political rather than purely scientific context.
"
14,racially,"perience of psychosocial stress, evidenced by higher mean allostatic load scores among black women due to psychosocial stress. therefore, psychosocial stress in pregnancy is a plausible mediator contributing to racial/ethnic pregnancy disparities. using a nested case-control design with data from a racially diverse cohort, the nichd-nulliparous mothers to be study (numom2b), this proposal will assess whether the effect of self-reported race/ethnicity on hdp is partially mediated by psychosocial stress in pregnancy. this study will also explore if the mediated pathway is moderated by social support dur",Does self-reported psychosocial stress in pregnancy mediate the association between maternal race/ethnicity and hypertensive disorders of pregnancy?,NIH,SCIENTIFIC,"The term ""racially"" is used within the context of a scientific study examining racial/ethnic disparities in pregnancy outcomes and the potential mediating role of psychosocial stress. It refers to a demographic variable used in the research design and analysis.
"
15,racially,"opic allograft model for kaiso depletion in the presence and absence of pharmacologic blockade of autophagy (specific aim two). we then perform a large-scale application of artificial intelligence and deep learning to profile the spatial and topological features of the tumor microenvironment in 901 racially diverse breast cancer specimens by multiplex immunohistochemistry to define the detailed role of kaiso, autophagy and the tumor microenvironment in population-specific differences in breast cancer outcome (specific aim three). together with a closely integrated multi-disciplinary team of breast can","The linkage between Race, Kaiso and the tumor microenvironment in breast cancer health disparities",NIH,SCIENTIFIC,"The term 'racially diverse breast cancer specimens' is used within the context of a scientific study investigating differences in breast cancer outcomes across different populations. The grant aims to understand biological and environmental factors contributing to these disparities.
"
16,racially,"idence and phenotype in a large, nested case-control study of nhb, nhw, and hispanic/latinx participants in the women’s health initiative (whi). our central hypothesis is that risk of breast cancer and aggressive tumors are attributable to the impact of higher als and socioeconomically deprived and racially segregated neighborhood context. further, we hypothesize that allostatic load mediates the associations of neighborhood context with breast cancer, which differ by race/ethnicity. leveraging whi’s prospective design, rich epidemiologic and clinical data, and long-term follow-up, to test these hypot",Impact of Allostatic Load and Neighborhood Contextual Factors on Breast Cancer in the Women's Health Initiative,NIH,SCIENTIFIC,"The term 'racially' is used in the context of a scientific study investigating the impact of neighborhood context and allostatic load on breast cancer risk, with the study explicitly examining differences by race/ethnicity. This aligns with a scientific investigation into biological and environmental factors affecting health outcomes across different population groups.
"
17,racially," the efficacy of mypeeps mobile plus (a multi-level intervention comprised of mypeeps mobile + prep e-peer navigation) for promoting initiation, adherence, and persistence of prep and decreased hiv risk behavior in ymsm. building upon our team’s demonstrated ability to enroll large numbers of young racially and ethnically diverse ymsm and extensive experience developing mobile health interventions, the proposed study will test the efficacy of this expanded, multi-level mobile hiv prevention intervention emphasizing prep. if efficacious, it will increase prep initiation, adherence, and persistence and ",MyPEEPS Mobile Plus: A Multi-Level HIV Prevention Intervention for Young MSM ,NIH,POLITICAL,"The term ""racially"" is used to describe the diversity of the study population (young MSM), highlighting a social and identity aspect relevant to HIV prevention efforts.
"
18,racially,"d retained more than 12,000 ymsm in a full range of research studies across the hiv continuum (e.g., epidemiology, intervention development, mhealth, prep, clinical trials, innovative geospatial methods). we have had specific success conducting prevention research with ymsm (17-25 years), including racially and ethnically diverse ymsm, our target demographic group. further, we have previously leveraged advanced social media advertising techniques and used innovative geospatial analytics to target/study “communities within communities”, reaching hard-to-reach ymsm from diverse geographic areas (e.g., r",MyPEEPS Mobile LITE:  Limited Interaction Efficacy Trial of MyPEEPS Mobile to Reduce HIV Incidence and Better Understand the Epidemiology of HIV among YMSM,NIH,POLITICAL,"The term ""racially and ethnically diverse ymsm"" refers to social classifications of individuals based on race and ethnicity, highlighting identity and group membership, which falls within a political context.
"
