id,term,context,title,agency,classification,explanation
1,racism,"nguage processing, noise, outcome, patients, perception, persuasive communication, politics, predictive analytics, process, public health, published comment, qualitative methods, race, risk, rural, rural community, rural population, sampling, signal transduction, social distance, source, structural racism, structure, surveys, target populations, testing, text, training, translating, trust, twitter, urbanicity, vaccination, variant, caucasian american, combat, computer framework, computerized tools, current pandemic, design, disparities in morbidity, distrust, experience, flexibility, health communic",Investigating and identifying the heterogeneity in COVID-19 misinformation exposure on social media among Black and Rural communities to inform precision public health messaging,NIH,POLITICAL,"The term ""structural racism"" is explicitly mentioned, which is a concept rooted in social and political analysis of systemic inequalities.
"
2,racism,", a research, training, and community engagement agenda that will 1) identify and address the comorbid biologic and psychologic pathways linking adverse social determinants of health (sdoh) to disparities in smm and mm; and 2) co-create and implement scalable multi-level strategies grounded in anti-racism and empowerment to inform systems and policy change in our city and region. ny- champ is set against the compelling backdrop of persistently high rates and disparities in smm/mm across urban and rural parts of our state alike, despite a multitude of healthcare facilities and resources. more effecti",NY Community-Hospital-Academic Maternal Health Equity Partnerships (NY-CHAMP),NIH,POLITICAL,"The term ""anti-racism"" is used in the context of addressing health disparities and informing systems and policy change, which are inherently political and social goals.
"
3,racism,"l safety resources, us criminal legal settings (cls) have experienced some of the largest covid-19 outbreaks. persons involved with cls (pcls) additionally experience significant barriers to health care upon release, and often return to environments impacted by syndemic factors rooted in structural racism: lower vaccine access, fewer testing facilities, medical mistrust, and higher covid-19 prevalence. a complex interplay between individual and social network-level factors may be driving the adverse covid-19 outcomes among pcls. but, despite their importance, social network influences – and the effe",Integrated Network Analysis of RADx-UP Data to Increase COVID-19 Testing and Vaccination Among Persons Involved with Criminal Legal Systems (PCLS),NIH,POLITICAL,"The text explicitly links ""structural racism"" to systemic disadvantages in healthcare access and COVID-19 outcomes, indicating a focus on social and political structures that perpetuate inequality.
"
4,racism,"st, dosage, efficacy evaluation, efficacy trial, experience, follow-up, health care disparity, health training, implementation science, improved, innovation, men who have sex with men, multi-component intervention, novel, pre-exposure prophylaxis, prevention service, psychosocial, racial disparity, racism, randomized  clinical trials, recruit, scale up, service providers, social stigma, staff intervention, standard of care, theories, trial design",A randomized clinical trial of client-centered care coordination to improve pre-exposure prophylaxis use for Black men who have sex with men,NIH,POLITICAL,"The term ""racism"" appears alongside ""racial disparity,"" ""social stigma,"" and ""health care disparity,"" indicating its use in the context of social determinants of health and systemic inequalities faced by Black men who have sex with men. This suggests a discussion of societal power structures and their impact on health outcomes, which falls under a political context.
"
5,racism,"st, dosage, efficacy evaluation, efficacy trial, experience, follow-up, health care disparity, health training, implementation science, improved, innovation, men who have sex with men, multi-component intervention, novel, pre-exposure prophylaxis, prevention service, psychosocial, racial disparity, racism, randomized  clinical trials, recruit, scale up, service providers, social stigma, staff intervention, standard of care, theories, trial design",A randomized clinical trial of client-centered care coordination to improve pre-exposure prophylaxis use for Black men who have sex with men,NIH,POLITICAL,"The term ""racism"" is listed alongside terms like ""racial disparity,"" ""health care disparity,"" and ""social stigma,"" indicating its use in the context of societal inequalities and injustices experienced by a specific group (Black men who have sex with men). This points to a political context related to systemic disadvantages.
"
6,racism,"rsons, phase, population, population heterogeneity, prevention, prevention strategy, preventive service, productivity, public health, published comment, recording of previous events, research, research project grants, risk, sex behavior, sexual and gender minorities, site, social change, structural racism, technology, testing, time, united states, united states national institutes of health, viral, vulnerable populations, youth, care systems, clinical research site, cohort, comorbidity, cost, design, digital, digital health, efficacy evaluation, efficacy testing, epidemiological model, ethnic minori",Keeping it LITE 2: Exploring HIV Risk in Vulnerable Youth with Limited Interaction and Digital Health Intervention (LITE-2),NIH,POLITICAL,"""Structural racism"" implies a societal system of racial bias, which falls under social and political contexts.
"
7,racism,"r, climate zone, community engagement, community involvement, contextual factors, diaries, educational atmosphere, experience, gender minority community, gender minority group, health disparity, insight, lens, men, minority stress, nonbinary, novel, protective factors, psychologic, racial identity, racism, recruit, response, rural residence, sexual identity, sexual minority group, social, social media, structural determinants, suicidal, suicidal behavior, suicidal risk, suicide rate, theories, transgender","A Strengths-Based, Intersectional Approach to Suicide Prevention Among Black Sexual and Gender Minority Youth",NIH,POLITICAL,"The term ""racism"" is listed alongside terms like ""health disparity,"" ""minority stress,"" and ""structural determinants,"" suggesting it's being used to describe systemic and social factors impacting the target population (Black sexual and gender minority youth). This falls under the umbrella of social and political context, specifically related to inequality and discrimination.
"
8,racism,"national institutes of health, work, community engaged intervention, community organizations, density, ethnic identity, experience, health disparity, improved, innovation, member, men who have sex with men, novel, poor health outcome, pre-exposure prophylaxis, prevent, primary outcome, prospective, racism, recruit, resilience, response, sexual identity, social, social relationships, social stigma, uptake",NEXUS: A novel social network approach to study the effects of intersectional stigma on HIV prevention among Latino MSM,NIH,POLITICAL,"The term ""racism"" is used in the context of studying health disparities and social stigma among a specific ethnic group (Latino MSM), indicating an examination of social and political factors influencing health outcomes.
"
9,racism,"riant, woman, work, black women, black/white disparity, cohort, critical period, epigenome, epigenomics, health determinants, improved, indexing, infant outcome, insight, maternal stress, minority health, novel strategies, offspring, perinatal health, perinatal outcomes, prenatal, racial disparity, racism, social, social factors, sound, stressor, success, telomere","Looking Back to Look Forward: Social Environment Across the Life Course, Epigenetics, and Birth Outcomes in Black Families",NIH,POLITICAL,"The presence of terms like ""black/white disparity,"" ""racial disparity,"" ""minority health,"" and the overall focus on birth outcomes in Black families strongly suggests that ""racism"" is being used in a context related to social and political inequalities affecting health.
"
10,racism," 12 mos. participants (n=360; n=180 per city) will be recruited using time-location sampling (a venue-based sampling designed to reduce sample bias). hls, the intervention at the heart of this study, offers several novel features: it focuses on immigrant, spanish- speaking populations; it addresses racism and homophobia as factors shaping hiv risk; and uses a community-based approach centered on community involvement (e.g., civic participation, volunteering) as a means to foster sexual health and community building. the study will help identify effective interventions to prevent hiv among latinx imm",Hermanos de Luna y Sol: A community-based HIV prevention intervention,NIH,POLITICAL,"The text identifies racism as a social factor influencing HIV risk among a specific population. This aligns with the understanding of racism as a systemic issue impacting health outcomes within a specific community, which is a political and social issue.
"
