id,term,context,title,agency,classification,explanation
1,segregation,ry health disparities in the burden of multiple chronic conditions for low-income and racial/ethnic minority groups are pervasive and have their roots in social determinants of health and unequal access to evidence-based health care services during critical periods of life. a long history of racial segregation in the chicago region has resulted in neighborhoods that are disproportionately burdened by poverty and related social determinants of health as well as poor access to high quality health resources. unequal distribution of resources across the chicago region results in geographic “hotspots” where h,Chicago Chronic Condition Equity Network (C3EN),NIH,POLITICAL,"The term ""racial segregation"" is used to describe historical social and political practices that resulted in unequal resource distribution and neighborhood disparities, impacting health outcomes.
"
2,segregation,"he unique social position of black gbmsm or the related health impacts of structural racism and discrimination (srd). based on our preliminary studies, we hypothesize that four forms of srd are likely to influence meth use among black gbmsm: housing discrimination, gentrification, racial and income segregation, and discriminatory lgbt community climate. additionally, we posit that these forms of srd operate through housing instability and inadequate service access to increase risk for meth use among black gbmsm. the goal of this project is to generate knowledge that will inform the design of multi- level",Structural Influences on Methamphetamine Use among Black Gay and Bisexual Men in Atlanta,NIH,POLITICAL,"The term ""segregation"" appears in the context of ""racial and income segregation"" as a form of structural racism and discrimination (SRD) impacting a specific population. This directly relates to social structures and power dynamics, indicating a political/social context.
"
3,segregation,"leged white couples seeking treatment at fertility clinics. studies of fertility that enroll women during preconception or early pregnancy have likewise had limited success in recruiting black women. thus, there has been virtually no study of causes of infertility in black women. racial residential segregation and racialized patterns of neighborhood investment and disinvestment have resulted in inequitable burdens of spatially-distributed environmental exposures on communities of color. in the present proposal, we examine several exposures of high relevance to black women, with a focus on environmental a",An assessment of environmental and neighborhood-level risk factors for subfertility among Black women in the U.S.,NIH,POLITICAL,"The term ""racial residential segregation"" is used in the context of discussing inequitable burdens due to historical and ongoing social and political factors like ""racialized patterns of neighborhood investment and disinvestment."" This highlights the social and political dimensions of segregation and its impact on environmental exposures and health disparities.
"
4,segregation,"inequalities, high risk sexual behavior, illicit drug use, innovation, marginalization, marginalized population, member, men who have sex with men, network models, non-native, novel strategies, open source, public health intervention, racial difference, racial diversity, racial minority population, segregation, sex, sexual minority group, simulation, skills, social, social factors, social observations, social relationships, social stigma, structural determinants, substance use, tool, transgender women, transmission process, web app, young men who have sex with men",SILOS: Structural Inequities across Layers Of Social-Context as Drivers of HIV and Substance Use,NIH,POLITICAL,"The term 'segregation' appears alongside terms like ""structural inequities,"" ""racial difference,"" ""racial minority population,"" and ""marginalization,"" indicating its usage refers to social and political divisions based on race and other social categories rather than a technical scientific meaning.
"
5,segregation,", chromatin modification, chromatin remodeling, developmental disease, experimental study, gain of function, gene regulatory network, gene repression, genetic corepressor, genome-wide, genomic locus, insight, interest, loss of function, mutant, novel, programs, protein protein interaction, recruit, segregation, transcription factor",Mechanisms controlling cell type-specific transcription factor activity in the development of serially homologous structures in Drosophila,NIH,SCIENTIFIC,"In this context, ""segregation"" most likely refers to the segregation of chromosomes or cellular components during cell division, a fundamental biological process relevant to development in Drosophila.
"
6,segregation,"ction, epidemiologic data, ethnic disparity, experience, food insecurity, health determinants, health disparity, health equity, health equity promotion, health training, high risk, housing instability, implementation science, improved, mortality, multiple chronic conditions, next generation, novel, segregation, sleep health, social health determinants, training opportunity",Center to Improve Chronic disease Outcomes through Multi-level and Multi-generational approaches Unifying Novel Interventions and Training for health EquitY (The COMMUNITY Center),NIH,POLITICAL,"The term 'segregation' appears within a list of terms strongly related to health disparities, social determinants of health, and health equity. This suggests it's being used in the context of social segregation and its impact on health outcomes.
"
7,segregation,"odeling, national health and nutrition examination survey, neighborhoods, nested case-control study, not hispanic or latino, outcome, participant, pathway interactions, phenotype, physiological, prevention strategy, process, prospective cohort, public health, public policy, publishing, race, racial segregation, risk, risk factors, sampling, sampling studies, socioeconomic status, stress, structural racism, system, testing, time, tissues, united states, white women, woman, women', s health, women', s cohort, allostatic load, biopsychosocial, black women, breast cancer diagnosis, cancer biomarkers, cancer ",Impact of Allostatic Load and Neighborhood Contextual Factors on Breast Cancer in the Women's Health Initiative,NIH,POLITICAL,"""Racial segregation"" is listed alongside terms like ""race,"" ""structural racism,"" and ""socioeconomic status,"" indicating a discussion of societal inequalities and their impact on health, which is a political context.
"
8,segregation,"onitoring hiv-related inequities, such as racial and gender disparities in hiv testing, engagement in care, and treatment. this proposal requests funding for a pre-doctoral research training program to address sdh including structural racism and gender inequality, intersectional stigma, residential segregation, aging, and marginalizing structures influencing hiv. combatting the ongoing syndemic of sdh, hiv, affiliated co-morbidities, and other potentially overlapping infectious diseases such as coronavirus, requires cutting edge public health research conducted by scientists of the highest caliber. this ",Social Determinants of HIV,NIH,POLITICAL,"The term ""residential segregation"" is used within a discussion of social determinants of health, structural racism, and inequality. This strongly suggests a focus on the social and political dimensions of segregation and its impact on health outcomes.
"
9,segregation,", making their growing presence in neighborhoods and their well-being relevant to the overall success of the nation. yet the effects of neighborhood-level factors on depression, particularly in latinos, remains understudied. there exists a paucity of research that examines the effect of residential segregation on mental health. fewer still has assessed causal pathways— including through neighborhood features such as neighborhood social cohesion (nsc) and neighborhood problems (np)—using rigorous quantitative methodologies. additionally, nsc is of particular interest due to the potential mental health ben","Neighborhood Social Environment, Composition and Depression in Latinx",NIH,SCIENTIFIC,"The text discusses residential segregation as a neighborhood-level factor affecting mental health, which is a topic within the realm of social science and public health research.
"
10,segregation,"ntervention, experience, health determinants, health disparity, health inequalities, indexing, inequitable distribution, marginalized population, minority health, minority health disparity, mortality, multi-racial, novel, performance tests, racial minority population, racial population, residential segregation, response, social, social disparities, sound, theories, tool","Assessing intersectional, multilevel and multidimensional structural racism for English- and Spanish-speaking populations in the US",NIH,POLITICAL,"The term ""residential segregation"" is listed among other terms related to social disparities, marginalized populations, and racial inequalities, indicating its use in a social and political context related to structural racism.
"
11,segregation,"ntervention, experience, health determinants, health disparity, health inequalities, indexing, inequitable distribution, marginalized population, minority health, minority health disparity, mortality, multi-racial, novel, performance tests, racial minority population, racial population, residential segregation, response, social, social disparities, sound, theories, tool","Assessing intersectional, multilevel and multidimensional structural racism for English- and Spanish-speaking populations in the US",NIH,POLITICAL,"The term ""residential segregation"" is listed alongside terms like ""inequitable distribution,"" ""marginalized population,"" ""racial minority population,"" and ""social disparities,"" all of which point to social and political structures and their impact on different groups.
"
12,segregation,"s, human old age (65+), improved, internalized stigma, male, male health, men, men of color, minority health, minority health disparity, multidisciplinary, older men, peer, protective factors, public health relevance, racial minority, racial population, racism, research and development, residential segregation, response, sexual minority, social integration, social stigma, substance use, telomere, theories",Structural Racism and Discrimination in Older Men's Health Inequities,NIH,POLITICAL,"The term ""residential segregation"" is used in the context of ""structural racism and discrimination,"" which are inherently political and social issues related to inequality.
"
13,segregation,"h disparities research, health policy, health behavior, healthcare systems, imprisonment, income, individual, intervention, justice, literature, low income, marketing, methods, minority groups, outcome study, overdose, perception, pharmaceutical preparations, police, policies, poverty, race, racial segregation, recording of previous events, recurrence, research, resources, risk, role, structural racism, testing, time, trauma, united states, wages, writing, behavioral health, black men, design, efficacy study, experience, health care availability, health care service, health care service utilization, heal",Universal basic income and structural racism in the US South: Differences in health service utilization between older African American men with and without experiences of recent incarceration,NIH,POLITICAL,"The term ""racial segregation"" appears alongside ""structural racism,"" ""minority groups,"" ""race,"" and other terms that strongly suggest its use in a social, political, and historical context related to racial inequality.
"
14,segregation," diabetes prevention program, ethnic minority, extracellular vesicles, frailty, high risk, high risk population, human old age (65+), insulin signaling, life span, macrovascular disease, mild cognitive impairment, neuroimaging, neuroinflammation, neuropathology, operation, prevent, racial minority, segregation, sociodemographics, tau proteins, vascular cognitive impairment and dementia",Alzheimer's Disease and Alzheimer's Disease Related Dementias in Prediabetes and Type 2 Diabetes: The Diabetes Prevention Program Outcomes Study AD/ADRD Project,NIH,POLITICAL,"The term ""segregation"" appears alongside ""racial minority,"" ""ethnic minority,"" and ""sociodemographics,"" suggesting it refers to social or racial segregation rather than a technical scientific usage.
"
15,segregation,"lliteracy, health literacy, implementation research, improved outcome, low socioeconomic status, marginalization, marginalized population, mortality, multi-ethnic, multimodal data, neoplasm registry, optimal treatments, population based, prospective, racial minority, recruit, residence, residential segregation, screening, social, social factors, social structure, structural determinants, survival outcome, survivorship",Assessing Cervical Cancer Healthcare Inequities in Diverse Populations: The ACHIEVE Study,NIH,POLITICAL,"The term ""residential segregation"" in the context of healthcare inequities and marginalized populations points to social and political factors influencing access to healthcare based on residence and potentially race/ethnicity.
"
16,segregation,"e for these disparities, understanding of underlying biological mechanisms in humans is limited. animal studies suggest a critical role of sex hormones in both developmental periods, however translation of these mechanisms to humans has been hampered by the lack of an experimental model that allows segregation of effects related to early organizational effects and later activational processes in puberty. the recent advent of cross-sex hormone therapy (csht) in adolescents with gender dysphoria, presents a unique opportunity to investigate these processes, while also advancing the empirical basis of clini",Sex hormone effects on neurodevelopment: Controlled puberty in transgender adolescents,NIH,SCIENTIFIC,"The term ""segregation"" is used to describe the separation or isolation of biological effects, specifically early organizational effects and later activational processes related to sex hormones during puberty. This aligns with a technical and scientific usage within the context of biological research.
"
17,segregation,"itecture, genetic variant, genomic data, genomic variation, genotypic sex, girls, immune activation, infection burden, insight, intimate partner violence, latent hiv reservoir, male, men, novel, novel strategies, novel therapeutic intervention, novel therapeutics, preventive intervention, receptor, segregation, sex, social, therapeutic target, transgender women, treatment trial","Sex, Gender and the Immunopathogenesis of HIV",NIH,SCIENTIFIC,"The term ""segregation"" in this context, particularly alongside terms like ""genetic variant,"" ""genomic data,"" and ""genotypic sex,"" most likely refers to genetic segregation, which is a scientific concept related to the inheritance of genes during sexual reproduction.
"
18,segregation,", united states national institutes of health, variant, woman, density, experience, follow-up, gender dysphoria, genetic architecture, genetic variant, genome wide association study, genome-wide, genome-wide linkage, insight, interest, male, meetings, men, non-heterosexual, novel, posters, recruit, segregation, sex, sexual dimorphism, social, substance use, suicidal, trait",Female Sexual Orientation GWAS,NIH,AMBIGUOUS,"The term ""segregation"" appears in a list of keywords associated with a grant focused on the genetics of female sexual orientation. Without more context, it is unclear whether ""segregation"" refers to genetic segregation (scientific) or social segregation related to sexual orientation (political). Therefore, it is ambiguous.
"
19,segregation,"e, experience, food security, health care availability, health determinants, health outcome disparity, improved, insight, intersectionality, men of color, multi-ethnic, novel, peer, preference, programs, racial disparity, racial diversity, racial health disparity, racial minority, racism, response, segregation, sexual minority men, social, social stigma, structural determinants, substance use, substance use treatment, urban setting",Race & Place: The Impacts of Racial Inequality on Substance Use and HIV Outcomes in Los Angeles,NIH,POLITICAL,"The term ""segregation"" appears alongside other terms like ""racism,"" ""racial disparity,"" ""racial minority,"" and ""social stigma,"" indicating its use in the context of racial and social inequalities.
"
