id,term,context,title,agency,classification,explanation
1,segregation, in social determinants of health and unequal access to evidence-based health care services during critical periods of life. a long history of racial segregation in the chicago region has resulted in neighborhoods that are disproportionately burdened by poverty and related social determinants of health as well,NA,NIH,POLITICAL,"The term ""racial segregation"" is used to describe a social and political phenomenon that has resulted in unequal distribution of resources and health outcomes.
"
2,segregation,", we hypothesize that four forms of srd are likely to influence meth use among black gbmsm: housing discrimination, gentrification, racial and income segregation, and discriminatory lgbt community climate. additionally, we posit that these forms of srd operate through housing instability and inadequate service",NA,NIH,POLITICAL,"The term ""segregation"" is used in the context of racial and income segregation, which is a social and political issue related to inequality and discrimination.
"
3,segregation,"se had limited success in recruiting black women. thus, there has been virtually no study of causes of infertility in black women. racial residential segregation and racialized patterns of neighborhood investment and disinvestment have resulted in inequitable burdens of spatially-distributed environmental expo",NA,NIH,POLITICAL,"The term ""racial residential segregation"" refers to a social and political phenomenon of separation based on race, influencing neighborhood investment and environmental exposure.
"
4,segregation,"twork models, non-native, novel strategies, open source, public health intervention, racial difference, racial diversity, racial minority population, segregation, sex, sexual minority group, simulation, skills, social, social factors, social observations, social relationships, social stigma, structural determi",NA,NIH,POLITICAL,"The term 'segregation' is listed among terms like 'racial difference', 'racial diversity', 'racial minority population', suggesting it refers to racial segregation, a social and political issue.
"
5,segregation," genetic corepressor, genome-wide, genomic locus, insight, interest, loss of function, mutant, novel, programs, protein protein interaction, recruit, segregation, transcription factor",NA,NIH,SCIENTIFIC,"Explanation: In the context of genetics, particularly with terms like ""genetic corepressor,"" ""genome-wide,"" ""loss of function,"" and ""mutant,"" 'segregation' likely refers to the segregation of chromosomes or genes during cell division (mitosis or meiosis). This is a standard scientific concept.
"
6,segregation,"n, health training, high risk, housing instability, implementation science, improved, mortality, multiple chronic conditions, next generation, novel, segregation, sleep health, social health determinants, training opportunity",NA,NIH,POLITICAL,"Given the co-occurrence of terms like ""social health determinants,"" ""high risk,"" ""housing instability,"" and ""mortality,"" 'segregation' likely refers to residential segregation and its impact on health outcomes, which is a well-established area of research within the social and political realm influencing health.
"
7,segregation,"hway interactions, phenotype, physiological, prevention strategy, process, prospective cohort, public health, public policy, publishing, race, racial segregation, risk, risk factors, sampling, sampling studies, socioeconomic status, stress, structural racism, system, testing, time, tissues, united states, whit",NA,NIH,POLITICAL,"The presence of ""race,"" ""racial segregation,"" ""public policy,"" ""structural racism,"" and ""socioeconomic status"" strongly suggests a focus on social and political aspects related to racial inequality and segregation.
"
8,segregation,"ing for a pre-doctoral research training program to address sdh including structural racism and gender inequality, intersectional stigma, residential segregation, aging, and marginalizing structures influencing hiv. combatting the ongoing syndemic of sdh, hiv, affiliated co-morbidities, and other potentially o",NA,NIH,POLITICAL,"The term 'segregation' is used in the context of 'residential segregation' alongside 'structural racism' and 'gender inequality', indicating a focus on social and political structures.
"
9,segregation,"evel factors on depression, particularly in latinos, remains understudied. there exists a paucity of research that examines the effect of residential segregation on mental health. fewer still has assessed causal pathways— including through neighborhood features such as neighborhood social cohesion (nsc) and ne",NA,NIH,POLITICAL,"The term ""residential segregation"" is used in the context of its effect on mental health, particularly in relation to neighborhood features and social cohesion. This implicitly refers to the social and political structures that create and maintain residential segregation based on factors like race or ethnicity, thus connecting it to a broader social and political context.
"
10,segregation,"rity health, minority health disparity, mortality, multi-racial, novel, performance tests, racial minority population, racial population, residential segregation, response, social, social disparities, sound, theories, tool",NA,NIH,POLITICAL,"The term ""residential segregation"" is listed alongside terms like ""minority health disparity,"" ""racial minority population,"" and ""social disparities,"" indicating its use in a social and political context related to inequality and its impact on health.
"
11,segregation,"rity health, minority health disparity, mortality, multi-racial, novel, performance tests, racial minority population, racial population, residential segregation, response, social, social disparities, sound, theories, tool",NA,NIH,POLITICAL,"The term ""residential segregation"" in conjunction with terms like ""minority health disparity,"" ""racial minority population,"" and ""social disparities"" strongly suggests a focus on societal inequalities and their impact on health, which falls under a political context.
"
12,segregation,"nary, older men, peer, protective factors, public health relevance, racial minority, racial population, racism, research and development, residential segregation, response, sexual minority, social integration, social stigma, substance use, telomere, theories",NA,NIH,POLITICAL,"The presence of terms like ""racial minority,"" ""racial population,"" ""racism,"" ""social integration,"" and ""social stigma"" strongly suggests that ""residential segregation"" is being used in a socio-political context related to racial and social inequalities.
"
13,segregation,"ncome, marketing, methods, minority groups, outcome study, overdose, perception, pharmaceutical preparations, police, policies, poverty, race, racial segregation, recording of previous events, recurrence, research, resources, risk, role, structural racism, testing, time, trauma, united states, wages, writing, ",NA,NIH,POLITICAL,"The term ""racial segregation"" is listed alongside terms like ""minority groups,"" ""race,"" ""structural racism,"" and ""policies,"" indicating a social and political context related to inequality and discrimination.
"
14,segregation,"g, life span, macrovascular disease, mild cognitive impairment, neuroimaging, neuroinflammation, neuropathology, operation, prevent, racial minority, segregation, sociodemographics, tau proteins, vascular cognitive impairment and dementia",NA,NIH,POLITICAL,"The presence of ""racial minority"" and ""sociodemographics"" alongside ""segregation"" strongly suggests a social and political context related to racial or socioeconomic divisions.
"
15,segregation,"multi-ethnic, multimodal data, neoplasm registry, optimal treatments, population based, prospective, racial minority, recruit, residence, residential segregation, screening, social, social factors, social structure, structural determinants, survival outcome, survivorship",NA,NIH,POLITICAL,"""Residential segregation"" refers to the spatial separation of different racial or ethnic groups, a well-documented social and political issue with implications for health disparities and access to resources.
"
16,segregation,"s in both developmental periods, however translation of these mechanisms to humans has been hampered by the lack of an experimental model that allows segregation of effects related to early organizational effects and later activational processes in puberty. the recent advent of cross-sex hormone therapy (csht)",NA,NIH,SCIENTIFIC,"The term ""segregation"" refers to the separation of different effects (early organizational vs. later activational) in a scientific experiment or model.
"
17,segregation,"nce, latent hiv reservoir, male, men, novel, novel strategies, novel therapeutic intervention, novel therapeutics, preventive intervention, receptor, segregation, sex, social, therapeutic target, transgender women, treatment trial",NA,NIH,POLITICAL,"The context includes terms like ""sex,"" ""social,"" and ""transgender women,"" suggesting 'segregation' is likely used in a social or demographic context related to HIV research and affected populations.
"
18,segregation,", genome wide association study, genome-wide, genome-wide linkage, insight, interest, male, meetings, men, non-heterosexual, novel, posters, recruit, segregation, sex, sexual dimorphism, social, substance use, suicidal, trait",NA,NIH,AMBIGUOUS,"The presence of terms related to both genetics (""genome wide association study,"" ""genome-wide,"" ""genome-wide linkage"") and social issues (""non-heterosexual,"" ""social,"" ""men"") makes it unclear whether ""segregation"" refers to genetic segregation or social segregation. Without more context, it's impossible to determine the intended meaning.
"
19,segregation,"lor, multi-ethnic, novel, peer, preference, programs, racial disparity, racial diversity, racial health disparity, racial minority, racism, response, segregation, sexual minority men, social, social stigma, structural determinants, substance use, substance use treatment, urban setting",NA,NIH,POLITICAL,"The surrounding terms like ""racial disparity,"" ""racial diversity,"" ""racism,"" and ""social stigma"" strongly suggest a usage related to social and political inequalities rather than a technical scientific process of separation.
"
20,segregation,"e delayed hiv diagnoses and to be uninsured/underinsured than u.s.-born latinos, in addition to facing immigration- related barriers to care. spatial segregation among immigrant/migrant latino gbmsm is linked to diminished proximity to spanish-language pre-exposure prophylaxis (prep) and hiv service navigation",NA,NIH,POLITICAL,"The term ""spatial segregation"" is used to describe the separation of immigrant/migrant Latino GBMSM, which has implications for their access to healthcare services. This reflects a social and political context related to inequality and disparities based on immigration status and location.
"
21,segregation,"ssion, anxiety disorders, substance dependence); and (c) these survey data have been geocoded to characterize neighborhood context (e.g., residential segregation, income inequality, social capital). the specific aims of this project are to: (1) re-interview ~70% of surviving nsal participants (~2,600 people (6",NA,NIH,POLITICAL,"The term ""residential segregation"" is used in the context of neighborhood context and its potential influence on health outcomes, which is inherently a sociopolitical issue related to unequal access and opportunities based on residential location.
"
22,segregation,"nce risk of alzheimer’s disease and related dementias (adrd). for asas, racism and discrimination at the individual and area level (e.g., residential segregation; redlining) may result in potential cognitive health disparities; however, this area of research in asas is understudied. limited research suggests t",NA,NIH,POLITICAL,"The term ""residential segregation"" is used in the context of racism, discrimination, and redlining, which are all social and political factors. This directly connects it to systemic inequality and its potential health disparities, making it a political usage.
"
23,segregation,"roject, professional atmosphere, programs, psychologic, racial health disparity, racial minority population, racism, recidivism, recruit, resilience, segregation, social stress, timeline, tool",NA,NIH,POLITICAL,"The term 'segregation' is listed alongside terms like 'racial health disparity,' 'racial minority population,' and 'racism,' indicating a focus on social and political issues related to race.
"
24,segregation,"rative research: from culture to child: how collective perceptions of affective divergence shape interracial relationships in middle childhood racial segregation, tension, and discrimination continue to persist in u.s. society. this project examines how racial discord may spread from culture to child. this pro",NA,NSF,POLITICAL,"The term ""segregation"" is used in the context of racial segregation in U.S. society, which is a social and political issue.
"
25,segregation,"rative research: from culture to child: how collective perceptions of affective divergence shape interracial relationships in middle childhood racial segregation, tension, and discrimination continue to persist in u.s. society and this project examines how racial discord may spread from culture to child. this ",NA,NSF,POLITICAL,"The term 'segregation' is used in the context of racial segregation in U.S. society, which is a socio-political issue.
"
26,segregation,"litical views increasingly affects the selection of one’s friends, partners, and workplace. these trends, which appear to be closely linked to social segregation across party lines may pose a threat to the functioning of democratic institutions. existing research suggests that individuals with different politi",NA,NSF,POLITICAL,"The text explicitly links ""segregation"" to ""political views"" and ""party lines,"" indicating a social and political context.
"
27,segregation,"he project team conceptualizes systemic racism as the complex array of practices, policies, and systems of evaluation that contribute to the de facto segregation and scholarly devaluation of black scholars. this combination of challenges presents obstacles for scholars working to maximize their potential impac",NA,NSF,POLITICAL,"The term 'segregation' refers to de facto segregation, which is a social and political issue related to racial inequality and systemic racism.
"
28,segregation,"he project team conceptualizes systemic racism as the complex array of practices, policies, and systems of evaluation that contribute to the de facto segregation and scholarly devaluation of black scholars. this combination of challenges presents obstacles for scholars working to maximize their potential impac",NA,NSF,POLITICAL,"The term ""segregation"" is used in the context of systemic racism and the devaluation of Black scholars, indicating a social and political dimension related to inequality and discrimination.
"
29,segregation,"stereotypes in early childhood. here, we identify a potential novel source of stereotypes in children’s social environments: social structures (e.g., segregation, information bubbles, media biases) that skew who children see and meet, causing children to be exposed to a sample of group members that is not repr",NA,NSF,POLITICAL,"The term 'segregation' is used within the context of social structures that influence children's exposure to different groups, which directly relates to social and political aspects of inequality and bias.
"
30,segregation,"r individual outcomes, which drive most affordable housing policies in the us, and those of case studies that show persistent patterns of experienced segregation and exclusion inside mixed-income areas. geospatial, statistical, and qualitative methods examine segregation and access to opportunity to incorporat",NA,NSF,POLITICAL,"The term ""segregation"" is used in the context of affordable housing policies, exclusion, and access to opportunity, which are inherently social and political issues related to inequality and discrimination.
"
