id,term,context,title,agency,classification,explanation
1,sense of belonging,". 4) support a network of early-career scientists, artists, and mountain guides through continuing development opportunities and collaboration to support a career in the geosciences. rigorous program evaluation will iteratively refine the program and study program impacts, such as science identity, sense of belonging, career aspiration, and skill building among participants. throughout the funding period, gor will support 27 diverse female and nonbinary youth through in-person field expeditions, with an additional 36 youth participating in virtual expeditions. the program also enriches the experiences of 32 pee",GP-IN: Girls* On Rock: Building an inclusive outdoor STEAM research and mentorship experience,NSF,SCIENTIFIC,"The term 'sense of belonging' is being studied as a measurable outcome or impact of the program, alongside 'science identity', 'career aspiration', and 'skill building'. This suggests a scientific investigation of its effects, rather than a purely political usage.
"
2,sense of belonging,"l divide between stem faculty and a culturally diverse student population.  the project will assess not only the impact of the proposed innovations on student ability to successfully transition, but also the degree to which the professional development contributes to teaching effectiveness, student sense of belonging and learning, and departmental and institutional culture. project evaluation will assess the quality of the program and its ability to achieve grant goals and long-term project outcomes, as well as provide ongoing feedback to suggest improvements in implementation. the research focus of this projec",Fostering an Equity-minded Student Success Culture in STEM Through Faculty Development,NSF,POLITICAL,"The phrase ""sense of belonging"" is linked to culturally diverse students and improving departmental and institutional culture, indicating a focus on social equity and inclusion, which aligns with a political context.
"
3,sense of belonging,"cial science research being conducted by this alliance examines how urm stem faculty integrate their academic discipline, social and cultural identities, and their strengths, into their faculty identities.  the research also addresses questions about how stem faculty professional networks relate to sense of belonging, job satisfaction, academic self-efficacy, teaching evaluations, success and engagement; and it explores questions about what structural variables of the professional networks relate to faculty success and engagement within the networks.  the project uses social network analysis methods in a mixed ",The AGEP California State University Underrepresented Minority STEM Faculty Alliance Model: A Culturally-Informed Strengths-Based Approach to Advance Early-Career Faculty Success,NSF,SCIENTIFIC,"The term 'sense of belonging' is being examined in relation to professional networks, job satisfaction, academic self-efficacy, and faculty success within a STEM context. This indicates a scientific investigation of the factors influencing faculty success, rather than a purely political or social commentary.
"
4,sense of belonging,"all citizens.""    the alliances' broadening participation research will contribute to the knowledge base in different ways: the theory-driven study that simultaneously tests the mediating roles of self-efficacy, research excitement, racial climate, science identity, commitment to a stem career, and sense of belonging in the pathways to stem persistence and success. the state-of-the-art statistical methods (i.e., propensity score matching, mediation analysis) used in this study allow more robust causal inference and thus provide more rigorous evidence regarding the theory-based model. this study tests whether th",Louis Stokes New STEM Pathways and Research Alliance: USM LSAMP,NSF,SCIENTIFIC,"The term 'sense of belonging' is used as a measured psychological construct within a theory-driven study examining factors influencing STEM persistence and success. It's being analyzed alongside other psychological variables like self-efficacy and science identity using statistical methods.
"
5,sense of belonging,"es and rubrics as appropriate, commitment to optimal processes, pathway development (for governance), educational workshops and, (in the case of conferences), a brief daily online climate assessment tool), and (3) assess the overall impact of these interventions on the organizations and on members’ sense of belonging. the guidelines, practices, and lessons learned will initially be shared within division 9 of the american psychological association and up to nine additional partner organizations in psychology, reaching over 20,000 members. this partnership will be evaluated internally and externally, formatively",Collaborative Research: Creating Inclusive Scientific Societies through Policies and Practices,NSF,POLITICAL,"The ""sense of belonging"" is related to the impact of organizational policies and practices on members, indicating a focus on social inclusion and equity within the context of scientific societies, which aligns with a political/social context.
"
6,sense of belonging,"cial science research being conducted by this alliance examines how urm stem faculty integrate their academic discipline, social and cultural identities, and their strengths, into their faculty identities.  the research also addresses questions about how stem faculty professional networks relate to sense of belonging, job satisfaction, academic self-efficacy, teaching evaluations, success and engagement; and it explores questions about what structural variables of the professional networks relate to faculty success and engagement within the networks.  the project uses social network analysis methods in a mixed ",The AGEP California State University Underrepresented Minority STEM Faculty Alliance Model: A Culturally-Informed Strengths-Based Approach to Advance Early-Career Faculty Success,NSF,SCIENTIFIC,"The term 'sense of belonging' is being used in the context of a scientific study examining its relationship to job satisfaction, academic self-efficacy, and other variables within professional networks of STEM faculty. The research aims to understand how 'sense of belonging' impacts faculty success and engagement.
"
7,sense of belonging,"ureate degree graduates in stem disciplines, and (2) increase the number of urm transfers in stem disciplines. these objectives will be achieved by establishing an interactive, virtually linked network of stem centers at each partner institution and implementing high-impact practices, guided by the sense of belonging framework, to increase stem urms’ access to and participation in advising, mentoring, stem-focused resources, and developmental resources for social and peer support. by the end of the project period, bat-lsamp will have made a transformational impact on a large number of students across the state,",Louis Stokes New STEM Pathways Implementation-Only Alliance: The Bridges Across Texas Louis Stokes Alliances for Minority Participation,NSF,SCIENTIFIC,"The ""sense of belonging framework"" is used as a guide for implementing high-impact practices to increase access and participation in STEM for URM students. This suggests a deliberate, research-backed approach to fostering belonging within the STEM context, aligning with a scientific or educational intervention.
"
8,sense of belonging,"ed minorities (i.e., black, latinx, indigenous, and pacific islanders) are particularly underrepresented in science, technology, engineering, and mathematics (stem) and health careers. rather than ability, disparities in career entry for both groups are largely due to differences in motivation and “sense of belonging,” which have a significant impact on educational success and persistence to build a career in stem and health fields. research shows that adolescents who experience racism at work or in school have negative outcome expectations for future careers. for example, experiences stem-related gender bias u",Step UP for STEM and Health Careers: An Intervention to Reduce STEM-related biases and improve high school STEM learning environments,NIH,POLITICAL,"The term ""sense of belonging"" is used in the context of underrepresented minority groups in STEM fields, highlighting disparities in career entry due to differences in motivation and belonging, directly linking it to social and identity-based issues.
"
9,sense of belonging,"proach to school-wide transformation, teacher agency, and minoritized students’ climate science learning and belonging incorporating urgent issues of social and environmental justice into environmental science teaching can harness youth’s real-world interests and improve their engagement, learning, sense of belonging, and career interests. this may be especially true for students who are directly experiencing the intertwined burdens of structural racism and environmental injustice. this project will adapt and extend successful solar suitcase curricula that explicitly link technology learning experiences to envi","A Networked Improvement Community Approach to School-wide Transformation, Teacher Agency, and Minoritized Students’ Climate Science Learning and Belonging",NSF,POLITICAL,"The term 'sense of belonging' is used in relation to minoritized students, social justice, and structural racism, indicating a focus on social and political contexts.
"
10,sense of belonging," of change while helping current leaders use existing power to address systemic inequities. the goals of c-coast, from short- to long-term, are to 1): recruit and retain diverse undergraduate and graduate students and provide them professional development, mentorship, and peer networks to support a sense of belonging and identity; 2) educate current leaders on how to be more inclusive and change policies and practices that lead to inequities; and 3) increase the leadership skills of and opportunities for future leaders and prepare them to make policies and practices of cerf and their home institutions more incl",Collaborative Research: IMPLEMENTATION: C-COAST: Changing the Culture of our Occupations to Achieve Systemic Transformation,NSF,POLITICAL,"The term is used in the context of promoting diversity, inclusion, and addressing systemic inequities within an organization. These are concepts that fall under social and political realms.
"
