id,term,context,title,agency,classification,explanation
1,sex,"t summary despite high efficacy, oral preexposure prophylaxis (prep) has had limited population impact on hiv incidence in the us, in part because of challenges with pill-taking. bimonthly injections of cabotegravir were recently found to have superior efficacy to daily oral prep among men who have sex with men (msm), transgender women, and cisgender women. long-acting injectable (lai) prep could mitigate barriers to adherence and persistence, thereby increasing prep coverage. interest in lai prep has been high in some groups that are at disproportionately high risk of hiv infection and underrepr",Cabotegravir PrEP: Actionable Robust Evidence for Translation into Practice (CABARET),NIH,SCIENTIFIC,"The term ""sex"" is used to categorize participants in a study based on their biological sex (male/female) and gender identity (transgender women, cisgender women, men who have sex with men), which is relevant to HIV research and prevention strategies.
"
2,sex,"sexual orientation-related disparities in obstetrical and perinatal health project summary/abstract  compared to heterosexual women, sexual minority women (i.e., those with same-sex attractions, same-sex behavior, and/or a lesbian/gay/bisexual identity) are vulnerable to poor gynecological health; for ",Sexual orientation-related disparities in obstetrical and perinatal health,NIH,POLITICAL,"The text discusses disparities related to sexual orientation, which inherently involves social identities and political considerations related to healthcare access and equity. While within a scientific grant, the context of ""sexual minority women"" links directly to identity and social categories, making the usage political.
"
3,sex," this research agenda is to improve healthcare quality and ultimately the health of older tgd people. the overall objective of this study is to create a comprehensive understanding of the comorbidities and healthcare use of older tgd adults. consistent with not-md-19-001: “research on the health of sexual and gender minority (sgm) population,” we propose to do use novel algorithms to identify a sample of 30,000+ older tgd people in medicare data and follow their outcomes across 10 years of outpatient, acute- and post-acute claims and assessment data. we will also link medicare data to state-level",Examining Health Comorbidities and Healthcare Utilization Disparities among Older Transgender and Cisgender Adults in the U.S.,NIH,POLITICAL,"The term ""sex"" is implied within ""sexual and gender minority (sgm) population,"" referring to individuals whose sexual orientation, gender identity, or sex characteristics differ from the majority. This usage aligns with social identity and political advocacy for LGBTQ+ rights and health equity.
"
4,sex,"transhealthguide: transforming health for gender-diverse young adults using interventions to drive equity transgender and gender diverse (tgd) young adults (ages 18-24 years), with gender identities differing from their sex assigned at birth, are a growing nih-designated health disparities population. tgd young adults suffer higher rates of suicide than their cisgender counterparts; over half contemplate suicide in their lifetime. these and other health disparities are compounded for tgd young adults who are black or ",TransHealthGUIDE: Transforming Health for Gender-Diverse Young Adults Using Interventions to Drive Equity,NIH,SCIENTIFIC,"The phrase ""sex assigned at birth"" is a specific, technical term used in scientific and medical contexts to describe the sex recorded at birth, often based on external genitalia.
"
5,sex,"the bh-works suicide prevention program for sexual and gender minority youth project abstract suicide is the second leading cause of death for 15-to-24-year-olds in the united states. compared to their heterosexual and cisgender peers, sexual and gender minority (sgm) adolescents report significantly higher rates of suicidal ideation and suicide",The BH-Works Suicide Prevention Program for Sexual and Gender Minority Youth,NIH,POLITICAL,"The term ""sexual and gender minority"" refers to a social and identity-based group.
"
6,sex,"a randomized controlled trial of a game-based intervention to reduce alcohol use among sexual and gender minority youth project summary/abstract sexual and gender minority youth (sgmy; e.g., lesbian, gay, bisexual, transgender, and nonbinary people <18 years) experience substantial inequities in alcohol use, thus placing sgmy at greater risk for alcohol-related morbidity and mortality ac",A Randomized Controlled Trial of a Game-Based Intervention to Reduce Alcohol Use among Sexual and Gender Minority Youth,NIH,POLITICAL,"The term ""sex"" is used within the context of ""sexual and gender minority youth,"" which refers to a social and identity-based group. This aligns with a political usage focused on identity and minority status.
"
7,sex," response to the notice of special interest (nosi) identified as “not-ca- 24-032.” couples where both members smoke (i.e. dual-smoker couples; dscs) are highly prevalent and particularly unlikely to achieve abstinence. within dscs, little attention has been paid to understanding the unique needs of sexual and/or gender minority (sgm) couples (i.e., couples with at least one individual identifying as sgm). although sgm groups remain underrepresented in research, evidence strongly suggests they experience a disproportionate cancer burden, with tobacco being a leading cause of preventable disease an","Randomized Controlled Trial of Dyadic Financial Incentive Treatment for Dual Smoker Couples: Evaluation of Efficacy, Mechanisms, and Cost Effectiveness",NIH,POLITICAL,"The term ""sexual and/or gender minority (sgm)"" is used in the context of identity and social groups, highlighting underrepresentation in research and disparities in health outcomes.
"
8,sex,"experiences of rural sexual and gender minority couples: does alcohol use explain the link between minority stress and intimate partner discord and violence project summary/abstract alcohol use and destructive couple conflict, including intimate partner violence (ipv), represent dual public health threats for sexual and ge",Experiences of Rural Sexual and Gender Minority Couples: Does Alcohol Use Explain the Link Between Minority Stress and Intimate Partner Discord and Violence,NIH,SCIENTIFIC,"The term ""sexual"" is used within the context of ""sexual and gender minority couples,"" a demographic group studied in scientific research. The grant aims to understand factors affecting the health and well-being of this population.
"
9,sex,"training the long-term services and supports dementia care workforce in provision of care to sexual and gender minority residents summary in the us, sexual and gender minority (sgm) older adults are disproportionately at risk for alzheimer’s disease and related dementias (ad/adrd) and more likely to rely on long-term services and supports (ltss) than their cisgender, heterosexual peers. withou",Training the Long-Term Services and Supports Dementia Care Workforce in Provision of Care to Sexual and Gender Minority Residents,NIH,POLITICAL,"The term ""sex"" is used as part of the phrase ""sexual and gender minority,"" which refers to a social and political identity.
"
10,sex,"testing effective methods to recruit sexual and gender minority cancer patients for cancer studies abstract recently, nci called for research to effectively study small or rare populations relevant to cancer research. sexual and gender minorities (sgm) are small populations at disproportionate risk for cancer but who have been under-resea",Testing Effective Methods to Recruit Sexual and Gender Minority Cancer Patients for Cancer Studies,NIH,POLITICAL,"The term ""sexual...minorities"" is used to refer to a social group and their identity, placing it in a political/identity context.
"
