id,term,context,title,agency,classification,explanation
1,sexuality,"educes the risk of lung cancer mortality caused by tobacco smoking. recently, the age and smoking pack years were reduced in the eligibility guidelines, which determine who qualifies for ldct screening. this led to an increase in the number of people who were eligible, but no work on differences by sexuality or gender identity comparing the new and old criteria has been conducted. one possible cause of sgm individuals having higher eligibility rates is the number of risk factors sgm individuals experience at the individual, interpersonal, community, and policy levels based on the social ecological mode",Low Dose Computed Tomography (LDCT) Eligibility and Outcome differences between Sexual and Gender Minorities and their Sexual and Gender Majority Counterparts,NIH,POLITICAL,"The term 'sexuality' is used in the context of ""Sexual and Gender Minorities"" (SGM) and their counterparts, highlighting differences and disparities based on identity and social factors influencing health outcomes. This aligns with a social and political understanding of sexuality as a marker of group identity and potential vulnerability.
"
2,sexuality,"d in kuala lumpur (43%). central to this expanding hiv epidemic in msm is condomless sex, stis, and co-occurring psychiatric and substance use disorders (p/sud), especially depression and amphetamine-type stimulant (ats) use. insights into malaysia’s hiv prevention gap are multi-factorial. both homosexuality and substance use is criminalized in malaysia, making msm bear the dual burden of stigma and discrimination, including in healthcare, which promotes p/sud disparities in msm. msm are often hesitant to disclose their sexuality, risk behaviors or depressive symptoms, mostly due to fear of stigma, dis",Development and Testing of a Mobile Application to Enhance HIV Prevention Cascade in Malaysian MSM,NIH,POLITICAL,"The term ""sexuality"" is used in relation to stigma, discrimination, and legal criminalization of homosexuality in Malaysia, indicating a socio-political context impacting health outcomes.
"
3,sexuality,"nodeficiency virus test, incidence, individual, intervention, latino, masculine, measures, mediating, medical records, methods, newly diagnosed, outcome, pathway analysis, persons, population, prevention, prevention strategy, process, provider, public health, puerto rico, research, sexual partners, sexuality, site, social environment, social network, social support, source, stigmatization, us state, united states national institutes of health, work, community engaged intervention, community organizations, density, ethnic identity, experience, health disparity, improved, innovation, member, men who have",NEXUS: A novel social network approach to study the effects of intersectional stigma on HIV prevention among Latino MSM,NIH,SCIENTIFIC,"The term 'sexuality' appears in the context of a scientific grant proposal focused on HIV prevention among Latino MSM, suggesting its use is related to understanding sexual behavior, identity, and health outcomes within this population. The surrounding keywords like ""sexual partners,"" ""prevention strategy,"" ""social network,"" and ""health disparity"" further support this scientific context.
"
4,sexuality,"tersectional minority stress, mental health, and hiv treatment and care among msm living with hiv in ghana project summary/abstract in ghana, msm bear a high hiv burden, yet less than 4% of hiv-positive msm are on antiretroviral therapy—a disparity found throughout africa. social stressors, such as sexuality- and gender-based stigma, criminalization, and violence, have been linked to both poor mental health and hiv outcomes and may be barriers to optimal hiv service engagement among african msm. the goal of this k01 application is to apply intersectionality and minority stress theory to examine the imp","Intersectional minority stress, mental health, and HIV treatment and care among MSM living with HIV in Ghana",NIH,POLITICAL,"The term ""sexuality"" is used in the context of ""sexuality- and gender-based stigma, criminalization, and violence,"" indicating a social and political dimension related to minority stress.
"
5,sexuality," of lgbq+ youth. acute, adolescence, adolescent, adult, age, aggressive behavior, alcohol abuse, alcohol consumption, alcohols, attitude, belief, buffers, cross-sectional studies, data, development, disclosure, disparity, drug usage, event, female, gender identity, general population, health, heterosexuality, heterosexuals, homophobia, intervention, interview, knowledge, lesbian gay bisexual, lesbian gay bisexual transgender queer, link, literature, longitudinal studies, longitudinal surveys, mediation, mental health, methods, modeling, outcome, participant, pathway interactions, pattern, population, p",Peer Victimization and Risky Alcohol Use among Sexual Minority Youth: Understanding Mechanisms and Contexts,NIH,POLITICAL,"The term 'sexuality' is used in the context of ""sexual minority youth"" and terms like ""lgbtq+"", ""homophobia"", ""heterosexuality,"" pointing towards a discussion of identity, social issues, and power dynamics.
"
6,sexuality,"on studies, lead, methods, morbidity - disease rate, nih office of aids research, outcome, perception, persons, positioning attribute, prevalence, prevention research, process, public health, race, randomized, randomized  controlled trials, research, research methodology, resources, safety, series, sexuality, site, social environment, social network, structural racism, structure, sum, testing, translating, united states national institutes of health, viral, waiting lists, work, youth, acceptability and feasibility, barrier to care, behavior change, care outcomes, community based participatory research,",Brothers building brothers by breaking barriers (B6): A resilience-focused intervention for young Black gay and bisexual men living with HIV,NIH,SCIENTIFIC,"Explanation: In the context of a scientific grant focused on health outcomes and disease prevention for a specific population (young Black gay and bisexual men living with HIV), ""sexuality"" is likely being used in a scientific context related to sexual behavior, identity, and its impact on health outcomes like HIV transmission and risk factors. The surrounding terms such as ""prevalence,"" ""prevention research,"" ""behavior change,"" and ""care outcomes"" further support this scientific interpretation.
"
7,sexuality,"es, logistics, long-term effects, manufacturer, marketing, medical, methods, monitor, oral contraceptives, outcome, parents, persons, pharmaceutical preparations, pharmacy facility, population, provider, public health, race, relapse, research, risk, san francisco, schedule, services, sexual health, sexuality, sexually transmitted diseases, surveys, testing, treatment failure, united states national institutes of health, visit, acceptability and feasibility, black men, black men who have sex with men, cis-female, cis-male, cohort, cost, demographics, ethnic disparity, ethnic minority population, experie","Over-the-Counter PrEP: Acceptability, Feasibility, and Potential Impact of Access without a Prescription (OFFSCRIPT)",NIH,SCIENTIFIC,"The term 'sexuality' appears alongside terms like 'sexual health', 'sexually transmitted diseases', 'risk', 'population', 'demographics', and is clearly within the scope of a scientific study related to public health and disease prevention.
"
8,sexuality,"indigenous, and people of color (bipoc individuals), those with disabilities and chronic disease, individuals who are transgender or gender-nonconforming (tgnc individuals), and people of lower socioeconomic status. one exacerbating factor for these health inequities is the social stigmatization of sexuality, which compels individuals to keep their utilization of srh services private for fear of negative repercussions, particularly for people who hold minoritized identities. in the united states, one major threat to patient privacy is the paper trail associated with utilization of health insurance. hea",Confidentiality in use of health insurance coverage for reproductive health services,NIH,POLITICAL,"The term 'sexuality' is used in the context of social stigmatization and its impact on healthcare access for marginalized groups. This aligns with a discussion of social and political issues related to identity and discrimination.
"
9,sexuality,"tners to date. in doing so, these results will provide the foundation required for future research to develop alcohol-related ipv interventions effectively tailored to meet the needs of bi+ young adults. address, adult, age, alcohol consumption, alcohols, attenuated, attitude, behavior, bisexual, bisexuality, characteristics, conflict (psychology), couples, data, development, discrimination, disparity, exposure to, foundations, future, gays, gender, gender identity, goals, health, heavy drinking, heterosexuals, individual, intervention, knowledge, lesbian, link, literature, methodology, outcome, person",Daily Impact of Sexual Minority Stress on Alcohol-Related Intimate Partner Violence among Bisexual+ Young Adults: A Couples' Daily Diary Study,NIH,SCIENTIFIC,"The grant title and included keywords (""bisexual,"" ""bisexuality,"" ""gays,"" ""lesbian,"" ""gender identity,"" ""sexual minority stress"") clearly indicate a scientific study investigating relationships between sexuality, minority stress, and intimate partner violence.
"
10,sexuality,"s, individual, intervention, investigation, lesbian gay bisexual transgender queer, loneliness, manuals, marriage, mental depression, mentorship, modeling, morbidity - disease rate, patient self-report, persons, policies, population, public health, quality of life, race, research, series, services, sexuality, site, social work, social isolation, social support, source, support groups, time, training, viral load result, acceptability and feasibility, cisgender, community building, community engagement, depressive symptoms, efficacy evaluation, evidence base, experience, health service use, implementatio",Bridge to Belonging (B2B): Peer led intervention to reduce loneliness and depression among older gay and bisexual men,NIH,POLITICAL,"The term ""sexuality"" appears alongside terms like ""lesbian gay bisexual transgender queer,"" ""cisgender,"" and ""race,"" indicating a discussion related to identity, social groups, and population demographics. This suggests a political or social context related to marginalized groups.
"
