id,term,context,title,agency,classification,explanation
1,sexuality,"educes the risk of lung cancer mortality caused by tobacco smoking. recently, the age and smoking pack years were reduced in the eligibility guidelines, which determine who qualifies for ldct screening. this led to an increase in the number of people who were eligible, but no work on differences by sexuality or gender identity comparing the new and old criteria has been conducted. one possible cause of sgm individuals having higher eligibility rates is the number of risk factors sgm individuals experience at the individual, interpersonal, community, and policy levels based on the social ecological mode",Low Dose Computed Tomography (LDCT) Eligibility and Outcome differences between Sexual and Gender Minorities and their Sexual and Gender Majority Counterparts,NIH,POLITICAL,"The term ""sexuality"" is used within the context of ""Sexual and Gender Minorities (SGM)"" and refers to a social identity group that experiences health disparities potentially stemming from social and policy factors. This aligns with a political understanding of sexuality as it relates to identity, discrimination, and access to healthcare.
"
2,sexuality,"d in kuala lumpur (43%). central to this expanding hiv epidemic in msm is condomless sex, stis, and co-occurring psychiatric and substance use disorders (p/sud), especially depression and amphetamine-type stimulant (ats) use. insights into malaysia’s hiv prevention gap are multi-factorial. both homosexuality and substance use is criminalized in malaysia, making msm bear the dual burden of stigma and discrimination, including in healthcare, which promotes p/sud disparities in msm. msm are often hesitant to disclose their sexuality, risk behaviors or depressive symptoms, mostly due to fear of stigma, dis",Development and Testing of a Mobile Application to Enhance HIV Prevention Cascade in Malaysian MSM,NIH,POLITICAL,"The term ""sexuality"" is used in the context of stigma, discrimination, and criminalization, which are all political and social issues related to sexual identity and behavior in Malaysia. The grant text highlights the impact of these political factors on the health and well-being of MSM.
"
3,sexuality,"nodeficiency virus test, incidence, individual, intervention, latino, masculine, measures, mediating, medical records, methods, newly diagnosed, outcome, pathway analysis, persons, population, prevention, prevention strategy, process, provider, public health, puerto rico, research, sexual partners, sexuality, site, social environment, social network, social support, source, stigmatization, us state, united states national institutes of health, work, community engaged intervention, community organizations, density, ethnic identity, experience, health disparity, improved, innovation, member, men who have",NEXUS: A novel social network approach to study the effects of intersectional stigma on HIV prevention among Latino MSM,NIH,SCIENTIFIC,"The grant focuses on HIV prevention among Latino MSM (men who have sex with men). In this context, sexuality is being studied as a factor influencing sexual behavior and risk of HIV transmission.
"
4,sexuality,"tersectional minority stress, mental health, and hiv treatment and care among msm living with hiv in ghana project summary/abstract in ghana, msm bear a high hiv burden, yet less than 4% of hiv-positive msm are on antiretroviral therapy—a disparity found throughout africa. social stressors, such as sexuality- and gender-based stigma, criminalization, and violence, have been linked to both poor mental health and hiv outcomes and may be barriers to optimal hiv service engagement among african msm. the goal of this k01 application is to apply intersectionality and minority stress theory to examine the imp","Intersectional minority stress, mental health, and HIV treatment and care among MSM living with HIV in Ghana",NIH,POLITICAL,"The term ""sexuality"" is used in the context of ""sexuality- and gender-based stigma, criminalization, and violence,"" which are social and political issues affecting MSM.
"
5,sexuality," of lgbq+ youth. acute, adolescence, adolescent, adult, age, aggressive behavior, alcohol abuse, alcohol consumption, alcohols, attitude, belief, buffers, cross-sectional studies, data, development, disclosure, disparity, drug usage, event, female, gender identity, general population, health, heterosexuality, heterosexuals, homophobia, intervention, interview, knowledge, lesbian gay bisexual, lesbian gay bisexual transgender queer, link, literature, longitudinal studies, longitudinal surveys, mediation, mental health, methods, modeling, outcome, participant, pathway interactions, pattern, population, p",Peer Victimization and Risky Alcohol Use among Sexual Minority Youth: Understanding Mechanisms and Contexts,NIH,POLITICAL,"The presence of terms like ""LGBTQ+"", ""homophobia,"" ""disparity,"" and the focus on ""sexual minority youth"" indicate a concern with social and political identities and issues related to sexual orientation.
"
6,sexuality,"on studies, lead, methods, morbidity - disease rate, nih office of aids research, outcome, perception, persons, positioning attribute, prevalence, prevention research, process, public health, race, randomized, randomized  controlled trials, research, research methodology, resources, safety, series, sexuality, site, social environment, social network, structural racism, structure, sum, testing, translating, united states national institutes of health, viral, waiting lists, work, youth, acceptability and feasibility, barrier to care, behavior change, care outcomes, community based participatory research,",Brothers building brothers by breaking barriers (B6): A resilience-focused intervention for young Black gay and bisexual men living with HIV,NIH,SCIENTIFIC,"The term 'sexuality' appears within a list of keywords related to research methodology, health outcomes, and demographic factors (race, youth). This suggests its use in a technical/scientific context related to studying the health and behavior of a specific population.
"
7,sexuality,"es, logistics, long-term effects, manufacturer, marketing, medical, methods, monitor, oral contraceptives, outcome, parents, persons, pharmaceutical preparations, pharmacy facility, population, provider, public health, race, relapse, research, risk, san francisco, schedule, services, sexual health, sexuality, sexually transmitted diseases, surveys, testing, treatment failure, united states national institutes of health, visit, acceptability and feasibility, black men, black men who have sex with men, cis-female, cis-male, cohort, cost, demographics, ethnic disparity, ethnic minority population, experie","Over-the-Counter PrEP: Acceptability, Feasibility, and Potential Impact of Access without a Prescription (OFFSCRIPT)",NIH,SCIENTIFIC,"The term 'sexuality' appears alongside 'sexual health' and 'sexually transmitted diseases,' indicating a scientific or medical research context related to health and behavior.
"
8,sexuality,"indigenous, and people of color (bipoc individuals), those with disabilities and chronic disease, individuals who are transgender or gender-nonconforming (tgnc individuals), and people of lower socioeconomic status. one exacerbating factor for these health inequities is the social stigmatization of sexuality, which compels individuals to keep their utilization of srh services private for fear of negative repercussions, particularly for people who hold minoritized identities. in the united states, one major threat to patient privacy is the paper trail associated with utilization of health insurance. hea",Confidentiality in use of health insurance coverage for reproductive health services,NIH,POLITICAL,"The text discusses the ""social stigmatization of sexuality"" and how this affects access to reproductive health services, particularly for marginalized groups. This connects sexuality to social power dynamics, identity, and discrimination, indicating a political context.
"
9,sexuality,"tners to date. in doing so, these results will provide the foundation required for future research to develop alcohol-related ipv interventions effectively tailored to meet the needs of bi+ young adults. address, adult, age, alcohol consumption, alcohols, attenuated, attitude, behavior, bisexual, bisexuality, characteristics, conflict (psychology), couples, data, development, discrimination, disparity, exposure to, foundations, future, gays, gender, gender identity, goals, health, heavy drinking, heterosexuals, individual, intervention, knowledge, lesbian, link, literature, methodology, outcome, person",Daily Impact of Sexual Minority Stress on Alcohol-Related Intimate Partner Violence among Bisexual+ Young Adults: A Couples' Daily Diary Study,NIH,SCIENTIFIC,"The grant title and keywords suggest a scientific study investigating the impact of minority stress on alcohol-related violence within bisexual+ young adult couples. The use of ""sexuality,"" ""bisexual,"" ""bisexuality,"" ""gays,"" ""lesbian,"" and ""heterosexuals"" in conjunction with research terms like ""data,"" ""methodology,"" ""intervention,"" and ""outcome"" indicates a scientific investigation of sexuality as a variable.
"
10,sexuality,"s, individual, intervention, investigation, lesbian gay bisexual transgender queer, loneliness, manuals, marriage, mental depression, mentorship, modeling, morbidity - disease rate, patient self-report, persons, policies, population, public health, quality of life, race, research, series, services, sexuality, site, social work, social isolation, social support, source, support groups, time, training, viral load result, acceptability and feasibility, cisgender, community building, community engagement, depressive symptoms, efficacy evaluation, evidence base, experience, health service use, implementatio",Bridge to Belonging (B2B): Peer led intervention to reduce loneliness and depression among older gay and bisexual men,NIH,POLITICAL,"The term 'sexuality' appears alongside terms like ""lesbian gay bisexual transgender queer,"" ""race,"" ""cisgender,"" and ""policies,"" indicating a focus on identity and social categories, aligning with a political context within the research.
"
