id,term,context,title,agency,classification,explanation
1,social justice,"ose, perinatal, persons, post-traumatic stress disorders, postpartum depression, postpartum period, postpartum women, pregnancy, pregnancy complications, pregnant women, public health, research, research infrastructure, research personnel, research project grants, review committee, scientist, site, social justice, substance use disorder, training, translating, translational research, underrepresented minority, universities, white women, woman, work, behavioral health, black women, community engagement, community organizations, community partners, community partnership, coral, effective intervention, experie",Center to Advance Reproductive Justice and Behavioral Health among Black Pregnant/Postpartum Women and Birthing People (CORAL).,NIH,POLITICAL,"The presence of terms like ""Black women,"" ""underrepresented minority,"" ""community engagement,"" and ""reproductive justice"" strongly suggests the use of 'social justice' is related to addressing systemic inequities and promoting equitable outcomes for specific social groups, which aligns with a political context.
"
2,social justice," knowledge and skills to understand and evaluate statistical analyses in published research. the second will introduce scholars to notions of community cultural wealth and funds of knowledge to affirm the strengths they bring to the biomedical research endeavor and support them in using science for social justice. academia, address, awareness, biological sciences, biomedical research, career choice, characteristics, communication, communities, complement, development, disabled persons, discipline, doctor of philosophy, education, ethnic origin, evaluation, face, faculty, feedback, fellowship, funding, gende",PREP at University of Georgia,NIH,POLITICAL,"The phrase ""using science for social justice"" suggests applying scientific knowledge to address social inequalities and promote fairness, indicating a political context.
"
3,social justice,"xel’s dornsife school of public health and college of nursing and health professions, leverages our nationally and internationally recognized nih and other extramurally supported research, our community-based clinical practices serving diverse, underserved communities, and our shared core values of social justice and health equity guiding our pedagogy, research and hiring practices. our proposal also strongly reflects drexel university’s unwavering commitment and newly instituted strategic goals to promote inclusive excellence and ensure diversity, equity, retention, and promotion across for diverse faculty",Catalyzing Systemic Change at Drexel University to Support Diverse Faculty in Health Disparities Research,NIH,POLITICAL,"The term 'social justice' is used alongside 'health equity', 'inclusive excellence', and 'diversity, equity, retention, and promotion', indicating its application within a broader framework of social and political values related to fairness and equal opportunity, especially concerning faculty hiring and research impacting underserved communities.
"
4,social justice,"cipation, modeling, not hispanic or latino, outcome, pacific islander, participant, pathway interactions, peer review, perception, persons, population, prevalence, procedures, process, professional organizations, publications, race, recommendation, reporting, research, research personnel, sampling, social justice, societies, source, surveys, trust, vision disorders, visual, work, cohort, community based participatory research, comparative, concept mapping, design, disability, distrust, ethnic diversity, ethnic identity, ethnic minority, evidence base, evidence based guidelines, experience, health disparity,","Disability, diversity and trust in precision medicine research: stakeholdersengagement",NIH,POLITICAL,"The term 'social justice' is listed alongside terms like 'disability,' 'diversity,' 'ethnic diversity,' 'ethnic minority,' and 'health disparity,' indicating its use relates to fairness and equity within society, aligning with a social and political context.
"
5,social justice,"m at university of utah abstract the vision of the utah clinical & translational science institute (ctsi) is to strategically and ethically develop and apply generalizable and reproducible clinical and translational science (cts) innovations to increase science equity and health equity, and promote social justice. the utah ctsi collaborates with local, regional, and national partners and collaborators to achieve this vision through four specific aims: (1) serve as a well-recognized hub for clinical and translational science that promotes science and health equity in a measurable, reproducible, and sustainab",CTSA UM1 Program at University of Utah,NIH,POLITICAL,"The term ""social justice"" is used in conjunction with ""science equity"" and ""health equity"" indicating a concern for fair distribution of resources and opportunities, which is a political context.
"
6,social justice,"the coordination and data collection center (cdcc) to provide management, direction, and overall coordination of the radx-up consortium. together, our multidisciplinary experience in project coordination; covid-19 thought leadership; regulatory science; community engagement; health equity research; social justice; adult and child research; statistics; data science; and clinical research informatics will advance the objectives of the projects in the radx-up program. our overarching goal is to implement a community-centered approach and establish an effective, flexible, participatory, and sustainable cdcc tha",RADx-UP CDCC,NIH,POLITICAL,"The term is listed alongside ""community engagement"" and ""health equity research,"" suggesting a focus on addressing systemic inequalities, aligning with a political understanding of social justice.
"
7,social justice,"securing health equity: philosophical foundations for equality and social justice in public health and health care project summary/ abstract social justice is the primary ethical value underlying health equity. the public health literature, due to its disciplinary limitations, does not “secure” conceptions of health equity to an in-depth theory of social justice. political philo",Securing Health Equity: Philosophical Foundations for Equality and Social Justice in Public Health and Health Care,NIH,POLITICAL,"The text explicitly connects social justice to ethical values and health equity, framing it as a guiding principle for public health policy and healthcare, which are inherently political domains. The reference to ""political philo"" further reinforces this classification.
"
8,social justice,"ate in qualifying exam working group designed plan of study for qualifying exams that will take place in spring of their second year. in the summer of their second year, students will participate in the imsd graduate leadership academy for diversity (glad). the program includes seminars, workshops, social justice journal club and community events imsd graduate aimed at helping students develop independent research initiative and mentorship skills. it also provides opportunities to explore career pathways and create a concrete career plan. finally, the program prepares students to further impact the campus' ",UCSC IMSD,NIH,POLITICAL,"The term ""social justice"" is used in the context of diversity, leadership, and community events aimed at helping students develop research and mentorship skills. This suggests a focus on equity and inclusion, which aligns with the political dimension of social justice.
"
9,social justice,"te minors, certificates, and degrees. on average, blacks comprise about 3% of all data science professionals, demonstrating the need for an alliance-scale effort to address this stem broadening participation challenge. also central to ndsa goals is expanding data science research that advocates for social justice and transforming data science discoveries into tangible benefits that advance equity for all. the potential for the perpetuation of harm through biased data technologies and algorithms is well documented. the ndsa establishes a national network of historically black colleges and universities (hbcus",NSF INCLUDES Alliance: National Data Science Alliance (NDSA),NSF,POLITICAL,"The text connects 'social justice' to equity, addressing the underrepresentation of Black professionals in data science and the potential for biased data technologies to perpetuate harm. This framing reflects a concern for social and political fairness.
"
10,social justice,"educating science and mathematics majors to teach with social justice models in high-needs schools this project aims to serve the national need to recruit and retain highly qualified stem teachers for grades 6-12 with a commitment to serve in high-need school districts. the project will recruit, produce, and place 19 highly qualified, certified, grades 6-12 stem teac",Educating Science and Mathematics Majors to Teach with Social Justice Models in High-Needs Schools,NSF,POLITICAL,"The term ""social justice"" is used in the context of addressing inequities in educational access and outcomes, particularly within high-need schools. This aligns with a broader political and social understanding of social justice as fairness and equity across different groups.
"
