id,term,context,title,agency,classification,explanation
1,sociocultural,"f the highest hiv incidence rates nationally.11 the framework for the study is based on three relevant theories. first, syndemic theory2 contends that hiv and quality of life (qol) disparities are propagated by the synergistic co- occurrence of disease (e.g., health issues, substance use behaviors, sociocultural factors), some of which are unique to osmm. second, the minority stress model3,4 extends syndemic theory by positing that osmm face enduring unique stressors resulting from their marginalized identities that perpetuate psychological adversity. lastly, intersectionality theory5 posits that osmm expe",Exploring the Role of Novel Aging-Focused Syndemic Conditions on HIV Risk and Quality of Life among HIV-Negative Older Sexual Minority Men,NIH,SCIENTIFIC,"The term 'sociocultural factors' is used within the context of syndemic theory, where it's presented as one of the components (along with disease and substance use behaviors) contributing to HIV and quality of life disparities. This aligns with a technical, scientific application of the term within a health-related theoretical framework.
"
2,sociocultural,"prevent, preventive intervention, prospective, psychological distress, public health priorities, public health relevance, queer, racial minority population, racism, recruit, self esteem, sexual minority group, sexual risk behavior, sexual risk reduction, social, social culture, social epidemiology, sociocultural determinant, therapy design, time use, uptake, volunteer",Hermanos de Luna y Sol: A community-based HIV prevention intervention,NIH,SCIENTIFIC,"The term ""sociocultural determinant"" alongside terms like ""social epidemiology"" and ""public health relevance"" indicates a technical, scientific context focused on understanding factors that influence health outcomes within a population.
"
3,sociocultural," 2) to compare symptoms and diagnostic evaluation of women who have early versus advanced stage uterine cancer and examine their role in influencing racial disparity in stage at diagnosis; and 3) to conduct a population-based patient experience survey and link to cancer registry data to examine how sociocultural, behavioral and access barriers affect disparity in uterine cancer diagnosis. aims 1- 2 will draw on three unique large healthcare databases that have patient-level indicators of race/ethnicity and socioeconomic status, contain a complete record of patients’ diagnostic pathway starting from the tim",Racial Disparity in Diagnostic Evaluation of Uterine Cancer,NIH,SCIENTIFIC,"The term 'sociocultural' is used alongside 'behavioral' and 'access barriers' as factors influencing health disparities, indicating a scientific and analytical approach to understanding disease diagnosis within a population.
"
4,sociocultural," this dissertation study will employ multilevel models in order to account for clustering in two population-based datasets: the latino sample in the multi-ethnic study of atherosclerosis and its ancillary neighborhood study (aim 1,2) and the hispanic community health survey/study of latinos and its sociocultural ancillary study (aim 3). in order to address gaps in the literature i will 1) carryout a mediation analysis using a multilevel model across two time points (2003, 2010) to examine the direct and indirect effects of residential segregation on depressive symptoms through individual-level nsc and np (","Neighborhood Social Environment, Composition and Depression in Latinx",NIH,SCIENTIFIC,"The term 'sociocultural' is used to describe an ancillary study related to a health survey, suggesting a focus on the social and cultural factors that influence health outcomes, which is a common area of scientific inquiry.
"
5,sociocultural,"n outcomes. we will create a regional hub for implementation science by providing advanced training for faculty (who are not yet expert in implementation science), doctoral level training and capacity development of students at a renowned public health university that is at the forefront of dynamic sociocultural, religious and political shifts. building on over 13 years of successful collaborations and partnerships in medical and public health research for key populations, with or at risk for hiv, we are poised to focus implementation science to overcome health disparities for pwid, msm, fsw, transgender p",Malaysian Implementation Science Training (MIST) Program in HIV,NIH,POLITICAL,"The term 'sociocultural' is used in conjunction with 'religious and political shifts,' indicating a focus on societal norms, beliefs, and power dynamics, which aligns with a political context.
"
6,sociocultural," including three research aims and two data collection efforts. during the k99 phase, a mixed-methods case-control study will gain a broad scope of population-specific eating disorder risk factors in sexual minority women (aim 1) through rich quantitative assessments about eating disorder symptoms, sociocultural pressures and minority stress, and video diaries that capture the response to discrimination, social pressure, and eating disorder episodes in real time. the results from aim 1 and the community stakeholder advisory board (n=6) will inform the scope of the subsequent research. a well-known limitati",Population-Specific Eating Disorder Risk Factors in Sexual Minority Women,NIH,SCIENTIFIC,"The term 'sociocultural pressures' is used in conjunction with 'eating disorder symptoms' and 'minority stress' to describe factors related to eating disorder risk, which is a scientific/medical context.
"
7,sociocultural,"gful safety data on this population, which can be used to promote tw's participation in subsequent phases. unfortunately, tw face multiple social and structural barriers to hiv vaccine trials participation, including stigma, discrimination, and transphobia (among others), all of which require large sociocultural changes to address. however, our formative work found a lack of tailored communication is also a critical, and more proximal, barrier to hiv vaccine trials engagement. for example, current efforts do not provide sufficient information on topics of concern to tw, nor do they offer information in a w","Formative work to develop differentiated communication tools to facilitate transgender women's recruitment, enrollment, and retention in HIV vaccine trials",NIH,POLITICAL,"The term ""sociocultural changes"" refers to broad societal shifts needed to address stigma, discrimination, and transphobia, which are inherently political and social issues.
"
8,sociocultural,"ding, and increased art access and adherence support for youth living with hiv (ylh) are critical to turn around lagging indicators across the hiv prevention and care continuum. however, to-date, no interventions have undergone rigorous effectiveness and implementation research in nigeria's complex sociocultural milieu. icare nigeria is a successful nichd- funded patc3h research partnership investigating two youth-specific interventions to improve: (1) hiv case- finding and linkage-to-care among ymsm and ytw, and (2) adherence and viral suppression among largely vertically-infected ylh on art. each interve",Intensive Combination Approach to Rollback the HIV Epidemic in Nigerian Youth (iCARE) Plus Effectiveness / Implementation Hybrid Study,NIH,SCIENTIFIC,"The term ""sociocultural milieu"" refers to the complex interplay of social and cultural factors within Nigeria that influence the effectiveness and implementation of HIV interventions. This aligns with a scientific approach of understanding the environmental factors affecting a health outcome.
"
9,sociocultural,"ty data show that 1 in 4 black women8 and 1 in 5 latinos9 (across gender) in the us identify as sexual minority. lack of racial diversity in sampling presumes that the types, severity and frequency of stressors impacting alcohol use among smw is uniform across racial/ethnic groups. as a result, key sociocultural and/or community-level factors impacting alcohol use among black and latina smw have been minimized or altogether unobserved. the institute of medicine (2011)10 and national institutes of health (2019, 2020)11,12 emphasized the need for research that considers how intersectional stigma across race ",Health Effects of Intersectional Stigma among Sexual Minority Women,NIH,SCIENTIFIC,"The term 'sociocultural' refers to factors impacting alcohol use among specific demographic groups, which is a topic of scientific inquiry within public health and social sciences.
"
10,sociocultural,"ended doses, with blacks having the greatest disparity in completion. hpv vaccine hesitancy is associated with under-vaccination and refusal. an estimated 23% of parents with adolescents are hesitant about the hpv vaccine, but parents’ concerns vary due to a myriad of individual, interpersonal, and sociocultural factors. effective strategies to overcome parents’ concerns are needed, especially among black families, who have higher prevalence of general vaccine hesitancy and medical mistrust due to racial inequities. the purpose of this nci transition career development award (k22) is to support me through ",Addressing HPV vaccination disparities through tailored messaging for hesitant families,NIH,SCIENTIFIC,"The term 'sociocultural factors' is used to describe a category of influences (along with individual and interpersonal factors) that contribute to HPV vaccine hesitancy, a phenomenon being studied scientifically.
"
