id,term,context,title,agency,classification,explanation
1,socioeconomic,"biome, infant outcome, inflammatory marker, manufacture, microbiome, microbiome composition, microbiota, microbiota composition, mortality, mortality risk, novel, optimism, pandemic disease, prevent, randomized placebo controlled trial, randomized trial, recruit, rural south africa, social factors, socioeconomics, success, transmission process",Trial of Human Milk Oligosaccharide-based synbiotics for HIV-exposed uninfected children,NIH,AMBIGUOUS,"The surrounding terms are a mix of scientific and social factors. While 'socioeconomics' could relate to the health outcomes in the study population, it's not explicitly linked to a specific scientific measurement or analysis in the provided context. The term ""social factors"" also appears, suggesting the socioeconomic term is being used to differentiate it from this.
"
2,socioeconomic,"health care quality, health care service utilization, health difference, health disparity, healthcare burden, high risk, improved, innovation, marginalization, member, novel, peer, poor health outcome, racial minority, routine care, sex, sexual minority group, sexual minority health, social stigma, socioeconomics, structural determinants, theories, transgender",Examining Health Comorbidities and Healthcare Utilization Disparities among Older Transgender and Cisgender Adults in the U.S.,NIH,SCIENTIFIC,"The term 'socioeconomics' appears alongside other terms related to health disparities, structural determinants, and risk factors, indicating its use in a scientific context to analyze factors influencing health outcomes.
"
3,socioeconomic,"ization, morbidity - disease rate, outcome, pathway analysis, persons, policies, population, positioning attribute, prevention strategy, preventive, prisons, radx underserved populations, resources, rhode island, sars-cov-2 infection, sars-cov-2 transmission, safety, sampling, site, social network, socioeconomic status, structural racism, structure, study models, system, techniques, testing, us state, united states, vaccinated, vaccination, vaccines, vulnerable populations, washington, adverse outcome, barrier to care, community reentry, community setting, comparative, data integration, dynamic system, exp",Integrated Network Analysis of RADx-UP Data to Increase COVID-19 Testing and Vaccination Among Persons Involved with Criminal Legal Systems (PCLS),NIH,SCIENTIFIC,"The term ""socioeconomic status"" is listed alongside other scientific and research-related terms like ""morbidity,"" ""pathway analysis,"" ""sampling,"" and ""data integration,"" suggesting its use is within a scientific or research context to describe a variable or factor being studied.
"
4,socioeconomic,"ioral health, beneficiary, care coordination, community based service, ethnic minority population, experience, gender minority group, gender minority youth, health care disparity, health care quality, health organization, high risk, high risk population, improved, innovation, insight, interest, low socioeconomic status, member, parent grant, peer, population health, primary care provider, primary care setting, programs, racial minority population, response, sexual minority group, sexual minority youth, social health determinants, social stigma, therapy development, treatment services",Effect of Medicaid Accountable Care Organizations on Behavioral Health Care Quality and Outcomes for Children,NIH,SCIENTIFIC,"""Socioeconomic status"" is listed alongside other factors related to health and population characteristics within the context of a scientific grant proposal focused on healthcare quality and outcomes. This indicates a technical/scientific usage related to studying health disparities and risk factors.
"
5,socioeconomic,"ehouse, design, disease disparity, disparity reduction, education research, experience, flexibility, human subject, implementation science, instrument, meetings, member, minority health, minority health disparity, operation, programs, response, skill acquisition, skills, social health determinants, socioeconomics, tool, web site, webinar, working group",Research Coordinating Center to Reduce Disparities in Multiple Chronic Diseases (RCC RD-MCD),NIH,SCIENTIFIC,"The term 'socioeconomics' appears within a list of keywords related to research on health disparities and social determinants of health, indicating its use in a technical context relevant to scientific research.
"
6,socioeconomic," length, life cycle stages, link, measures, mediating, methylation, modeling, mothers, neighborhoods, newborn infant, outcome, pathway interactions, perinatal, population, pregnancy, pregnant women, premature birth, race, research, research personnel, risk, role, sampling, site, social environment, socioeconomic status, source, spottings, stress, stress and coping, theoretical model, time, united states, validation, variant, woman, work, black women, black/white disparity, cohort, critical period, epigenome, epigenomics, health determinants, improved, indexing, infant outcome, insight, maternal stress, min","Looking Back to Look Forward: Social Environment Across the Life Course, Epigenetics, and Birth Outcomes in Black Families",NIH,SCIENTIFIC,"Explanation: The grant text includes terms like ""epigenetics,"" ""methylation,"" ""perinatal,"" ""cohort,"" and ""health determinants,"" indicating a scientific investigation into biological and social factors affecting birth outcomes. ""Socioeconomic status"" is listed among these factors, suggesting its use in a scientific context to understand its influence on the studied health outcomes.
"
7,socioeconomic,"acco products disproportionately used by priority populations – flavored tobacco products and e-cigarettes. our integrated set of four research projects seek to understand the impact of regulations and communication campaigns on those disadvantaged by tobacco use disparities, including black; lower-socioeconomic status (ses); and lesbian, gay, or bisexual (lgb) populations; and youth and young adults. our ultimate goal is to further fda and nih efforts to protect public health through regulation of tobacco products. unc tcors’ research will provide essential evidence to guide the fda as it implements bans ",Advancing Tobacco Regulatory Science to Reduce Health Disparities,NIH,POLITICAL,"The term ""socioeconomic status"" is used to describe a specific population group (""lower-socioeconomic status (ses)"") that experiences health disparities. This aligns with a focus on social determinants of health and addressing inequalities, indicating a political context focused on social justice and equity.
"
8,socioeconomic,"cluding sexual minority men (smm). because these ncds often present together as comorbid conditions, interact with each other adversely, and are inflected by social and structural inequities, they may comprise a synergistic epidemic (syndemic). in the u.s., there are substantial racial, ethnic, and socioeconomic disparities in the prevalence and/or control of ncds and hiv. intersecting stigmas, such as racism, classism, and homophobia, may drive these health disparities through direct and indirect mechanisms. directly, intersectional stigma in healthcare settings may contribute to healthcare avoidance, dec",Stigma and the non-communicable disease syndemic in aging HIV positive and HIV negative MSM,NIH,SCIENTIFIC,"The term 'socioeconomic' is used in the context of describing disparities in disease prevalence and control, which is a scientific area of investigation.
"
9,socioeconomic,"ty, primary care, property, psychological stress, psychometrics, publications, race, reporting, research, research design, research priority, retrieval, role, sampling, sex behavior, sex orientation, sexual health, sexual and gender minorities, sexually transmitted diseases, shapes, social support, socioeconomic status, structure, surveys, testing, united states national institutes of health, urbanicity, variant, work, cis-male, cognitive interview, disparity reduction, experience, follow-up, gender affirming care, geographic difference, health disparity, health inequalities, interest, men, men who have se","Characterizing intersecting sexual, gender, and race-based stigmas affecting communities of US transgender women and cisgender men who are sexually active with men",NIH,SCIENTIFIC,"The term 'socioeconomic status' appears within a list of variables and research areas relevant to a scientific study focused on health disparities.
"
10,socioeconomic,"hese services, presenting disproportionate barriers to younger people, individuals who identify as black, indigenous, and people of color (bipoc individuals), those with disabilities and chronic disease, individuals who are transgender or gender-nonconforming (tgnc individuals), and people of lower socioeconomic status. one exacerbating factor for these health inequities is the social stigmatization of sexuality, which compels individuals to keep their utilization of srh services private for fear of negative repercussions, particularly for people who hold minoritized identities. in the united states, one m",Confidentiality in use of health insurance coverage for reproductive health services,NIH,POLITICAL,"The term ""socioeconomic"" is used to describe a group facing health inequities and barriers, explicitly linked to social stigmatization and minoritized identities. This points to a social and political context rather than a strictly scientific one.
"
11,socioeconomic,"d: understanding biased patient-provider interaction and supporting enhanced discourse project summary/abstract this project addresses health disparities by investigating a novel computational approach that makes implicit, thus hidden, bias visible. healthcare bias, based on patients’ race, gender, socioeconomic status, sexual orientation, and other characteristics lead to health disparities. such biases are often unintentional and hidden in communication among clinicians and patients. although there is broad agreement that healthcare biases need to be better understood, assessed and mitigated, traditional",UnBIASED: Understanding Biased patient-provider Interaction And Supporting Enhanced Discourse,NIH,POLITICAL,"The term ""socioeconomic status"" is used in a context related to health disparities stemming from biases based on patient characteristics, including socioeconomic status, leading to differential treatment. This aligns with the social and political implications of healthcare access and equality.
"
12,socioeconomic,"ociation of ttp, infertility, and cause-specific infertility, with 1) historical redlining, a 1930s government sponsored policy in which neighborhoods were classified by investment risk based largely on the presence of black residents, 2) residential racial and economic segregation and neighborhood socioeconomic status, and 3) residential environmental exposures (including air pollution, green space, and environmental noise). finally, we will explore how redlining grades are associated with patterns of neighborhood disadvantage and environmental pollution and how mixtures of social and environmental exposu",An assessment of environmental and neighborhood-level risk factors for subfertility among Black women in the U.S.,NIH,SCIENTIFIC,"The term 'socioeconomic status' is used in the context of neighborhood characteristics and their relationship to health outcomes (subfertility), which aligns with a scientific investigation.
"
13,socioeconomic,"ses will include maternal mortality/morbidity and infant mortality and infectious diseases. these workshop sessions will be designed to use diverse disciplinary knowledge, methods, and theories to understand cases previously considered intractable in new ways, sensitive to the unique structural and socioeconomic contexts of each case. group discussions will maintain a translational focus so as to produce actionable interventions, health systems innovations, and original programs for equitable health policy and practice, with a focus on patient-clinician communication in primary care. findings from this con",SOCIAL MEDICINE CASES FOR HEALTH EQUITY,NIH,SCIENTIFIC,"The term 'socioeconomic' is used to describe structural factors influencing health outcomes, which aligns with a scientific approach to understanding and addressing health disparities.
"
14,socioeconomic,"nnovation, instrument, intimate partner violence, lens, marginalization, marginalized population, mortality, mortality disparity, nonbinary, peer, perceived discrimination, racism, screening, sexual assault, sexual minority, sexual minority group, sexual minority men, sexual minority women, social, socioeconomics, structural determinants, substance use, suicidal, survivorship, tool, transgender, transgender women, transmission process, violence victimization",Advancing help-seeking and recovery measures for sexual and gender minority survivors of gender-based violence,NIH,SCIENTIFIC,"The term 'socioeconomics' is listed alongside other scientific and research-oriented terms like 'structural determinants,' 'mortality disparity,' 'transmission process,' and 'screening.' The overall context of the grant is about advancing help-seeking and recovery measures, which falls under a scientific investigation aiming to improve outcomes for a specific population.
"
15,socioeconomic," link, methods, national institute of drug abuse, outcome, participant, perception, policies, population, poverty, productivity, public health, randomized, reach  effectiveness  adoption  implementation  and maintenance, recording of previous events, research, research priority, sampling, services, socioeconomic status, statistical methods, substance use disorder, testing, training, waiting lists, barrier to care, community engaged research, community setting, economic disparity, experience, health economics, high risk, implementation intervention, implementation outcomes, implementation science, improved,",ENTRUST - economic navigation and strengthening to realize unrestricted services for transgender women,NIH,SCIENTIFIC,"The term ""socioeconomic status"" appears in a list of research-related terms and methodologies, suggesting its use in a scientific study examining the impact of socioeconomic factors.
"
16,socioeconomic,"ial enrollment, cohort, comorbidity, design, fatty acid oxidation, gender affirming care, gender affirming hormone therapy, hormone therapy, immune activation, improved, innovation, insight, integration site, personalized care, response, satisfaction, sex, single-cell rna sequencing, social stigma, socioeconomics, transgender, transgender women",Impact of Gender Affirming Hormone Therapy on HIV Viral Dynamics and Immune Responses in Transgender Women,NIH,AMBIGUOUS,"The term appears in a list of keywords and concepts related to the grant proposal. Without further context, it's unclear whether it refers to a specific socioeconomic analysis within the study or is simply included as a relevant factor influencing the health and well-being of transgender women.
"
17,socioeconomic,public drinking water contaminants and infant health: advancing environmental justice project summary the objective of this project is to evaluate the contribution of racial/ethnic and socioeconomic inequalities in public drinking water contaminant exposures to in utero water contaminant exposures and subsequent adverse birth outcomes across the united states (us). potential disparities in public drinking water contaminant exposures have not been comprehensively characterized across the us. su,Public Drinking Water Contaminants and Infant Health: Advancing Environmental Justice,NIH,POLITICAL,"The term is used in the context of ""environmental justice"" and ""racial/ethnic inequalities,"" indicating a focus on social and political disparities rather than purely scientific analysis.
"
18,socioeconomic,"athematical model, metabolome, metabolomics, metagenomic sequencing, microbial, microbial products, microbiome, microbiome composition, microorganism interaction, mortality, neonatal morbidity, neonate, novel, potential biomarker, prevent, racial disparity, racial diversity, social, social factors, socioeconomics, vaginal microbiome","Quantifying the interactions among maternal race, vaginal metabolites, and microbes in preterm birth",NIH,POLITICAL,"The term 'socioeconomics' appears alongside terms like 'racial disparity,' 'racial diversity,' and 'social factors,' suggesting a focus on social and political determinants related to preterm birth.
"
19,socioeconomic,"me, oxidative stress, participant, pattern, placenta, placentation, plastics, policies, population heterogeneity, pregnancy, pregnancy outcome, pregnancy trimesters, pregnant women, process, productivity, proxy, race, regulation, reproduction, research, research personnel, research proposals, risk, socioeconomic factors, specific qualifier value, statistical methods, sum, testing, time, training, united states, universities, woman, work, advanced analytics, analytical method, black women, career, cohort, critical period, environmental agent, environmental chemical, ethnic disparity, fetal, flexibility, ges",Prenatal exposure to phthalates and associations with gestational weight gain and fetal growth trajectories.,NIH,SCIENTIFIC,"""Socioeconomic factors"" appears in a list of terms related to research and population characteristics within a scientific study focused on prenatal health. These factors are likely being considered as potential confounders or variables influencing the outcomes being studied.
"
20,socioeconomic,"s impact on asthma burden project summary/abstract asthma is one of the most prevalent chronic conditions in the united states (us); it is also one of the most disparate. both in the us and in new york city (nyc), differences exist in asthma prevalence, morbidity, and mortality by racial/ethnic and socioeconomic groups. substandard conditions faced by lower-income families living in rented or public housing partially drive these asthma disparities by increasing exposure to indoor asthma triggers such as mold. mold can release spores, fragments, and toxins into the air which can lead to respiratory response",An equity-focused evaluation of a system-wide intervention to reduce mold in NYC public housing and its impact on asthma burden,NIH,SCIENTIFIC,"The text discusses asthma disparities related to racial/ethnic and socioeconomic groups, linking these disparities to environmental factors like mold exposure. This falls within the realm of public health research and epidemiology, which are scientific fields. The focus is on quantifying and understanding the relationship between socioeconomic status and health outcomes.
"
21,socioeconomic,"nk, malignant neoplasms, measurement, modification, monitor, myocardial infarction, obesity, outcome, participant, policies, population, population sizes, privatization, property, prospective cohort, race, regulation, reporting, research personnel, retirement, rice, risk, rural population, smoking, socioeconomic status, soil, source, southeastern asia, stroke, system, testing, time, uranium, water, water pollutants, water supply, woman, women', s cohort, administrative database, cardiovascular disorder risk, cardiovascular risk factor, comorbidity, demographics, dietary, drinking water, endothelial dysfunc","Long-term exposure to arsenic, and the co-occurrence of uranium, in public and private drinking water: associations with cardiovascular and chronic kidney diseases in the California Teachers Study",NIH,SCIENTIFIC,"""Socioeconomic status"" is listed among a series of factors (race, demographics, dietary, etc.) being considered in a scientific study, suggesting it's being used as a variable in the research.
"
22,socioeconomic,"alcohol abuse and alcoholism, outcome, pathway interactions, pattern, penetration, persons, phase, population, positioning attribute, prevalence, prevention strategy, process, psychopathology, public health, race, reporting, research, risk, risk factors, role, sampling, severities, sex orientation, socioeconomic status, stress, training, trauma, united states national institutes of health, vagina, woman, women', s study, writing, adverse childhood events, adverse outcome, career, career development, drinking, effective intervention, emotion dysregulation, experience, forgetting, gender minority group, glob",Understanding the individual and combined impact of childhood sexual abuse and minority stress on hazardous drinking among sexual minority women: Is emotion dysregulation a key factor?,NIH,SCIENTIFIC,"The term ""socioeconomic status"" is listed among other factors (race, sex orientation, stress, trauma) that are commonly studied in scientific research, particularly in public health and social science research, to understand their potential impact on health outcomes like hazardous drinking.
"
23,socioeconomic,"l oncologist, modality, modeling, mus, mutation, neoplasm metastasis, nuclear, outcome, pathologist, pathway interactions, patients, population, prevalence, primary neoplasm, prognostic marker, property, race, recurrence score, regulation, regulatory pathway, reporting, risk, role, sampling, slide, socioeconomic factors, specimen, technology, tissue microarray, tissues, tumor biology, united states, variant, visual, woman, advanced disease, biomarker identification, breast cancer diagnosis, breast cancer progression, breast cancer survival, cancer health disparity, cohort, computer scientist, deep learning","The linkage between Race, Kaiso and the tumor microenvironment in breast cancer health disparities",NIH,SCIENTIFIC,"The term ""socioeconomic factors"" appears within a list of terms related to cancer research, including biological factors, patient characteristics, and research methodologies. This suggests its use is in the context of understanding how socioeconomic factors might influence cancer outcomes, which is a valid area of scientific inquiry.
"
24,socioeconomic,"jor physiologic systems including metabolic, cardiovascular, and immune/inflammatory systems – as a measure of cumulative physiologic stress and risk factor for adverse health outcomes. data from a nationally representative sample of us women showed that allostatic load is inversely associated with socioeconomic status (ses) and positively associated with breast cancer among black women, but not white women. no prior study has prospectively explored the impact of allostatic load and neighborhood contextual factors (simultaneously) on breast cancer in a large, diverse study sample. here we propose to examin",Impact of Allostatic Load and Neighborhood Contextual Factors on Breast Cancer in the Women's Health Initiative,NIH,SCIENTIFIC,"The term 'socioeconomic status' (SES) is used in the context of health outcomes and allostatic load, which are scientific and medical concepts.
"
25,socioeconomic,"ulation-based patient experience survey and link to cancer registry data to examine how sociocultural, behavioral and access barriers affect disparity in uterine cancer diagnosis. aims 1- 2 will draw on three unique large healthcare databases that have patient-level indicators of race/ethnicity and socioeconomic status, contain a complete record of patients’ diagnostic pathway starting from the time when symptoms are reported to a provider, and cover a diverse patient population encompassing the commercially insured, medicaid enrollees, and medicare beneficiaries. these databases include the optum clinform",Racial Disparity in Diagnostic Evaluation of Uterine Cancer,NIH,SCIENTIFIC,"The text describes a scientific study examining the impact of socioeconomic status on cancer diagnosis. The term is being used as a variable in a scientific investigation, indicating a technical and scientific context.
"
26,socioeconomic," increasing temperatures and enhance community resilience, through altering the design of natural and built environments. however, such decisions require empiric evidence on the health effects of both increasing temperature and offsetting designs to increase shade, particularly given the racial and socioeconomic inequalities in shade access. on a given day, significant spatial variation in temperature can occur within a city or urban region, mostly driven by local differences in shade. temperature and shade exposure have been linked to psychopathology for centuries, with ample biological plausibility, but ","Temperature, shade, and adolescent psychopathology: understanding how place shapes health",NIH,POLITICAL,"The term ""socioeconomic inequalities"" is used to highlight disparities in access to shade based on social and economic factors, which directly relates to issues of social justice and political action to address these inequalities.
"
27,socioeconomic,", health care quality, health difference, improved, indexing, individual patient, marginalized population, multi-racial, perceived discrimination, primary outcome, programs, racial discrimination, racial minority population, racism, response, secondary outcome, sexual minority group, social stigma, socioeconomics, theories, uptake",Ending the HIV Epidemic with Equity: An All-facility Intervention to Reduce Structural Racism and Discrimination and Its Impact on Patient and Healthcare Staff Wellbeing,NIH,POLITICAL,"The surrounding terms (""marginalized population"", ""racial discrimination"", ""racism"", ""social stigma"") strongly suggest a focus on social inequalities and disparities, placing the usage of ""socioeconomics"" within a political or social context concerned with equity and justice.
"
28,socioeconomic,"king behavior, translating, urine, visit, water, work, age group, agricultural community, case control, clinical examination, cohort, community engagement, design, disability, epidemiology study, experience, follow-up, genetic pedigree, genetic risk factor, kidney biopsy, longitudinal analysis, low socioeconomic status, member, mortality, multidisciplinary, patient subsets, phenotypic data, pollutant, programs, progression risk, prospective, public health intervention, recruit, sample collection, sex, therapy design",India - Factors of CKDu in Uddanam Study (India-FOCUS),NIH,SCIENTIFIC,"The text lists factors being studied in relation to CKDu (Chronic Kidney Disease of unknown etiology). ""Low socioeconomic status"" is included as a factor, suggesting it's being investigated as a potential scientific variable influencing the disease.
"
29,socioeconomic,"ersons, phase, policy developments, policy maker, population, positioning attribute, poverty, prevalence, prevention, program development, qualitative methods, race, randomized  controlled trials, research, research design, research personnel, risk behaviors, sampling, sexual and gender minorities, socioeconomic status, surveys, system, testing, training, training activity, united states national institutes of health, visit, woman, writing, bilingualism, care outcomes, career, cis-male, classism, community advisory board, design, experience, health disparity populations, high risk, high risk population, in",Intersectional discrimination and linkage to HIV prevention and care in transgender women in Ecuador,NIH,POLITICAL,"The term ""socioeconomic status"" appears alongside terms like ""race,"" ""classism,"" ""health disparity populations,"" and ""sexual and gender minorities,"" suggesting its usage relates to social inequalities and disparities, thus a political context.
"
30,socioeconomic,"ealth status, housing, information resources, information services, librarians, linguistics, medical libraries, medically underserved area, nevada, oregon, persons, public health, race, religion, research, research personnel, resources, role, services, sex orientation, sexual and gender minorities, socioeconomic status, technology, time, training, underrepresented populations, unemployment, united states national library of medicine, universities, vulnerable populations, washington, work, advocacy organizations, biological sex, data literacy, demographics, digital, first responder, gender expression, healt",NNLM Region 5:  Reaching More People in More Ways,NIH,POLITICAL,"The term ""socioeconomic status"" is listed alongside terms like ""race,"" ""religion,"" ""sex orientation,"" ""sexual and gender minorities,"" ""underrepresented populations,"" and ""unemployment,"" indicating its use in describing social and demographic factors related to inequality and access to resources.
"
31,socioeconomic,"best measures of structural stigma and racism. aim 2 will examine with this contextual database how state-level measures of legal climate are associated with self-rated health and health biomarkers among add health respondents and consider how these associations differ by key factors (e.g., gender, socioeconomic status, and race/ethnicity). this database will promote research on health disparities for sexual and racial minority populations that is both rigorous and innovative. research made possible by the creation of this contextual database has the potential to inform policies and interventions that impr",Contextual Determinants of Sexual Minority Health in the United States,NIH,SCIENTIFIC,"The term 'socioeconomic status' is used in the context of health disparities research and is considered a key factor influencing health outcomes, aligning with a technical and scientific usage.
"
