id,term,context,title,agency,classification,explanation
1,socioeconomic,"ersons, phase, policy developments, policy maker, population, positioning attribute, poverty, prevalence, prevention, program development, qualitative methods, race, randomized  controlled trials, research, research design, research personnel, risk behaviors, sampling, sexual and gender minorities, socioeconomic status, surveys, system, testing, training, training activity, united states national institutes of health, visit, woman, writing, bilingualism, care outcomes, career, cis-male, classism, community advisory board, design, experience, health disparity populations, high risk, high risk population, in",Intersectional discrimination and linkage to HIV prevention and care in transgender women in Ecuador,NIH,POLITICAL,"The context includes terms like ""policy developments,"" ""poverty,"" ""race,"" ""classism,"" ""health disparity populations,"" and ""sexual and gender minorities,"" indicating a focus on social and political factors influencing health outcomes. Socioeconomic status is related to these aspects.
"
2,socioeconomic,"ization, morbidity - disease rate, outcome, pathway analysis, persons, policies, population, positioning attribute, prevention strategy, preventive, prisons, radx underserved populations, resources, rhode island, sars-cov-2 infection, sars-cov-2 transmission, safety, sampling, site, social network, socioeconomic status, structural racism, structure, study models, system, techniques, testing, us state, united states, vaccinated, vaccination, vaccines, vulnerable populations, washington, adverse outcome, barrier to care, community reentry, community setting, comparative, data integration, dynamic system, exp",Integrated Network Analysis of RADx-UP Data to Increase COVID-19 Testing and Vaccination Among Persons Involved with Criminal Legal Systems (PCLS),NIH,SCIENTIFIC,"The term ""socioeconomic status"" is listed alongside other scientific and research-related terms like ""morbidity,"" ""outcome,"" ""pathway analysis,"" ""sampling,"" and ""data integration,"" suggesting it's being considered as a variable or factor within the study's scientific framework.
"
3,socioeconomic,"on-based sample of sgm older adults and compare the prevalence and incidence of adrd in sgm older adults to their heterosexual peers. the second aim will focus on identifying risk and protective factors for adrd in sgm older adults, and to estimate the population attributable risk of depression and socioeconomic status (e.g., income and education) on adrd. the third aim will involve primary data collection in a community-based sample of sgm older adults in order to investigate the relationship between risk and protective factors and cognition, including memory and executive function. this proposal incorpor",The Epidemiology of Alzheimer's Disease and Related Dementias in Sexual and Gender Minority Older Adults: Identifying Risk and Protective Factors,NIH,SCIENTIFIC,"The term 'socioeconomic status' is used within the context of identifying risk factors for Alzheimer's Disease and Related Dementias (ADRD), specifically alongside depression and exemplified by income and education. This aligns with a technical, scientific investigation into health determinants.
"
4,socioeconomic,"torship for enhancing stem identity and career interests in stem education, mentorship has become an important means of increasing the participation of underrepresented minoritized (urm) students, including women, native/black/latinx americans, persons with disabilities, bilingual students, and low-socioeconomic status (ses) youth. this b2 3.0 project will identify new constructs of culturally relevant mentorship (crm), develop new survey instruments for assessing crm, and examine the associations between crm and stem identity and career interest of urm students. the findings will offer insights for practi",SBP: Collaborative Research: Culturally Relevant Mentorship for Enhancing STEM Identity and Career Interests,NSF,POLITICAL,"The term 'socioeconomic' is used in the context of 'low-socioeconomic status (ses) youth' as a descriptor for a group of underrepresented minoritized (urm) students, indicating a social and political concern for equity and inclusion in STEM education.
"
5,socioeconomic,public drinking water contaminants and infant health: advancing environmental justice project summary the objective of this project is to evaluate the contribution of racial/ethnic and socioeconomic inequalities in public drinking water contaminant exposures to in utero water contaminant exposures and subsequent adverse birth outcomes across the united states (us). potential disparities in public drinking water contaminant exposures have not been comprehensively characterized across the us. su,Public Drinking Water Contaminants and Infant Health: Advancing Environmental Justice,NIH,POLITICAL,"The term 'socioeconomic' is used in the context of 'advancing environmental justice' and addressing 'racial/ethnic and socioeconomic inequalities'. This directly links it to social disparities and potential political action aimed at rectifying those inequalities.
"
6,socioeconomic,"unities of color. the approval of a new vaccine in 2023 to protect pregnant persons and their newborns from respiratory syncytial virus (rsv) represents an opportunity to study the emergence and diffusion of such discussions on social media in near real-time; begin to explore and address racial and socioeconomic disparities in rsv vaccine knowledge, attitudes, and beliefs; and contribute to the science of effective science communication. by collaborating with influencers to frame and create messages to address misconceptions and inaccurate information related to this new vaccine, this community-based parti",A Community-Engaged Approach to Addressing Vaccine Information Integrity: An Examination of the Role of Social Media Influencers,NSF,POLITICAL,"The term ""socioeconomic disparities"" is used in the context of addressing inequalities in vaccine knowledge, attitudes, and beliefs, particularly in relation to race. This relates to broader social and political issues of equity and access to healthcare.
"
7,socioeconomic,"s.    the project has three main objectives: identifying vulnerabilities and disparities within leveed communities; developing theoretical frameworks integrating compound hazards into engineering design and risk assessment, and determining equitable climate adaptation strategies based on technical, socioeconomic, and policy factors. the researchers hypothesize that neglecting the compounding effects of multiple hazards in a changing climate underestimates the risk of levee failure and its disproportionate effect on husvcs. the goal is to inform both soft and hard levee adaptation measures that are technica",CLIMA/Collaborative Research: Equitable Adaptive Strategies for Flood Protection Infrastructure under Current and Future Compound Hazards,NSF,SCIENTIFIC,"The term ""socioeconomic"" is listed alongside ""technical"" and ""policy factors"" in the context of determining ""equitable climate adaptation strategies."" This suggests its use within a research framework considering multiple factors for engineering and risk assessment, which aligns with a scientific context.
"
8,socioeconomic,"uality of their preparation by strengthening science, technology, engineering and mathematics (stem) education and research. this project at hinds community college - utica seeks to address persistence in stem fields. diversity in stem is compounded by barriers to educational equity, resources, and socioeconomic disparities impacting the african-american community. the goal of this project is to increase students’ completion of degrees in stem by developing bridges that support students’ matriculation at each educational level. this project aims to support the critical transitions from k-12 to 4-year insti",Implementation Project: Establishing a Cohesive Community College STEM-Institutional Transformation Academy (STEM-UP Academy Phase III),NSF,POLITICAL,"The term ""socioeconomic disparities"" is used in the context of barriers to educational equity and resources impacting the African-American community, highlighting a social and political dimension of the issue.
"
9,socioeconomic,"iv diagnosis rate in the u.s. and the lowest prep use in ny. research on barriers to prep engagement indicate that the current structure of prep access and management is not consonant with the lives, priorities, or needs of the hardest hit communities, further exacerbating ongoing racial/ethnic and socioeconomic disparities in hiv incidence. many of the same barriers leading to poor prep uptake in black/latinx communities also drive members of these communities to seek care for sexually transmitted infections (stis), a known risk factor for hiv, in emergency departments (eds). however, there is a discordan","ED2PrEP - patient focused, low-burden strategies for PrEP uptake among emergency departments patients: a cross-over hybrid implementation-effectiveness trial",NIH,POLITICAL,"The term ""socioeconomic disparities in HIV incidence"" highlights the social and economic factors contributing to unequal health outcomes among racial/ethnic groups, aligning with a political framing of health inequities.
"
10,socioeconomic," and social inequality for children and youth in the us. our main challenge is to reduce child poverty, increase mobility opportunities that foster equity, wellness, and healthy development. intervening in the social context providing additional resources for children and youth from less privileged socioeconomic status to attain their full health potential is paramount. collective impact provides pr-caribe’s hera tools to launch structural changes through policies, practices, and programs impacting selected health outcomes. pr is on the threshold of structural change. at the policy and practice level betwe","Puerto Rico Collaborative Advancement of Research, Innovations, Best Practices and Equity for Children, Youth and Families (PR-CARIBE)",NIH,SCIENTIFIC,"The term 'socioeconomic status' is used in the context of child development, health potential, and reducing poverty, which are research areas within social sciences and public health, thus aligning with a scientific context.
"
