id,term,context,title,agency,classification,explanation
1,stereotype,"mw have been slow to emerge. the proposed research builds on r21aa025767, which established the preliminary feasibility and effectiveness of delivering personalized normative feedback on drinking and coping behaviors to smw within a broader app-based social competition designed to challenge harmful stereotypes about this population and foster a supportive virtual community. in our pilot trial, sexual minority women enthusiastically engaged with the app in the absence of participation incentives for doing so. further, relative to a sub-sample that received pnf on control topics within the competition, th",Feasibility and Effectiveness of Gamified Digital Intervention to Prevent Alcohol and Mental Health Risks,NIH,POLITICAL,"The term ""harmful stereotypes about this population"" refers to societal and cultural generalizations about sexual minority women, which aligns with a social, political, and identity context.
"
2,stereotype,"mw have been slow to emerge. the proposed research builds on r21aa025767, which established the preliminary feasibility and effectiveness of delivering personalized normative feedback on drinking and coping behaviors to smw within a broader app-based social competition designed to challenge harmful stereotypes about this population and foster a supportive virtual community. in our pilot trial, sexual minority women enthusiastically engaged with the app in the absence of participation incentives for doing so. further, relative to a sub-sample that received pnf on control topics within the competition, th",Feasibility and Effectiveness of Gamified Digital Intervention to Prevent Alcohol and Mental Health Risks,NIH,POLITICAL,"The term ""harmful stereotypes about this population"" (sexual minority women) clearly indicates a social and identity-related context, aligning with the impact of stereotypes on a specific group.
"
3,stereotype,"ic understanding. research on genomics and gender identity should be conducted with, and not on tgd communities to ensure that we do not repeat past wrongs, for example excluding racial/ethnic populations from the conduct and reporting of research that impacts these populations and further reifying stereotypes and stigma. in partnership with and guided by a racially, ethnically, professionally and geographically diverse executive stakeholder board and workgroups consisting of tgd community members, advocates, clinicians, and ethics, legal, and genomics and health equity scholars, we will explore perspec",Trans/Forming Genomics: Guidance for Research Involving Transgender and Gender Diverse People,NIH,POLITICAL,"The term 'stereotype' is used in the context of avoiding the reification of stereotypes and stigma, which relates to social justice, identity, and the ethical treatment of transgender and gender diverse communities in research. This falls under a political context related to social power dynamics and representation.
"
4,stereotype,"ennially from 1995-2011) with geospatial data sets. the proposed study is likely to have a large and sustained impact on the fields of reproductive epidemiology, environmental health, and health disparities. the centering of black women in infertility research advances health equity, combats racist stereotypes that propagate the idea that infertility is a non-issue for black women, and allows for the identification of opportunities for intervention to reduce and eliminate infertility disparities. this will be the first study to focus on causes of infertility in black women, and is highly relevant for un",An assessment of environmental and neighborhood-level risk factors for subfertility among Black women in the U.S.,NIH,POLITICAL,"The term ""stereotype"" is used to describe a racist societal belief about Black women and infertility. This relates to issues of health equity and social justice, placing it within a political context.
"
5,stereotype,"mechanisms controlling cell type-specific transcription factor activity in the development of serially homologous structures in drosophila project summary/abstract to ensure proper morphogenesis and cell fate speciﬁcation, animals must generate highly stereotyped spatial and temporal patterns of gene expression. to this end, transcription factors (tfs) bind dna regulatory elements such as enhancers to activate or repress transcription in particular cell types at particular developmental stages. many tfs are expressed in several cell types at multiple stage",Mechanisms controlling cell type-specific transcription factor activity in the development of serially homologous structures in Drosophila,NIH,SCIENTIFIC,"The term ""stereotyped"" is used to describe highly predictable and consistent patterns of gene expression, a technical concept within the field of developmental biology.
"
6,stereotype,"sure prophylaxis (prep) among black women. intimate partner violence (ipv) and gendered racism may exacerbate racial disparities in prep access and also curb potential real-world effectiveness. ipv reduces prep uptake among women. black women also experience unfair treatment due to deeply ingrained stereotypes by healthcare systems. as such, black women may feel uncomfortable discussing prep with a provider or provider biases may prevent prep access. integrating trauma-informed care into community health centers that serve black women may enhance prep adoption. trauma-informed care can help providers un",A Multi-Level Trauma-Informed Approach to Increase HIV Pre-exposure Prophylaxis Initiation among Black Women,NIH,POLITICAL,"The term 'stereotypes' is used in the context of racial disparities, unfair treatment, and biases within healthcare systems, which are social and political issues.
"
7,stereotype,"asian americans & racism: individual and structural experiences (arise) project summary/abstract problem-free”, “perpetual foreigner”, “silent minority”, “all the same” – these are stereotypes that have long plagued asian americans (asas), often referred to as the “model minority”. asas, however, encompasses a diversity of cultures, languages, immigration experiences, socioeconomic status (ses), and religions. racism and discrimination against asas are not new but resurfaced with new in",Asian Americans & Racism: Individual and Structural Experiences (ARISE),NIH,POLITICAL,"The text discusses stereotypes as they relate to social identity, racism, and discrimination against a specific population group (Asian Americans). This aligns with a social and political context.
"
8,stereotype," of schooling. at the system level, latinx students confront barriers associated with the transfer process, misaligned curricula, pedagogies unsuitable for latinx students’ needs and experiences, and advising processes that are difficult to negotiate. at the individual level, many have internalized stereotypes that deflate their self-confidence and undermine their image of themselves as future scientists. effective responses, therefore, must start with acknowledging that any efforts to scaffold student development must be supplemented by institutional adaptation. this project fully embraces this reality","HSI Implementation and Evaluation Project: FUERTE: Fostering Undergraduate Education, Retention and Transfer Environments",NSF,POLITICAL,"The term ""stereotypes"" refers to internalized beliefs that negatively impact the self-confidence and self-image of Latinx students in relation to their potential as scientists. This usage is tied to social identity and systemic barriers, aligning with a political context focused on equity and representation.
"
9,stereotype,"search capabilities of the principal investigator, including improving skills and understanding in role model theory, qualitative methods, quantitative ethnography and epistemic network analysis, and grounded and embodied cognition and theories. an intervention will be developed to reverse damaging stereotypes and improve the motivation and identity of underrepresented students for computing and technology careers. the contextualized interactions with virtual role models, supported by mentoring, are intended to enhance student experiences, and improve motivation.     anticipated outcomes include increas",Using Quantitative Ethnography and Customized Virtual Role Models to Measure and Improve the Computing Identity of Young Girls,NSF,POLITICAL,"The term ""stereotype"" is used in the context of ""damaging stereotypes"" that negatively impact underrepresented students and their motivation/identity in computing careers. This aligns with a social/identity context, making it political.
"
10,stereotype,"cholarly devaluation, may create a barrier to the full inclusion and participation of women and faculty of color in stem. epistemic exclusion is the devaluation of certain types of scholarship that occurs when invisible biases in systems of evaluation are coupled with prejudice toward, and negative stereotypes about, historically underrepresented groups.  because faculty members' career outcomes (e.g., promotion, tenure, and turnover intentions) are determined by how well they meet evaluative standards, bias in systems of evaluation that disproportionately harm women and faculty of color may impede thei",Collaborative Research: ECR EIE DCL: The Development and Validation of a Scale to Assess Epistemic Exclusion in Minoritized and Non-Minoritized STEM Faculty,NSF,POLITICAL,"The term 'stereotype' is used in the context of describing prejudice against historically underrepresented groups, which is a social and political issue related to equity and inclusion.
"
