id,term,context,title,agency,classification,explanation
1,stereotypes,"mw have been slow to emerge. the proposed research builds on r21aa025767, which established the preliminary feasibility and effectiveness of delivering personalized normative feedback on drinking and coping behaviors to smw within a broader app-based social competition designed to challenge harmful stereotypes about this population and foster a supportive virtual community. in our pilot trial, sexual minority women enthusiastically engaged with the app in the absence of participation incentives for doing so. further, relative to a sub-sample that received pnf on control topics within the competition, tho",Feasibility and Effectiveness of Gamified Digital Intervention to Prevent Alcohol and Mental Health Risks,NIH,POLITICAL,"The text refers to challenging ""harmful stereotypes"" about sexual minority women, placing the term within a social, political, and identity context.
"
2,stereotypes,"mw have been slow to emerge. the proposed research builds on r21aa025767, which established the preliminary feasibility and effectiveness of delivering personalized normative feedback on drinking and coping behaviors to smw within a broader app-based social competition designed to challenge harmful stereotypes about this population and foster a supportive virtual community. in our pilot trial, sexual minority women enthusiastically engaged with the app in the absence of participation incentives for doing so. further, relative to a sub-sample that received pnf on control topics within the competition, tho",Feasibility and Effectiveness of Gamified Digital Intervention to Prevent Alcohol and Mental Health Risks,NIH,POLITICAL,"The text mentions challenging ""harmful stereotypes"" about sexual minority women, which falls under a social and identity context.
"
3,stereotypes,"ic understanding. research on genomics and gender identity should be conducted with, and not on tgd communities to ensure that we do not repeat past wrongs, for example excluding racial/ethnic populations from the conduct and reporting of research that impacts these populations and further reifying stereotypes and stigma. in partnership with and guided by a racially, ethnically, professionally and geographically diverse executive stakeholder board and workgroups consisting of tgd community members, advocates, clinicians, and ethics, legal, and genomics and health equity scholars, we will explore perspect",Trans/Forming Genomics: Guidance for Research Involving Transgender and Gender Diverse People,NIH,POLITICAL,"The text discusses how research can ""reify stereotypes and stigma,"" linking stereotypes to social and political consequences, specifically within the context of marginalized communities and research ethics.
"
4,stereotypes,"ennially from 1995-2011) with geospatial data sets. the proposed study is likely to have a large and sustained impact on the fields of reproductive epidemiology, environmental health, and health disparities. the centering of black women in infertility research advances health equity, combats racist stereotypes that propagate the idea that infertility is a non-issue for black women, and allows for the identification of opportunities for intervention to reduce and eliminate infertility disparities. this will be the first study to focus on causes of infertility in black women, and is highly relevant for und",An assessment of environmental and neighborhood-level risk factors for subfertility among Black women in the U.S.,NIH,POLITICAL,"The term ""stereotypes"" is used in the context of combating racist stereotypes about Black women and infertility, which is a social justice and equity issue.
"
5,stereotypes,"sure prophylaxis (prep) among black women. intimate partner violence (ipv) and gendered racism may exacerbate racial disparities in prep access and also curb potential real-world effectiveness. ipv reduces prep uptake among women. black women also experience unfair treatment due to deeply ingrained stereotypes by healthcare systems. as such, black women may feel uncomfortable discussing prep with a provider or provider biases may prevent prep access. integrating trauma-informed care into community health centers that serve black women may enhance prep adoption. trauma-informed care can help providers und",A Multi-Level Trauma-Informed Approach to Increase HIV Pre-exposure Prophylaxis Initiation among Black Women,NIH,POLITICAL,"The term ""stereotypes"" is used to describe how ingrained biases within healthcare systems unfairly treat Black women, affecting their access to PrEP. This relates to issues of racial and gender inequality and power dynamics within the healthcare system, making it a political context.
"
6,stereotypes,"asian americans & racism: individual and structural experiences (arise) project summary/abstract problem-free”, “perpetual foreigner”, “silent minority”, “all the same” – these are stereotypes that have long plagued asian americans (asas), often referred to as the “model minority”. asas, however, encompasses a diversity of cultures, languages, immigration experiences, socioeconomic status (ses), and religions. racism and discrimination against asas are not new but resurfaced with new int",Asian Americans & Racism: Individual and Structural Experiences (ARISE),NIH,POLITICAL,"The text explicitly discusses stereotypes related to identity, racism, and social experiences of Asian Americans, aligning with a social and political context.
"
7,stereotypes," of schooling. at the system level, latinx students confront barriers associated with the transfer process, misaligned curricula, pedagogies unsuitable for latinx students’ needs and experiences, and advising processes that are difficult to negotiate. at the individual level, many have internalized stereotypes that deflate their self-confidence and undermine their image of themselves as future scientists. effective responses, therefore, must start with acknowledging that any efforts to scaffold student development must be supplemented by institutional adaptation. this project fully embraces this reality,","HSI Implementation and Evaluation Project: FUERTE: Fostering Undergraduate Education, Retention and Transfer Environments",NSF,POLITICAL,"The term ""stereotypes"" is used in the context of how Latinx students' self-perception and academic performance are affected by societal biases and prejudices, which falls under social, political, and identity-related issues.
"
8,stereotypes,"search capabilities of the principal investigator, including improving skills and understanding in role model theory, qualitative methods, quantitative ethnography and epistemic network analysis, and grounded and embodied cognition and theories. an intervention will be developed to reverse damaging stereotypes and improve the motivation and identity of underrepresented students for computing and technology careers. the contextualized interactions with virtual role models, supported by mentoring, are intended to enhance student experiences, and improve motivation.     anticipated outcomes include increase",Using Quantitative Ethnography and Customized Virtual Role Models to Measure and Improve the Computing Identity of Young Girls,NSF,POLITICAL,"The text refers to ""damaging stereotypes"" and aims to improve the motivation and identity of ""underrepresented students,"" indicating a focus on social equity and identity-related issues, which falls under the political classification.
"
9,stereotypes,"cholarly devaluation, may create a barrier to the full inclusion and participation of women and faculty of color in stem. epistemic exclusion is the devaluation of certain types of scholarship that occurs when invisible biases in systems of evaluation are coupled with prejudice toward, and negative stereotypes about, historically underrepresented groups.  because faculty members' career outcomes (e.g., promotion, tenure, and turnover intentions) are determined by how well they meet evaluative standards, bias in systems of evaluation that disproportionately harm women and faculty of color may impede their",Collaborative Research: ECR EIE DCL: The Development and Validation of a Scale to Assess Epistemic Exclusion in Minoritized and Non-Minoritized STEM Faculty,NSF,POLITICAL,"The text discusses ""negative stereotypes about, historically underrepresented groups"" and links them to systemic bias and inequality in career outcomes, indicating a focus on social justice and power dynamics.
"
10,stereotypes,"hispanic students, who are u.s. citizens and permanent residents, earning stem bachelor's degrees has increased rapidly during the past decade, hispanic students enrolled in stem programs are leaving college or switching majors at higher rates than their white peers. this loss may be related to the stereotypes, lack of support, and the exclusionary spaces that hispanic students are exposed to in college.  research suggests that developing and maintaining a strong stem identity is an important predictor of persistence and success in stem disciplines.  understanding the complexity of hispanic students' ide",Becoming a Scientist: A Study of Identity Balance and the Persistence of Hispanic Undergraduate Students in Engineering and Biological Sciences,NSF,POLITICAL,"The term 'stereotypes' is used in the context of social and identity-related challenges faced by Hispanic students in STEM, specifically as a potential factor contributing to their higher attrition rates compared to their white peers. This falls under a social and political context rather than a strictly technical or scientific one.
"
