id,term,context,title,agency,classification,explanation
1,systemic,"rventions are needed urgently to improve the mental health of tgd young adults, particularly tgd young adults who are also racial minorities. we propose a transformative, multi-level intervention to advance equity and reduce health disparities for tgd young adults through individual, interpersonal, systemic, and community-based changes that increase knowledge and support among providers, young adults, and caregivers, thereby reducing suicidality and improving mental health. provider and family/caregiver support are known to be critical determinants of mental health outcomes for tgd young adults, yet n",TransHealthGUIDE: Transforming Health for Gender-Diverse Young Adults Using Interventions to Drive Equity,NIH,POLITICAL,"The term 'systemic' refers to changes needed at a societal or institutional level to address health disparities and promote equity for transgender and gender-diverse (tgd) young adults. This usage aligns with a focus on broader social and political structures that contribute to health inequalities, rather than a purely biological or physiological system.
"
2,systemic,"new serious partners. we will extend our prior work by longitudinally examining the key role that dyadic processes play in the development of substance use problems and hiv risk behaviors and transmission among coupled ymsm. third (aim 3), we will build on our provocative findings of high levels of systemic inflammation in the radar cohort regardless of hiv status by collecting pathogenic biomarkers of substance use to begin forecasting later-life morbidities for hiv+ and hiv- ymsm. finally (aim 4), radar will continue to add specimens and data to our well-characterized biobehavioral repository to pro",Multilevel Influences on HIV and Substance Use in a YMSM cohort,NIH,SCIENTIFIC,"The term ""systemic inflammation"" is used in a biomedical context, referring to inflammation affecting the entire body or multiple organ systems, which is a scientific usage.
"
3,systemic,"h levels of covid vaccine uptake. while covid vaccines can protect african american young adults (aa-ya) against covid related morbidity and mortality, this population will only accept vaccination if interventions assure aa-ya of its safety and benefit, while also addressing historical contexts and systemic forces that propagate mistrust. digital health interventions (dhis) can reach large numbers of aa-ya regardless of geographic location and empower them to make informed decisions about their health using a familiar modality that yas value and trust. our collaborative team developed the theory infor",A multidimensional Digital Approach to Address Vaccine Hesitancy and Increase COVID-19 Vaccine Uptake among African American Young Adults in the South,NIH,POLITICAL,"The term 'systemic forces' refers to systemic racism and historical injustices that contribute to mistrust in the healthcare system among African American young adults. This is a social and political context.
"
4,systemic,"erience, health care settings, implementation barriers, implementation strategy, interest, mathematical model, men, pill, pre-exposure prophylaxis, prevent, programs, racial disparity, racial minority population, rural area, self testing, sex, social stigma, stakeholder perspectives, substance use, systemic barrier, transgender women, willingness","Over-the-Counter PrEP: Acceptability, Feasibility, and Potential Impact of Access without a Prescription (OFFSCRIPT)",NIH,POLITICAL,"""Systemic barrier"" in the context of health access and disparities points to social or political structures that create inequalities.
"
5,systemic,"ce mental and physical health disparities compared to cisgender peers, such as higher rates of depression and anxiety, increased risk for suicide, substance use and poor physical health. these disparities are associated with internalized anti-tnb stigma, discriminatory interpersonal encounters, and systemic and institutional barriers to accessing necessary social, financial, educational, and health resources, and are exacerbated among tnb people of color (poc) and those with fewer resources. research across populations indicates that social support has multiple beneficial effects, including mitigating",A multidimensional investigation of social support for transgender and nonbinary people and its impacts on health and well-being: Measurement development using community engagement,NIH,POLITICAL,"The term ""systemic"" refers to systemic and institutional barriers, which are inherently related to power structures, social policies, and societal inequalities. This points towards a political context concerning societal structures.
"
6,systemic,"ed approach to recruitment (e.g., digital recruitment techniques, school-based recruitment) that capitalizes on community-, school-, and internet-based networks maintained by our community collaborators. participants will complete a web-based survey annually for three years that assesses stbs, microsystemic suicide precursors (interpersonal risk factors [thwarted belongingness, perceived burdensomeness], suicide prevention resources [access to psychotherapy, access to community-based sgm support]), stb correlates (e.g., interpersonal stigma, anxiety, substance use), and key sociodemographic and contex",Understanding the Role of Structural Oppression for Suicide Risk among Black Sexual and Gender Minority Adolescents and Young Adults,NIH,SCIENTIFIC,"The term ""microsystemic suicide precursors"" refers to interpersonal risk factors related to suicide, which aligns with a technical and scientific understanding within the field of suicide research and psychology. The context is not explicitly political, focusing instead on specific measurable precursors.
"
7,systemic,"ga alumni are in good standing in their phd programs. the program is well-positioned to continue this important work because of its close alignment with uga’s diversity and inclusive excellence and 2025 strategic plans, which have catalyzed changes in institutional policies and practices to address systemic issues that have limited diversity. in this renewal, prep@uga will (1) continue to use a multi-pronged approach to recruit diverse cohorts of six postbaccalaureate scholars who identify as underrepresented and/or as having a disability; (2) continue to engage scholars in intensive research training",PREP at University of Georgia,NIH,POLITICAL,"The term ""systemic issues that have limited diversity"" refers to institutional policies and practices that perpetuate inequality and lack of representation for underrepresented groups. This aligns with a social and political context of addressing diversity, equity, and inclusion.
"
8,systemic,"a novel long noncoding rna associated with systemic lupus erythematosus pathogenesis project summary/abstract systemic lupus erythematosus (sle) is a chronic autoimmune disease characterized by multi-organ inflammation, resulting from loss of tolerance to self-antigens and production of anti-nuclear antibodies by activated, autoreactive b cells. to ",A Novel Long Noncoding RNA Associated with Systemic Lupus Erythematosus Pathogenesis,NIH,SCIENTIFIC,"The term 'systemic' refers to a disease affecting multiple organ systems in the body, a technical concept within the medical/biological sciences.
"
9,systemic,"unity water supplies, the maximum contaminant level was recently reduced and enforced beginning in the early 2000s. rural populations, however, rely on private wells which are not regulated for contaminants and may contain higher levels of was found in groundwater. exposure to as has been linked to systemic inflammation and endothelial dysfunction, as well as kidney damage. a limited but growing body of evidence suggests that low-to-moderate levels of was present in the us increases the risk of cardiovascular disease (cvd) outcomes, including stroke and myocardial infarction. few epidemiologic studies","Long-term exposure to arsenic, and the co-occurrence of uranium, in public and private drinking water: associations with cardiovascular and chronic kidney diseases in the California Teachers Study",NIH,SCIENTIFIC,"The term ""systemic inflammation"" is a technical term used in the context of health and biological processes.
"
10,systemic,"multilevel racism & discrimination and prep outcomes among black smm in the southeastern u.s. project summary  inequities in health manifest as a result of systemic minority stressors and social injustices. racism and discrimination are salient minority stressors and social injustices for black sexual minority men (smm) because black smm anticipate and experience discrimination at different ecological levels (intrapersonal, interpersonal, and community) due to",Multilevel Racism & Discrimination and PrEP Outcomes Among Black SMM in the Southeastern U.S.,NIH,POLITICAL,"The term ""systemic"" refers to ""systemic minority stressors and social injustices,"" indicating a social and political context related to racism and discrimination.
"
11,systemic,"ure.” uofsc has demonstrated increased commitment to diversity in multiple ways, including hiring uofsc’s first black/african american provost and elevating the chief diversity officer to the level of a vice president. these efforts reflect uofsc’s campaign to identify and remove factors supporting systemic racism and gender-bias across all campus endeavors. in response to rfa-rm-21-025, we have developed the faculty initiative for improved recruitment, retention & experience (fiirre) using a systems science informed multi-level approach. fiirre aims to: (1) develop, cultivate, and implement instituti","Faculty Initiative for Improved Recruitment, Retention, and Experience (FIIRRE)",NIH,POLITICAL,"The term 'systemic' is used in the context of addressing systemic racism and gender bias, which are social and political issues.
"
12,systemic,"ca-linc: a culturally adapted care coordination suicide detection and intervention model for black youth abstract suicide is a leading cause of death for black youth with rates of suicide ideation and behaviors (sib) increasing at alarming rates. unfortunately, systemic, community, organizational, provider, family, and individual level problems/barriers increase black youth sib risk and also block access to needed resources/services. current suicide prevention/intervention efforts are not sufficient to decrease sib in black youth and black lgbtq+sgl youth. linking",CA-LINC: A Culturally Adapted Care Coordination Suicide Detection and Intervention Model for Black Youth,NIH,POLITICAL,"The term 'systemic' is used to describe problems and barriers that contribute to suicide risk in Black youth, encompassing community, organizational, and other levels. This usage points to a broader societal issue requiring systemic change, which aligns with a social and political context.
"
13,systemic,"cipant, patient self-report, patients, persons, pharmaceutical preparations, population, population heterogeneity, privatization, proxy, randomized, recommendation, records, research, resources, rheumatism, rheumatoid arthritis, rheumatology, risk, safety, self efficacy, series, structure, surveys, systemic lupus erythematosus, tablet computer, telephone, testing, training, uninsured, united states national institutes of health, vaccinated, vaccination, vaccinee, vaccines, work, attentional control, autoimmune rheumatologic disease, behavior change, booster vaccine, college, community engagement, diet",Improving COVID-19 Vaccine Uptake Among Racial and Ethnic Minority Groupswith Rheumatic Diseases,NIH,SCIENTIFIC,"""Systemic lupus erythematosus"" is a specific autoimmune disease, placing the term in a scientific and medical context.
"
