id,term,context,title,agency,classification,explanation
1,systemic,"addressing systemic barriers impacting health in chc communities compass: community-led, health equity structural intervention initiative (ot2): texas hope: together dis",NA,NIH,POLITICAL,"The term 'systemic' is used in the context of 'systemic barriers impacting health,' which is often associated with social and political structures that create inequities. The mention of 'health equity' and 'community-led' initiatives further reinforces this political framing.
"
2,systemic,the role of privilege in engineering. this project will generate new knowledge by focusing on three research questions: (1) how and in what ways does systemic racism manifest in engineering education? (2) what strategies can be used to effectively help engineering faculty develop their critical consciousnes,NA,NSF,POLITICAL,"The term ""systemic racism"" is used within the context of social structures and power dynamics in engineering education, aligning with a political and social justice framing.
"
3,systemic,"rograms will enter their academic careers with a mindset of equity which has the potential to increase the number of women stem faculty. in addition, systemic change (with an increase in the number of women faculty) has the potential to enhance infrastructure for research and education on our campus. the an",NA,NSF,POLITICAL,"The term 'systemic' refers to change related to equity, women in STEM, and infrastructure enhancements, all of which are social and political goals within the academic environment.
"
4,systemic,"of homelessness, lack of access to healthcare, and negative physical and psychological outcomes. while there have been significant efforts to address systemic racism and social determinants of health (sdohs) at the community level throughout the us (such as improving access to safe, affordable housing, impr",NA,NIH,POLITICAL,"The term ""systemic racism"" is inherently a socio-political concept referring to societal structures and institutions that perpetuate racial inequality.
"
5,systemic," (c-stem).  leveraging their combined strengths, they aim to develop an infrastructural technology system that provides more opportunities and lowers systemic risks for historically underrepresented groups. c-stem will examine college and university functions, to understand how to train effective technology",NA,NSF,POLITICAL,"The term ""systemic risks for historically underrepresented groups"" refers to societal and institutional barriers that disadvantage these groups, which is a political and social context.
"
6,systemic,"am has forged longstanding community-academic partnerships in the boston and chicago areas to understand the needs of black individuals with lupus, a systemic rheumatic disease, and the role racism plays in health and healthcare access. framed by the public health critical race praxis that recognizes the pe",NA,NIH,SCIENTIFIC,"""Systemic rheumatic disease"" is a technical medical term.
"
7,systemic," workforce. awarded projects seek to center the voices, knowledge, and experiences of the individuals, communities, and institutions most impacted by systemic inequities within the stem enterprise. this program aligns with nsf’s core value of supporting outstanding researchers and innovative thinkers from a",NA,NSF,POLITICAL,"The term ""systemic inequities"" refers to social and political structures that create and perpetuate unequal outcomes.
"
8,systemic,"mathematics (stem) careers, and these disparities take root in early childhood. stem inequalities are largely caused by structural factors, which are systemic societal barriers such as negative societal stereotypes and unequal educational opportunities. the present research addresses stem inequalities by en",NA,NSF,POLITICAL,"The term ""systemic"" refers to societal barriers and inequalities rooted in social structures, indicating a usage within a social and political context.
"
9,systemic,"utside of medical schools, by directly addressing the lack of access to opportunities that lead to promotion. the project findings and strategies for systemic change will be disseminated through the medical community in academic journals, national/regional conference presentations, and in the popular media.",NA,NSF,POLITICAL,"The term 'systemic change' refers to addressing inequalities and lack of opportunities within the medical community, indicating a focus on social and power structures.
"
10,systemic,a multi-level study of the link between fear of deportation and mental health in latinx young adults: the role of systemic inflammation and related risk and protective factors project summary/abstract there is evidence of a growing health disparity in mental health—partic,NA,NIH,SCIENTIFIC,"The term ""systemic inflammation"" is a well-established scientific term related to physiological processes.
"
11,systemic,"event, programs, racial disparity, racial minority population, rural area, self testing, sex, social stigma, stakeholder perspectives, substance use, systemic barrier, transgender women, willingness",NA,NIH,POLITICAL,"The term 'systemic barrier' in the context of racial disparity, racial minority population, and transgender women suggests social and political structures causing inequality.
"
12,systemic,"immature neutrophil migration promotes inflammation during obesity project summary obesity is associated with chronic, systemic, and low-grade inflammation that contributes to the development of comorbidities such as metabolic disease. anti-inflammatory agents have been shown ",NA,NIH,SCIENTIFIC,"The term ""systemic"" refers to a condition affecting the entire body or multiple organ systems, a common usage in scientific and medical contexts.
"
13,systemic," workforce. awarded projects seek to center the voices, knowledge, and experiences of the individuals, communities, and institutions most impacted by systemic inequities within the stem enterprise. this program aligns with nsf’s core value of supporting outstanding researchers and innovative thinkers from a",NA,NSF,POLITICAL,"The term ""systemic inequities"" refers to inequalities embedded within social and institutional structures, indicating a political context.
"
14,systemic,"egrative biology while scientific societies have tried to increase diversity through several outreach mechanisms, it has become abundantly clear that systemic changes that impact culture are required to effect true change within science, technology, engineering, and mathematics (stem) fields. this project w",NA,NSF,POLITICAL,"The term 'systemic' refers to changes that impact culture and effect true change within STEM fields, indicating a focus on social and political structures rather than a purely technical or scientific context.
"
15,systemic," disparities on the ability of technologists (e.g., practitioners, designers, software developers) to develop technology that addresses and mitigates systemic societal racism and historically marginalized individuals’ ability to feel seen and heard in the technology with which they engage. the implications ",NA,NSF,POLITICAL,"The term 'systemic' is used in relation to societal racism and marginalized individuals, indicating a social and political context.
"
16,systemic,"advance adaptation: nyu interscience-systemic changes in leadership and climate for inclusive stem the new york university’s (nyu) advance adaptation project, interscience, will focus on improvin",NA,NSF,POLITICAL,"The term 'systemic' is used in the context of changes in leadership and climate for inclusive STEM, indicating a focus on social and organizational structures and power dynamics, thus aligning with a political usage.
"
17,systemic,"d networks maintained by our community collaborators. participants will complete a web-based survey annually for three years that assesses stbs, microsystemic suicide precursors (interpersonal risk factors [thwarted belongingness, perceived burdensomeness], suicide prevention resources [access to psychother",NA,NIH,SCIENTIFIC,"The term ""microsystemic suicide precursors"" is used in a technical context related to psychology and suicide risk factors.
"
