id,term,context,title,agency,classification,explanation
1,trans,"y relied on theory-based surveys or interview methods to measure knowledge and attitudes to design health messaging. rapid expansion of social media use and parallel advances in machine learning analytics provide a unique opportunity to track public views, knowledge, and attitudes simultaneously to translate novel analytic insights into precision public health communication with an intentional lens on black and rural communities. this proposal aims to build a computational framework to uncover heterogeneity in attitudes and misinformation exposure towards covid- 19 vaccination, model predictors of ",Investigating and identifying the heterogeneity in COVID-19 misinformation exposure on social media among Black and Rural communities to inform precision public health messaging,NIH,AMBIGUOUS,"The word ""trans"" appears to be incomplete. It's possible it's the beginning of a word used in a scientific context (e.g., ""translate""), but without the full word, it's impossible to determine the context definitively.
"
2,trans,"cabotegravir prep: actionable robust evidence for translation into practice (cabaret) project summary despite high efficacy, oral preexposure prophylaxis (prep) has had limited population impact on hiv incidence in the us, in part because of challenges with pill-taking. bimonthly injections of cabotegravir were recently found to have superior efficacy t",Cabotegravir PrEP: Actionable Robust Evidence for Translation into Practice (CABARET),NIH,SCIENTIFIC,"In this context, ""PrEP"" refers to Pre-Exposure Prophylaxis, a biomedical intervention to prevent HIV infection. This is a scientific and medical term.
"
3,trans,"tics for hiv-exposed uninfected children project summary hiv-exposed uninfected (heu) infants have higher rates of mortality, infectious morbidity and growth deficits compared to hiv-unexposed uninfected (huu) infants despite the success of maternal antiretroviral therapy (art) in reducing vertical transmission. our group has observed that human milk oligosaccharide (hmo) composition of breastmilk, and its relationships to the infant gut microbiome maturity and composition, may account for some of the increased risks seen in heu infants. currently, no specific interventions have been shown to corre",Trial of Human Milk Oligosaccharide-based synbiotics for HIV-exposed uninfected children,NIH,SCIENTIFIC,"The term 'trans' appears within the acronym 'art' which stands for antiretroviral therapy, a medical treatment for HIV.
"
4,trans,"will establish the community engagement and policy action core (cepa) to serve as an enduring platform for iterative community input, co-design processes, and research dissemination, capacity building, and policy action. in aim 3, we will establish the career development and training core (cdtc) to transform the maternal health research culture and pipeline of early-stage investigators expertly trained in community partnerships, interdisciplinarity, anti-racism, and diversity, equity, inclusion, and justice. our vision is perfectly aligned with the priorities, needs, and assets of our communities a",NY Community-Hospital-Academic Maternal Health Equity Partnerships (NY-CHAMP),NIH,AMBIGUOUS,"The provided text does not contain the term ""trans.""
"
5,trans,"t and implement healthcare system- based targeted interventions to prevent the development of mental illness and suicide in rel-diverse youth. in aim 3, we establish a center for developing and testing innovative interventions to reduce disparities in access and treatment for rel-minority youth and translating findings directly into clinical practice. to accomplish these aims, we will create: an administrative core that oversees pilot studies, conducts training, and promotes community participation; a methods core that leverages adaptive psychopathology screening and social determinants of health s",ALACRITY for Early Screening and Treatment of High Risk Youth (eSToRY),NIH,AMBIGUOUS,"The text is cut off mid-sentence. The term ""trans"" could be the beginning of ""translate"" or ""transition,"" but without the full word, it's impossible to determine the context.
"
6,trans,examining health comorbidities and healthcare utilization disparities among older transgender and cisgender adults in the u.s. project summary transgender and gender diverse (tgd) people in the united states (us) experience significant health disparities throughout the life course relative to cisgender people. while extensive community-based research drawn from convenience samples and,Examining Health Comorbidities and Healthcare Utilization Disparities among Older Transgender and Cisgender Adults in the U.S.,NIH,SCIENTIFIC,"The text discusses health comorbidities and healthcare utilization, specifically examining differences between transgender and cisgender adults. This is a scientific investigation of health disparities.
"
7,trans,", medical, minnesota, misinformation, modeling, modernization, morbidity - disease rate, outcome, pathway analysis, persons, policies, population, positioning attribute, prevention strategy, preventive, prisons, radx underserved populations, resources, rhode island, sars-cov-2 infection, sars-cov-2 transmission, safety, sampling, site, social network, socioeconomic status, structural racism, structure, study models, system, techniques, testing, us state, united states, vaccinated, vaccination, vaccines, vulnerable populations, washington, adverse outcome, barrier to care, community reentry, communi",Integrated Network Analysis of RADx-UP Data to Increase COVID-19 Testing and Vaccination Among Persons Involved with Criminal Legal Systems (PCLS),NIH,AMBIGUOUS,"The context is a list of terms related to a scientific grant. While ""persons"" and ""vulnerable populations"" are included, which could potentially relate to transgender individuals, the term ""trans"" itself isn't present to definitively indicate a political or social usage. Therefore, its presence (or implied presence) in the context is ambiguous.
"
8,trans,"transhealthguide: transforming health for gender-diverse young adults using interventions to drive equity transgender and gender diverse (tgd) young adults (ages 18-24 years), with gender identities differing from their sex assigned at birth, are a growing nih-designated health disparities population. tg",TransHealthGUIDE: Transforming Health for Gender-Diverse Young Adults Using Interventions to Drive Equity,NIH,POLITICAL,"The term ""trans"" is used in the context of gender identity and health disparities, which are inherently linked to social, political, and identity-based discussions and advocacy. The text specifically mentions ""gender identities differing from their sex assigned at birth"" and ""NIH-designated health disparities population,"" indicating a focus on issues of equity and access related to transgender individuals.
"
9,trans,"ies. sgm youth often report feeling unwelcome and misunderstood in traditional behavioral health service organizations. consequently, treatment attendance and retention remain low. instead, this population generally seeks mental health services in community organizations for lesbian, gay, bisexual, transgender, and queer (lgbtq) youth. unfortunately, these organizations are often unprepared for this clinical challenge. the behavioral health-works (bh-works) suicide risk management system may offer a potential solution to this problem. bh-works is an evidence-based, comprehensive youth suicide preve",The BH-Works Suicide Prevention Program for Sexual and Gender Minority Youth,NIH,POLITICAL,"The term 'transgender' is part of the acronym LGBTQ, which refers to a social and political identity group.
"
10,trans,"a randomized controlled trial of a game-based intervention to reduce alcohol use among sexual and gender minority youth project summary/abstract sexual and gender minority youth (sgmy; e.g., lesbian, gay, bisexual, transgender, and nonbinary people <18 years) experience substantial inequities in alcohol use, thus placing sgmy at greater risk for alcohol-related morbidity and mortality across the life-course. despite making great strides in identifying determinants (e.g., minority stress and discrimination) of these",A Randomized Controlled Trial of a Game-Based Intervention to Reduce Alcohol Use among Sexual and Gender Minority Youth,NIH,POLITICAL,"The term ""transgender"" is used within the context of ""sexual and gender minority youth,"" which refers to a social and identity-based group. This framing aligns with the political context of recognizing and addressing health inequities experienced by marginalized groups.
"
11,trans,"ncreased daily alcohol use will be associated with higher same-day levels of destructive conflict among sgm couples. further, we predict that greater drinking to cope motives and higher levels of internalized minority stress (i.e., fear of rejection, worry about concealment, internalized homophobia/transphobia) assessed at baseline will exacerbate the effects of daily minority stress (exposure to discrimination, harassment, and stigmatization) on alcohol use and subsequent destructive conflict. importantly, these processes will be examined in a sample of sgm couples residing in the rural midwest—a ",Experiences of Rural Sexual and Gender Minority Couples: Does Alcohol Use Explain the Link Between Minority Stress and Intimate Partner Discord and Violence,NIH,SCIENTIFIC,"The term ""transphobia"" is used as a component of internalized minority stress within the context of a scientific study examining the relationship between minority stress, alcohol use, and intimate partner discord among sexual and gender minority couples.
"
12,trans,"dementia care, design, efficacy evaluation, evidence base, follow-up, gender minority health disparity, health care availability, health care service, health disparity, human old age (65+), improved, older adult, online course, online intervention, online version, peer, satisfaction, skills, sound, transgender",Training the Long-Term Services and Supports Dementia Care Workforce in Provision of Care to Sexual and Gender Minority Residents,NIH,POLITICAL,"The term ""transgender"" is used in the context of ""gender minority health disparity,"" which is a social and political issue.
"
13,trans,"r research to effectively study small or rare populations relevant to cancer research. sexual and gender minorities (sgm) are small populations at disproportionate risk for cancer but who have been under-researched in cancer studies. the principal challenge common across lesbian, gay, bisexual, and transgender populations is to develop effective methods to identify and recruit patients and survivors who are sgm into nci cancer studies. two technical advances have transformative potential to advance research on health disparities in sgm cancer patients. first, online recruitment has yielded large sg",Testing Effective Methods to Recruit Sexual and Gender Minority Cancer Patients for Cancer Studies,NIH,POLITICAL,"The term 'trans' is part of the acronym 'sgm' (sexual and gender minorities), which is used to refer to a population group facing health disparities and under-representation in research. This points to a social and identity context, thus aligning with the 'POLITICAL' classification.
"
14,trans,"ata set, data sources, disparity, drug usage, eligibility determination, equation, fellowship, gender, gender identity, guidelines, health, health surveys, health behavior and outcomes, heterosexuals, incidence, individual, individual national research service award, knowledge, lesbian gay bisexual transgender, longitudinal cohort, lung, malignant neoplasm of lung, measurement, measures, mentors, mentorship, methodology, methods, modeling, morbidity - disease rate, national health interview survey, nicotine, outcome, paper, persons, policies, population, population assessment of tobacco and health,",Low Dose Computed Tomography (LDCT) Eligibility and Outcome differences between Sexual and Gender Minorities and their Sexual and Gender Majority Counterparts,NIH,POLITICAL,"The term ""transgender"" is being used to categorize a specific population group (Sexual and Gender Minorities) in the context of health disparities and outcomes. This falls under a social, political, and identity-related context.
"
15,trans,strategies to prevent hiv acquisition among transgender msm in the us project summary transgender men who have sex with men (trans msm) are at-risk of hiv acquisition in the us and require gender-affirming culturally responsive biobehavioral hiv prevention strategies. the goal of the proposed study is to assess the ability of digitally delivered p,Strategies to Prevent HIV Acquisition Among Transgender MSM in the US,NIH,SCIENTIFIC,"The term 'trans' is used in a scientific context to describe a specific population group (transgender men who have sex with men) at risk for HIV acquisition. The grant proposal aims to develop prevention strategies, indicating a scientific and research-oriented usage.
"
16,trans,"ach to departments, centers, and schools at partner universities; and engaging student groups and associations of underrepresented populations in global health. outcomes: 50% of lmic scholars will be women and at least 30% of us scholars will be from underrepresented minorities. aim 4 – support the transition of scholars into successful and sustainable research careers. we will link scholar selection to lmic priorities and research programs. outcomes: sustained collaboration between scholars and insight consortium researchers for at least five years. africa south of the sahara, applications grants,",Integrated Networks of Scholars in Global Health Research Training (INSIGHT),NIH,SCIENTIFIC,"The term ""transition"" refers to the process of scholars moving into successful research careers, a career development concept.
"
17,trans,"ach to departments, centers, and schools at partner universities; and engaging student groups and associations of underrepresented populations in global health. outcomes: 50% of lmic scholars will be women and at least 30% of us scholars will be from underrepresented minorities. aim 4 – support the transition of scholars into successful and sustainable research careers. we will link scholar selection to lmic priorities and research programs. outcomes: sustained collaboration between scholars and insight consortium researchers for at least five years. africa south of the sahara, applications grants,",Integrated Networks of Scholars in Global Health Research Training (INSIGHT),NIH,SCIENTIFIC,"""Support the transition of scholars into successful and sustainable research careers."" The term 'transition' refers to the process of moving from one stage (e.g., training) to another (e.g., a research career) in a scientific or professional context.
"
