id,term,context,title,agency,classification,explanation
1,transgender,"gh efficacy, oral preexposure prophylaxis (prep) has had limited population impact on hiv incidence in the us, in part because of challenges with pill-taking. bimonthly injections of cabotegravir were recently found to have superior efficacy to daily oral prep among men who have sex with men (msm), transgender women, and cisgender women. long-acting injectable (lai) prep could mitigate barriers to adherence and persistence, thereby increasing prep coverage. interest in lai prep has been high in some groups that are at disproportionately high risk of hiv infection and underrepresented among oral prep user",Cabotegravir PrEP: Actionable Robust Evidence for Translation into Practice (CABARET),NIH,SCIENTIFIC,"The term 'transgender women' is used in a scientific context to identify a specific group of individuals within a clinical study focused on HIV prevention and treatment efficacy. The categorization is relevant to the study's objectives in assessing the impact of different PrEP methods on populations at risk.
"
2,transgender,examining health comorbidities and healthcare utilization disparities among older transgender and cisgender adults in the u.s. project summary transgender and gender diverse (tgd) people in the united states (us) experience significant health disparities throughout the life course relative to cisgender people. while extensive community-based research drawn from convenience samples and a bur,Examining Health Comorbidities and Healthcare Utilization Disparities among Older Transgender and Cisgender Adults in the U.S.,NIH,SCIENTIFIC,"The term 'transgender' is used in the context of a scientific grant proposal examining health disparities and healthcare utilization, indicating a technical and research-oriented usage.
"
3,transgender,"transhealthguide: transforming health for gender-diverse young adults using interventions to drive equity transgender and gender diverse (tgd) young adults (ages 18-24 years), with gender identities differing from their sex assigned at birth, are a growing nih-designated health disparities population. tgd young adults suffer higher rates of suicide than their cisgender counterparts; over half contemplate suicide i",TransHealthGUIDE: Transforming Health for Gender-Diverse Young Adults Using Interventions to Drive Equity,NIH,SCIENTIFIC,"The text defines ""transgender and gender diverse (tgd) young adults"" in terms of gender identity differing from sex assigned at birth and discusses health disparities and suicide rates within this population, which are typical of scientific studies.
"
4,transgender,"ies. sgm youth often report feeling unwelcome and misunderstood in traditional behavioral health service organizations. consequently, treatment attendance and retention remain low. instead, this population generally seeks mental health services in community organizations for lesbian, gay, bisexual, transgender, and queer (lgbtq) youth. unfortunately, these organizations are often unprepared for this clinical challenge. the behavioral health-works (bh-works) suicide risk management system may offer a potential solution to this problem. bh-works is an evidence-based, comprehensive youth suicide prevention ",The BH-Works Suicide Prevention Program for Sexual and Gender Minority Youth,NIH,POLITICAL,"The term 'transgender' is used within the context of sexual and gender minority (sgm) youth and their access to mental health services. This aligns with a social, political, and identity-based understanding of the term.
"
5,transgender,"a randomized controlled trial of a game-based intervention to reduce alcohol use among sexual and gender minority youth project summary/abstract sexual and gender minority youth (sgmy; e.g., lesbian, gay, bisexual, transgender, and nonbinary people <18 years) experience substantial inequities in alcohol use, thus placing sgmy at greater risk for alcohol-related morbidity and mortality across the life-course. despite making great strides in identifying determinants (e.g., minority stress and discrimination) of these inequ",A Randomized Controlled Trial of a Game-Based Intervention to Reduce Alcohol Use among Sexual and Gender Minority Youth,NIH,SCIENTIFIC,"The term 'transgender' is used within the context of a scientific study investigating health disparities among sexual and gender minority youth. It's part of the defined population group being studied for alcohol use and related health outcomes.
"
6,transgender,"r (a) social support from interpersonal relationships, (b) psychological sense of connection with the lgbtq+ community, and (c) psychological sense of community with one's rural midwestern neighborhood. participants will be 200 sgm couples (i.e., both individuals identify as lesbian, gay, bisexual, transgender, and/or queer, and are in a committed intimate relationship). couples will be recruited from the midwestern lgbtq+ research registry, established by the mpis. our proposed models will be tested using intensive daily diary methods employed over 60 days to track daily experiences of minority stress, ",Experiences of Rural Sexual and Gender Minority Couples: Does Alcohol Use Explain the Link Between Minority Stress and Intimate Partner Discord and Violence,NIH,SCIENTIFIC,"The term 'transgender' is used as part of a list of sexual and gender minority (SGM) identities within a research study focused on understanding the experiences of SGM couples. This is a technical and scientific context.
"
7,transgender,"dementia care, design, efficacy evaluation, evidence base, follow-up, gender minority health disparity, health care availability, health care service, health disparity, human old age (65+), improved, older adult, online course, online intervention, online version, peer, satisfaction, skills, sound, transgender",Training the Long-Term Services and Supports Dementia Care Workforce in Provision of Care to Sexual and Gender Minority Residents,NIH,POLITICAL,"The term ""transgender"" appears within the context of ""gender minority health disparity"" and ""health disparity,"" indicating a focus on social and political factors related to healthcare access and equity for transgender individuals.
"
8,transgender,"r research to effectively study small or rare populations relevant to cancer research. sexual and gender minorities (sgm) are small populations at disproportionate risk for cancer but who have been under-researched in cancer studies. the principal challenge common across lesbian, gay, bisexual, and transgender populations is to develop effective methods to identify and recruit patients and survivors who are sgm into nci cancer studies. two technical advances have transformative potential to advance research on health disparities in sgm cancer patients. first, online recruitment has yielded large sgm samp",Testing Effective Methods to Recruit Sexual and Gender Minority Cancer Patients for Cancer Studies,NIH,SCIENTIFIC,"The term 'transgender' is used as part of the broader category of sexual and gender minorities (SGM) within the context of cancer research and health disparities. The grant aims to develop effective methods for recruiting these populations into cancer studies, indicating a scientific and research-oriented application of the term.
"
9,transgender,"ata set, data sources, disparity, drug usage, eligibility determination, equation, fellowship, gender, gender identity, guidelines, health, health surveys, health behavior and outcomes, heterosexuals, incidence, individual, individual national research service award, knowledge, lesbian gay bisexual transgender, longitudinal cohort, lung, malignant neoplasm of lung, measurement, measures, mentors, mentorship, methodology, methods, modeling, morbidity - disease rate, national health interview survey, nicotine, outcome, paper, persons, policies, population, population assessment of tobacco and health, preva",Low Dose Computed Tomography (LDCT) Eligibility and Outcome differences between Sexual and Gender Minorities and their Sexual and Gender Majority Counterparts,NIH,SCIENTIFIC,"The term 'transgender' is used alongside 'lesbian gay bisexual' within a list of terms related to health disparities, population studies, and research methodologies. This suggests its usage is within a scientific context of studying health outcomes in specific populations.
"
10,transgender,strategies to prevent hiv acquisition among transgender msm in the us project summary transgender men who have sex with men (trans msm) are at-risk of hiv acquisition in the us and require gender-affirming culturally responsive biobehavioral hiv prevention strategies. the goal of the proposed study is to assess the ability of digitally delivered peer-ba,Strategies to Prevent HIV Acquisition Among Transgender MSM in the US,NIH,SCIENTIFIC,"The term 'transgender' is used to define a specific population group (transgender MSM) for a scientific study on HIV prevention.
"
