id,term,context,title,agency,classification,explanation
1,transgender,"that may themselves contribute to psychological distress. the proposed research will seek to achieve a more holistic understanding of how gender disparities in mental health emerge by involving a diverse sample of adolescents, including cisgender girls (gender identity: girl, assigned sex: female), transgender girls (gender identity: girl, assigned sex: male), cisgender boys (gender identity: boy, assigned sex: male), and transgender boys (gender identity: boy, assigned sex: female). this sample will be drawn from a large-scale longitudinal study of socially-transitioned transgender and gender-diverse yo",The psychological underpinnings of gender disparities in adolescent mental health,NIH,SCIENTIFIC,"The text uses 'transgender' with specific definitions related to gender identity and assigned sex at birth, which is characteristic of scientific and clinical usage. It aims to understand the psychological aspects of mental health in different gender identities.
"
2,transgender,"optimizing prep implementation and cost-effectiveness among sexual and gender minority individuals with a substance use disorder abstract in the us most (~70%) annual newly diagnosed hiv infections are among substance-using sexual minority cisgender men (msm) and gender minority transgender women (tw).1 tw/msm are more likely to report or be diagnosed with a substance use disorder (sud) than their cisgender or heterosexual counterparts2-5 and the presence of a sud substantially increases risk of hiv infection in both groups.6-16although prep is highly effective, initiation, adherence,",Optimizing PrEP Implementation and Cost-effectiveness among Sexual and Gender Minority Individuals with a Substance Use Disorder,NIH,SCIENTIFIC,"The term 'transgender' is used in a research context to define a specific population group (transgender women) relevant to HIV risk and substance use disorder, indicating a scientific or medical context.
"
3,transgender,ospatial methods to investigate relationships between social cohesion and social capital within global positioning system (gps)-defined activity space neighborhoods and social networks in relation to hiv pre-exposure prophylaxis (prep) uptake and adherence cross-sectionally and longitudinally among transgender women (tw) of color (twoc) in the new york city metropolitan statistical area (msa) followed over two years. we will recruit 250 twoc in the proposed the n2 study: transgender women's neighborhood and networks cohort study to address the aims of the research. eligibility requirements include: ident,Impact of Social Cohesion and Social Capital in PrEP Uptake and Adherence Among Transwomen of Color,NIH,SCIENTIFIC,"The term ""transgender"" is used within the context of a scientific study investigating health outcomes (PrEP uptake and adherence) among a specific population (transgender women of color).
"
4,transgender,"ent and care in low- and middle- income countries) by proposing rigorous procedures to develop and pilot test a gender-affirmation and stigma- reduction intervention to promote hiv self-testing (hst), behavioral risk reduction, and use of relevant hiv prevention/care and gender-related services for transgender women (tw) in the philippines. tw are a priority population for hiv intervention research in the philippines, where one of the world’s fastest growing epidemic currently takes place. gender-minority stigma is a critical barrier to engaging filipina tw in hiv services, and gender-affirmative interve",Stigma Reduction and Gender Affirmation to Promote HIV Prevention/Testing in Trans Women,NIH,SCIENTIFIC,"The term 'transgender' is used within the context of HIV prevention research and intervention strategies targeted towards transgender women, a specific population group relevant to public health and epidemiological studies.
"
5,transgender,interpersonal protective factors and mental health symptom self-management among black transgender women: a mixed-methods study proposal summary protective factors across the life course can have profound effects on individual health. it has been well established that adverse childhood experiences and lifetime exposure to discrimination and victimization have negative mental and physical health ,Interpersonal Protective Factors and Mental Health Symptom Self-Management Among Black Transgender Women: A Mixed-Methods Study,NIH,SCIENTIFIC,"The term ""transgender"" is used to define a specific population group being studied within the context of health research, making it a technical and scientific usage.
"
6,transgender, of colorado school of medicine’s department of pediatrics in the division of child neurology at children’s hospital colorado. the outlined proposal builds on my previous research and clinical experience in neuroimaging of pubertal brain development and pediatric headache by expanding to a model of transgender adolescent headache. the proposed research and training plan will prepare me with a unique skillset for translational research as an independent clinician scientist in the emerging field of the effect of sex steroids on neurologic conditions in transgender youth and in headache sex differences rese,Effect of pubertal hormones on Headache in Transmasculine Adolescents,NIH,SCIENTIFIC,"The term 'transgender' is used within the context of a scientific research proposal investigating the effect of hormones on headache in transgender adolescents, fitting a technical and scientific context.
"
7,transgender,"vidence-based biomedical hiv prevention and treatment tools such as pre-exposure prophylaxis (prep) and treatment among immigrant lmsm. work2prevent (w2p) is one evidence-based structural intervention which has shown to impact hiv prevention outcomes among english- speaking black and latino msm and transgender women, respectively.5–8 however, w2p has yet to be adapted for immigrant lmsm populations to address their unique needs, nor for people living with hiv. research strategy: this fellowship would be the first to adapt an hiv-status neutral structural employment as prevention intervention (w2p) to add",Employment as prevention: Adapting a structural intervention to achieve HIV equity among immigrant Latino MSM.,NIH,SCIENTIFIC,"The term ""transgender"" is used in the context of HIV prevention research and intervention strategies, specifically referring to transgender women as a population group studied in relation to HIV outcomes.
"
8,transgender,"iod, diverse data, eleventh grade, experience, gender minority youth, health inequalities, innovation, minority children, minority stress, peer, peer influence, population based, resilience, seventh grade, sex, sex variable, sexual minority youth, skills, social norm, social stigma, stem, stressor, transgender, trend, underage drinking","Sexual orientation, gender identity, and alcohol use: A multi-method analysis of developmental differences and key mechanisms",NIH,SCIENTIFIC,"The grant title and keywords indicate a study on health inequalities and developmental differences in minority youth, specifically examining the relationship between sexual orientation, gender identity, and alcohol use. ""Transgender"" is used as a demographic or identity category within this scientific investigation.
"
9,transgender,"arity, hate crimes, indexing, men, minority disparity, minority stress, mortality, public policy on alcohol, sex assigned, sexual minority, sexual minority disparity, sexual minority group, sexual minority men, sexual minority women, skills, social determinants, social stigma, training opportunity, transgender men, transgender women, women versus men",Examining differential effects of state equality-promoting policies on harmful alcohol use among sexual and gender minority adults in the U.S.: an econometrics approach for causal inference,NIH,AMBIGUOUS,".

The term 'transgender' is used within a research context concerning health disparities and policy impacts, indicating a technical and scientific usage. Specifically, it is being used as a demographic category within a study about alcohol use.
"
10,transgender," and gender minorities project summary the goal of the proposed research is to develop, validate, and apply measures of state-level structural stigmatization and discrimination (ssd) for latino/a/e (“latine”) and sexual and gender minority (sgm) populations. latine sgm persons, specifically men and transgender women who have sex with men, face inequities in hiv prevention and treatment outcomes. latine sgm experience multiple, intersecting forms of stigmatization and discrimination, which research by our team and others has shown to impact hiv-related outcomes. however, most work has focused on the indiv",Measures of structural stigmatization and discrimination for HIV research with Latine sexual and gender minorities,NIH,SCIENTIFIC,"The term 'transgender' is used within the context of a research project focusing on HIV prevention and treatment outcomes in Latine sexual and gender minority populations. This aligns with a technical and scientific usage.
"
