id,term,context,title,agency,classification,explanation
1,traumatic,"hology screening and social determinants of health screeners, implements rigorous randomized controlled trials, and conducts predictive analytics to inform efforts to reduce disparities; three research projects that improve the identification and early treatment of psychopathology, suicidality, and traumatic experiences among rel-diverse youth. acceleration, address, adolescent, adolescent and young adult, age, age years, area, asian, black race, boston, budgets, covid-19 impact, covid-19 pandemic, caring, cause of death, child, child welfare, clinic, clinical, communities, community health, community ",ALACRITY for Early Screening and Treatment of High Risk Youth (eSToRY),NIH,SCIENTIFIC,"The term ""traumatic experiences"" is used in the context of identifying and treating psychopathology and suicidality among youth, which falls under a scientific, specifically psychological/psychiatric, domain.
"
2,traumatic,"uality, influentials, link, literature, machine learning, marriage, medical, mental depression, mental health, methodology, methods, minority, minority groups, minority status, modeling, morbidity - disease rate, national institute of drug abuse, older population, outcome, pattern, population, post-traumatic stress disorders, psychosocial factor, quality of life, research, research personnel, role, severities, site, social isolation, subgroup, system, techniques, testing, trauma, trees, united states national institutes of health, age effect, age related, aged, behavioral health, career, comorbidity, c",Exploring the Role of Novel Aging-Focused Syndemic Conditions on HIV Risk and Quality of Life among HIV-Negative Older Sexual Minority Men,NIH,SCIENTIFIC,"The term 'traumatic' appears in the phrase ""post-traumatic stress disorders,"" which is a recognized and defined mental health condition. Mental health and psychological disorders are studied within a scientific context.
"
3,traumatic,"ing, time, training, woman, women', s group, work, alcohol intervention, assault, binge drinking, coping, depressive symptoms, drinking, evidence base, experience, high risk population, improved, informant, microaggression, minority stress, minority stressor, neglect, perceived discrimination, post-traumatic stress, programs, psychologic, psychological distress, sexual assault, sexual identity, sexual minority, sexual minority men, sexual minority women, skill acquisition, social stigma, stressor, therapy development",Event-level Antecedents of Heavy Drinking Among Bisexual and Heterosexual Women with and without Histories of Sexual Assault,NIH,SCIENTIFIC,"The term ""traumatic"" appears in the context of ""post-traumatic stress,"" a well-established psychological condition often studied scientifically. The surrounding terms like ""coping,"" ""depressive symptoms,"" ""psychological distress,"" and ""therapy development"" further support its use within a scientific/clinical psychology context.
"
4,traumatic,"clusion, gender identity, generations, goals, grant, income, individual, infrastructure, institution, intention, intervention, justice, language, lived experience, maternal health, maternal mortality, mental health, mission, modeling, morehouse school of medicine, overdose, perinatal, persons, post-traumatic stress disorders, postpartum depression, postpartum period, postpartum women, pregnancy, pregnancy complications, pregnant women, public health, research, research infrastructure, research personnel, research project grants, review committee, scientist, site, social justice, substance use disorder,",Center to Advance Reproductive Justice and Behavioral Health among Black Pregnant/Postpartum Women and Birthing People (CORAL).,NIH,SCIENTIFIC,"The term ""traumatic"" appears in the phrase ""post-traumatic stress disorders,"" which is a recognized and defined psychological condition studied within the scientific and medical fields.
"
5,traumatic,"gender identity, grant, health, health disparities research, health promotion, individual, intervention, interview, life cycle stages, major depressive disorder, mental depression, mental health, mental health associations, methods, outcome, parents, personal satisfaction, persons, population, post-traumatic stress disorders, prevalence, psyche structure, quality of life, race, recommendation, reporting, research, research methodology, research personnel, respondent, role, self management, severities, social support, surveys, symptoms, training, united states, victimization, woman, youth, adverse child",Interpersonal Protective Factors and Mental Health Symptom Self-Management Among Black Transgender Women: A Mixed-Methods Study,NIH,SCIENTIFIC,"The term ""post-traumatic stress disorders"" falls under the domain of mental health and psychological research, which is a scientific context.
"
6,traumatic,"identifying transdiagnostic intervention targets for ptsd-sud comorbidity in a vulnerable population: a mixed-method study project summary this study aims to identify transdiagnostic mechanisms of posttraumatic stress disorder (ptsd)-substance use disorder (sud) comorbidity among trauma-exposed transgender and gender diverse (tgd) adults. significance: tgd populations are virtually absent from ptsd-sud research despite the alarming and disproportionately high rates of exposure to violence, ptsd, and sud o",Identifying Transdiagnostic Intervention Targets for PTSD-SUD Comorbidity in a Vulnerable Population: A Mixed-Method Study,NIH,SCIENTIFIC,"The term ""posttraumatic stress disorder (PTSD)"" is a recognized and defined clinical condition, placing the use of ""traumatic"" within a scientific context.
"
7,traumatic,"ersonal violence, intervention, knowledge, link, lived experience, measurement, measures, mental depression, mental health, methodology, modeling, obesity, observational study, online systems, outcome, participant, pathway interactions, patient self-report, physiological, policies, population, post-traumatic stress disorders, prevention, prevention program, prevention strategy, process, prospective  cohort study, race, reduce health disparities, research, resources, risk, risk factors, role, saliva, sampling, shapes, sleep, social identification, social support, stigmatization, stress, subgroup, survey",An intersectional approach linking Minority Stressors Experienced by Transgender and Gender Diverse Adults to Alcohol and Drug Use and comorbid Mental and Physical Health Outcomes,NIH,SCIENTIFIC,"The term ""post-traumatic stress disorders"" is a recognized and defined mental health condition, placing it firmly within a scientific context.
"
8,traumatic,"ion, latinx, laws, lesbian, lesbian gay bisexual transgender queer, lived experience, location, mediating, mental depression, mental health, minority groups, modeling, municipalities, participant, patient self-report, penetration, perception, policies, politics, population, population density, post-traumatic stress disorders, prevalence, process, public health, public policy, race, reaction, recording of previous events, recovery, research, risk, role, sampling, services, sex orientation, social identification, stigmatization, surveys, survivors, symptoms, testing, theoretical model, time, trauma, vuln","Sexual Assault Recovery Among Sexual Minority Women: A Longitudinal, Multi-Level Study",NIH,SCIENTIFIC,"The term 'traumatic' appears in the phrase ""post-traumatic stress disorders,"" which is a recognized clinical diagnosis and therefore a scientific context.
"
9,traumatic,"rity group, health disparity, immune function, improved, internalized stigma, maltreatment, men, methylome, minority stress, minority stressor, perceived discrimination, prevent, respiratory, response, sex, sexual minority, social stigma, substance use, substance use treatment, therapy development, traumatic stress",Substance use and DNA methylation at the intersection of sex and gender,NIH,SCIENTIFIC,"""Traumatic stress"" is a recognized concept and term within the scientific fields of psychology, psychiatry, and neuroscience, often studied in relation to substance use and mental health outcomes.
"
10,traumatic,"quencies, friends, goals, grant, health, health occupations, health personnel, heterosexuals, hour, individual, intervention, lead, lesbian gay bisexual, lived experience, measures, mental depression, mental health, mentors, methodology, outcome, participant, pattern, persons, planning theory, post-traumatic stress disorders, questionnaires, randomized, reaction, research, research assistant, sampling, sexual and gender minorities, stigmatization, structure, students, survivors, techniques, testing, training, video recording, vulnerable populations, acceptability and feasibility, attentional control, b",Reconstruction of an SGM-specific sexual violence peer support program (SSS+),NIH,SCIENTIFIC,"The term ""post-traumatic stress disorders"" is a recognized clinical diagnosis within the field of mental health and psychology, therefore it falls under a scientific context.
"
