id,term,context,title,agency,classification,explanation
1,tribal,"tunities for the scholars and maximizing our resources. our multi-pi leadership team is uniquely positioned to manage the proposed program, since we have a strong background in leading collaborative research and training, promoting minority involvement in biomedical research, and collaborating with tribal and rural communities. more than 30 faculty with biomedical research programs from ten departments who have demonstrated a commitment to training the next generation of scientists have agreed to serve as mentors for the prep-mt program. all mentors will receive mentorship training through the cente",PREP-MT: Providing Research Education for Postbaccalaureate Trainees in Montana,NIH,POLITICAL,"The term 'tribal' refers to communities, which is a social and political context, especially when paired with 'rural communities' and 'minority involvement'.
"
2,tribal,"se ymsm, our target demographic group. further, we have previously leveraged advanced social media advertising techniques and used innovative geospatial analytics to target/study “communities within communities”, reaching hard-to-reach ymsm from diverse geographic areas (e.g., rural zip codes, u.s. tribal lands, etc.) and young ages (e.g., ymsm 13-18 years of age). we will harness innovative technology to recruit, during 36-months of enrollment, and then retain a large cohort (n = 5,000) of 17-25 year old ymsm, the majority being black and latino, who are at high-risk of hiv transmission (e.g., hist",MyPEEPS Mobile LITE:  Limited Interaction Efficacy Trial of MyPEEPS Mobile to Reduce HIV Incidence and Better Understand the Epidemiology of HIV among YMSM,NIH,POLITICAL,"The term ""tribal lands"" refers to areas with specific governmental and cultural significance for Native American tribes, indicating a political and social context related to indigenous populations and their territories within the US.
"
3,tribal,"s in the world with wide regional variability. little research has attempted to understand or address barriers to covid-19 vaccination in anai people, despite unique geographical, historical, and cultural factors that could influence vaccine uptake in this population. we have formed a consortium of tribal health leaders from across alaska to better understand vaccine attitudes and intentions, including hesitancy, and to increase vaccine uptake in alaskan anai communities. in conjunction with community advisors, we will develop and implement a theory-driven intervention that is grounded in anai value",Alaska Native Communities Advancing Vaccine Uptake,NIH,POLITICAL,"The term ""tribal"" is used to refer to Alaska Native communities, indicating a socio-political and cultural identity.
"
4,tribal,"s (powwows, two-spirit society events, etc.), panel discussions with film creators and indigenous influencers/icons, and the embedment of films into the cancer center’s indigenous outreach, engagement, and prevention digital repository. evaluative efforts include co-produced films guided by an intertribal community advisory board with indigenous sgm representation, pre-post surveys on knowledge, attitude, cancer prevention, and screening behaviors. the long-term goal is the continuance of community outreach for indigenous communities, indigenous urban centers with sustainable integration into indige",Two-Spirit Films in Indigenous Cancer Health,NIH,POLITICAL,"The term ""intertribal"" refers to relationships and collaboration between different Indigenous tribal groups, which is inherently a social, political, and identity-related concept.
"
5,tribal,"dress minority aging, ad/adrd, and/or health disparities in older adults. 4. catalyze resource sharing between and among the rcmar centers and cultivate sustainable engagement with key stakeholders including minority serving institutions (msis); historically black colleges and universities [hbcus], tribal colleges and universities [tcus], hispanic serving institutions [hsis]) and other academic institutions serving predominately racially minoritized students and groups), all nia research centers, the aging research community, and the public. 5. enhance the prominence of the rcmar program, behavioral",Resource Centers for Minority Aging Research National Coordinating Center (RCMARs NCC),NIH,POLITICAL,"The term ""tribal"" is used in the phrase ""Tribal Colleges and Universities [TCUs]"", which are institutions established to serve the educational needs of American Indian and Alaska Native tribes. This falls under the political context as it relates to government-recognized tribes and their sovereignty.
"
6,tribal,"rad-x up narch supplement: a cherokee nation community-driven program for testing and contact tracing (cherokee protect) project summary through the radx-up program, the cherokee nation community-driven program for testing and contact tracing (cherokee protect) unites tribal, academic, and community partners under the leadership of cherokee nation (cn) to solve a dire need for covid-19 testing, contact tracing, and culturally informed education in underserved and vulnerable rural populations. as of august 4, cherokee nation health services (cnhs) has confirmed >850 cas",RAD-X UP NARCH Supplement: A Cherokee Nation Community-Driven Program for Testing and Contact Tracing (Cherokee PROTECT),NIH,POLITICAL,"The term 'tribal' refers to the Cherokee Nation, a recognized tribal entity with its own government and community. The context involves a program driven by and for this tribal community, dealing with health services and cultural considerations, indicating a political and identity-related usage.
"
7,tribal,"cherokee nation native americanresearch center for health project summary through the radx-up program, the cherokee nation community-driven program for testing and contact tracing (cherokee protect) unites tribal, academic, and community partners under the leadership of cherokee nation (cn) to solve a dire need for covid-19 testing, contact tracing, and culturally informed education in underserved and vulnerable rural populations. as of august 4, cherokee nation health services (cnhs) has confirmed >850 cas",Cherokee Nation Native AmericanResearch Center for Health,NIH,POLITICAL,"The term 'tribal' refers to the Cherokee Nation, a recognized tribal entity with its own government and community. This usage clearly relates to the political and social organization of the Cherokee Nation.
"
8,tribal," engineering, learning sciences, pharmaceutical sciences, and social sciences. importantly, asert also affords exceptional training opportunities in education pedagogy and immersive, practical teaching experiences. central new mexico college and southwestern indian polytechnic institute (a national tribal college) serve minority, lower income, and american indian undergraduate students, respectively. cnm and sipi have student centered programming and offer associate level degrees in science, technology, engineering, mathematics, including physical, environmental and health sciences, among other disc",Academic Science Education and Research Training,NIH,POLITICAL,"The term 'tribal' is used to describe Southwestern Indian Polytechnic Institute as a ""national tribal college,"" indicating its affiliation with or service to a specific indigenous tribal group and its connection to a political or social identity.
"
9,tribal,"u-rise at the unc pembroke project summary as both a native-american serving, non-tribal institution and minority serving institution in poor, rural southeastern north carolina, the u-rise program at the university of north carolina at pembroke aims to increase the number of our diverse and disadvantaged students who pursue a terminal degree in biomedical or behavioral science and ulti",U-RISE at the UNC Pembroke,NIH,POLITICAL,"The term ""tribal"" is used to distinguish UNC Pembroke as a Native American-serving institution that is not directly governed by a tribal government, indicating a political or identity-based distinction.
"
10,tribal,"ead to improved educational opportunities for students to learn with a diverse faculty with members fully engaged in campus culture. best practices from sdm efforts will be made available to other institutions in the state, including the other five institutions in the board of regents system, three tribal colleges/universities, and two private universities.  the nsf advance program is designed to foster gender equity through a focus on the identification and elimination of organizational barriers that impede the full participation and advancement of diverse faculty in academic institutions.  organiz",Adaptation: Empower through Inclusivity: Developing Pathways to Success,NSF,POLITICAL,"The term ""tribal"" refers to tribal colleges/universities, which are institutions serving specific Indigenous communities. This usage is tied to the political and social identity of these communities.
"
