id,term,context,title,agency,classification,explanation
1,underrepresented," have sex with men (msm), transgender women, and cisgender women. long-acting injectable (lai) prep could mitigate barriers to adherence and persistence, thereby increasing prep coverage. interest in lai prep has been high in some groups that are at disproportionately high risk of hiv infection and underrepresented among oral prep users, including black women and black and latino msm, suggesting that lai prep could also reduce racial, ethnic, and gender inequities in prep use. however, barriers to lai prep use may be more common in underserved communities, potentially exacerbating inequities. lai prep may als",Cabotegravir PrEP: Actionable Robust Evidence for Translation into Practice (CABARET),NIH,POLITICAL,"The term ""underrepresented"" is used in the context of racial, ethnic, and gender inequities in PrEP use, indicating a social and political dimension of representation and access to healthcare.
"
2,underrepresented,"uples; dscs) are highly prevalent and particularly unlikely to achieve abstinence. within dscs, little attention has been paid to understanding the unique needs of sexual and/or gender minority (sgm) couples (i.e., couples with at least one individual identifying as sgm). although sgm groups remain underrepresented in research, evidence strongly suggests they experience a disproportionate cancer burden, with tobacco being a leading cause of preventable disease and death among sgm groups.7–12 sgm and non-sgm individuals share a similar desire to quit smoking27 and awareness of evidence-based cessation methods,","Randomized Controlled Trial of Dyadic Financial Incentive Treatment for Dual Smoker Couples: Evaluation of Efficacy, Mechanisms, and Cost Effectiveness",NIH,POLITICAL,"The term 'underrepresented' is used in the context of research participation and disparities experienced by sexual and/or gender minority (sgm) couples, highlighting a social and identity-related concern within the scientific domain. The disproportionate cancer burden faced by sgm groups is also mentioned, further emphasizing the socio-political implications of their underrepresentation in research.
"
3,underrepresented,"utcome, participant, pathway interactions, pattern, population, process, public health, reduce health disparities, registries, research, residencies, resources, risk, rural, rural community, sampling, severities, sexual and gender minorities, social support, source, stigmatization, stress, testing, underrepresented populations, violence, work, alcohol misuse, alcohol myopia, cisgender, coping, diaries, drinking, experience, gender minority group, harassment, health disparity, intimate partner violence, minority stress, novel, peer, perceived discrimination, protective factors, psychologic, psychological distr",Experiences of Rural Sexual and Gender Minority Couples: Does Alcohol Use Explain the Link Between Minority Stress and Intimate Partner Discord and Violence,NIH,POLITICAL,"The term ""underrepresented populations"" is used in the context of addressing health disparities among sexual and gender minorities, which falls under social and political considerations of equity and access.
"
4,underrepresented,"ion in global health research training. we will leverage our existing initiatives and affiliations with minority serving institutions and pipeline programs. this will include broad outreach to departments, centers, and schools at partner universities; and engaging student groups and associations of underrepresented populations in global health. outcomes: 50% of lmic scholars will be women and at least 30% of us scholars will be from underrepresented minorities. aim 4 – support the transition of scholars into successful and sustainable research careers. we will link scholar selection to lmic priorities and res",Integrated Networks of Scholars in Global Health Research Training (INSIGHT),NIH,POLITICAL,"The term ""underrepresented"" is used in the context of diversity and inclusion, specifically referring to ""underrepresented minorities"" in global health research, which aligns with social and political considerations of equity. The mention of women and minorities further supports this classification.
"
5,underrepresented,"ion in global health research training. we will leverage our existing initiatives and affiliations with minority serving institutions and pipeline programs. this will include broad outreach to departments, centers, and schools at partner universities; and engaging student groups and associations of underrepresented populations in global health. outcomes: 50% of lmic scholars will be women and at least 30% of us scholars will be from underrepresented minorities. aim 4 – support the transition of scholars into successful and sustainable research careers. we will link scholar selection to lmic priorities and res",Integrated Networks of Scholars in Global Health Research Training (INSIGHT),NIH,POLITICAL,"The term ""underrepresented minorities"" is used in the context of achieving diversity goals for US scholars in global health research training. This aligns with the political usage of the term to address historical and systemic inequities affecting certain social groups.
"
6,underrepresented,"ernal life course with the perinatal outcomes of her offspring.  researchers have recently begun to consider social environmental factors and how they relate to epigenomic features as well as adverse perinatal outcomes. yet those populations disproportionately affected by these outcomes are grossly underrepresented in genomic studies. our sample of 1,000 births to black women, with nearly half expected to women residing in detroit, will provide a rich source of data on the maternal social environment across the life course and the epigenome. our team possesses tremendous expertise in the study of perinatal ou","Looking Back to Look Forward: Social Environment Across the Life Course, Epigenetics, and Birth Outcomes in Black Families",NIH,POLITICAL,"The term ""underrepresented"" refers to the insufficient inclusion of Black populations in genomic studies, which has social and political implications regarding health equity and research priorities.
"
7,underrepresented,"y interactions, performance, population, population intervention, prejudice, preparation, prevalence, provider, qualitative research, research, role, same-sex, sexual and gender minorities, sexuality, shapes, social workers, social support, statistical methods, testing, training, treatment outcome, underrepresented minority, violence, work, antiretroviral therapy, care seeking, cognitive interview, community engagement, coping, design, efficacious intervention, ethnic identity, evidence base, experience, health disparity, implementation barriers, improved, informant, intersectionality, marginalization, men wh","Intersectional minority stress, mental health, and HIV treatment and care among MSM living with HIV in Ghana",NIH,POLITICAL,"The term ""underrepresented minority"" in the context of health disparity, intersectionality, and focus on marginalized groups (MSM living with HIV in Ghana) indicates a usage related to social, political, and identity-based inequities.
"
8,underrepresented," reasons for elevated risk and identify appropriate modalities for intervention. to move the epidemic to zero new infections, zero aids deaths, and zero stigma, scientists with expertise in trans population health must play a significant scientific role in the response to hiv, especially those from underrepresented populations in the us biomedical, clinical, behavioral, and social sciences research enterprise. there is a paucity of hiv behavioral scientists with expertise in trans population health to do this work, and to our knowledge, there are no known mentoring programs to train scholars in hiv behavioral",SHINE Strong: Building the pipeline of HIV behavioral scientists with expertise in trans population health,NIH,POLITICAL,"The term ""underrepresented populations"" refers to groups lacking equitable representation within the US biomedical, clinical, behavioral, and social sciences research enterprise. This relates to social equity and demographic representation, indicating a political context.
"
9,underrepresented," prevalence, process, provider, psychometrics, public health, qualitative methods, race, recommendation, reporting, research, research personnel, sampling, sex orientation, sexual and gender minorities, special population, standardization, stigmatization, surveys, system, techniques, testing, time, underrepresented populations, united states national institutes of health, victimization, voice, work, academic review, alcohol measurement, asexual, cisgender, community engaged research, community engagement, demographics, drug of abuse, effectiveness evaluation, experience, flexibility, gender minority community","Project Recognize: Improving Measurement of Alcohol Use and Other Disparities by Sex, Sexual Orientation, and Gender Identity through Community Engagement",NIH,POLITICAL,"The term ""underrepresented populations"" appears in a list alongside terms like ""sex orientation,"" ""sexual and gender minorities,"" ""race,"" ""gender minority community,"" and ""demographics,"" which all strongly suggest a focus on social identities and disparities, aligning with a political usage context rather than a purely technical or scientific one. The grant title also explicitly mentions disparities.
"
10,underrepresented,"rtum period, postpartum women, pregnancy, pregnancy complications, pregnant women, public health, research, research infrastructure, research personnel, research project grants, review committee, scientist, site, social justice, substance use disorder, training, translating, translational research, underrepresented minority, universities, white women, woman, work, behavioral health, black women, community engagement, community organizations, community partners, community partnership, coral, effective intervention, experience, health equity, innovation, maternal morbidity, neglect, next generation, pregnant, p",Center to Advance Reproductive Justice and Behavioral Health among Black Pregnant/Postpartum Women and Birthing People (CORAL).,NIH,POLITICAL,"The term 'underrepresented minority' is directly related to social justice and health equity, indicating a focus on addressing disparities and power imbalances in the context of research participation and outcomes.
"
