id,term,context,title,agency,classification,explanation
1,underrepresented," is to assist universities and colleges in diversifying the nation's science, technology, engineering, and mathematics (stem) workforce by increasing the number of stem baccalaureate and graduate degrees awarded to persons from lsamp populations. lsamp populations are defined as persons from groups underrepresented in the stem enterprise: blacks and african-americans, hispanic and latino americans, american indians, alaska natives, native hawaiians, and pacific islanders.    the alabama louis stokes alliance for minority participation (alsamp) consists of nine diverse institutions, including doctoral granting",Louis Stokes Renewal STEM Pathways and Research Alliance: Alabama LSAMP,NSF,POLITICAL,"The term 'underrepresented' is used in the context of diversifying the STEM workforce and refers to specific racial and ethnic groups, indicating a focus on social equity and political representation within the STEM fields.
"
2,underrepresented,"compass pilot the intention of the compass pilot is to explore opportunities that will increase access to and participation in federal seed fund programs by underrepresented groups. scientific and technical innovation plays a critical role in addressing societal challenges, such as healthcare disparities, environmental issues, and economic inequalities. yet those most affected by these societal challenges tend to benefit less from u.s. federal seed fund programs. indee",Compass Pilot,NSF,POLITICAL,"The term 'underrepresented groups' is used in the context of access and participation in federal programs, and addressing societal challenges like healthcare disparities and economic inequalities. These are social and political issues, making the term's usage political.
"
3,underrepresented,"ce: athens, georgia; 18-20 may 2025 this award provides participant support for students and young researchers to attend the materials-manufacturing-machine learning nexus (m3x) conference at the university of georgia, athens, georgia, 18-20 may 2025. priority is given to participation by women and underrepresented minority groups, which promotes diversity, equity, and inclusion. the m3x conference explores research at the intersection of materials science, manufacturing technologies, and machine learning. u.s. and international researchers, faculty and scholars present their research results on advanced mate","Materials-Manufacturing-Machine Learning Nexus (M3X) Conference: Athens, Georgia; 18-20 May 2025",NSF,POLITICAL,"The term ""underrepresented minority groups"" is used in the context of promoting diversity, equity, and inclusion, which are concepts related to social and political concerns about representation and equal opportunity.
"
4,underrepresented,"quity-focused launch to empower and value agep faculty to thrive in engineering) carnegie mellon university, johns hopkins university, and new york university will work as an alliance team to develop a model to promote the equitable advancement of early career tenure-stream engineering faculty from underrepresented groups (african americans, hispanic americans, american indians, alaska natives, native hawaiians, and native pacific islanders). faculty who belong to these populations will be referred to as agep faculty in the context of the agep program. the goal of this agep faculty career pathways alliance mo",Collaborative Research: AGEP FC-PAM: Project ELEVATE (Equity-focused Launch to Empower and Value AGEP Faculty to Thrive in Engineering),NSF,POLITICAL,"The term ""underrepresented groups"" is used in a social and identity context, referring to specific racial and ethnic groups facing systemic barriers in engineering. The mention of ""equity"" further reinforces this political aspect.
"
5,underrepresented,"rt  lung  and blood institute, nature, organ, pathogenicity, physiology, population heterogeneity, recording of previous events, renaissance, research, research personnel, role, science, scientist, social interaction, social network, stroke, sudden death, system, therapeutic, time, tissues, travel, underrepresented populations, underserved population, universities, woman, clinical translation, comorbidity, design, gender minority, heart rhythm, in vivo, insight, interdisciplinary approach, interdisciplinary collaboration, knowledge integration, marginalized population, meetings, mortality, multidisciplinary, ",2025 Cardiac Arrhythmia Mechanisms Gordon Research Conference and Gordon Research Seminar,NIH,POLITICAL,"The term ""underrepresented populations"" is listed alongside terms like ""gender minority,"" ""marginalized population,"" and ""woman,"" indicating a focus on social identity and equity, which falls under a political context within the research landscape.
"
6,underrepresented," intersectionalities (hlx+), represent only 16% and 9% of the college educated engineering workforce, respectively. although, the efforts have resulted in an increased share of engineering bachelor’s degrees awarded to women (24%) and hlx+ (14%) over the years, women and hlx+ are still unacceptably underrepresented in the college educated engineering workforce. considerable research has explored engineering identity development as a potential solution to address many of the issues facing engineering education. however, critiques of the narrow focus of the literature (e.g., identification with the profession i",CAREER: Vivificando Valores Incluyentes Radicalmente en la Educacion de Ingenieria (ViVIR): Inspiring Radically Inclusive Values in Engineering Education,NSF,POLITICAL,"The term ""underrepresented"" refers to the disproportionately low number of women and hlx+ individuals in the engineering workforce, highlighting a social and political issue of equity and inclusion.
"
7,underrepresented," reasons for elevated risk and identify appropriate modalities for intervention. to move the epidemic to zero new infections, zero aids deaths, and zero stigma, scientists with expertise in trans population health must play a significant scientific role in the response to hiv, especially those from underrepresented populations in the us biomedical, clinical, behavioral, and social sciences research enterprise. there is a paucity of hiv behavioral scientists with expertise in trans population health to do this work, and to our knowledge, there are no known mentoring programs to train scholars in hiv behavioral",SHINE Strong: Building the pipeline of HIV behavioral scientists with expertise in trans population health,NIH,POLITICAL,"The term ""underrepresented populations"" is used in reference to diversity and inclusion within the scientific workforce, highlighting a social and political issue related to equity and representation.
"
8,underrepresented,"lding interdisciplinary research careers in women's health at uc davis project summary/abstract  for this administrative supplement to our k12 bircwh grant, uc davis is requesting support to allow our fourth scholar, dr. adrienne hoyt-austin whose background meets the nih criteria for being from an underrepresented minority group and disadvantaged background in interdisciplinary women’s health and sex differences research. this proposed scholar is within 6 years of a terminal degree and will engage in interdisciplinary women’s health and/or sex/gender disparities, team science-based research and create an ind",Building Interdisciplinary Research Careers in Women's Health at UC Davis,NIH,POLITICAL,"The term 'underrepresented minority group' is used in reference to NIH criteria and a scholar's background, indicating a social/political context related to diversity and inclusion within research.
"
9,underrepresented," a plan for their own career development that will expand their research to include substance use and implementation science, (2) a plan to expand their program of research to provide ample training opportunities for mentees, and (3) a plan to provide mentoring focused on supporting mentees who are underrepresented in medicine (urm) and/or are launching a program of research focused on addressing health disparities among sexual and gender minorities (sgm). their community-based, patient-oriented research is focused on the investigation of risk and protective factors in transgender communities and the relation",Mentoring clinical investigators in patient-oriented research on substance use and HIV,NIH,POLITICAL,"The term ""underrepresented in medicine (urm)"" refers to a specific demographic group facing systemic barriers in accessing and succeeding in medical professions, which is a social and political issue.
"
10,underrepresented,"ch laid the groundwork for evolved. in that process, cass leadership demonstrated a collective commitment to equity and inclusion and a desire to elevate this work to one of cass’s primary priorities. the evolved program will focus its work in 3 areas: (1) developing programming to serve members of underrepresented groups (broadly used to refer to individuals from communities that are historically underrepresented in stem (science, technology, engineering, and mathematics), (2) re-envisioning cass’s values, exploring biases and assumptions, and reexamining culture, to transform the cass climate into a welcomi","Collaborative Research: IMPLEMENTATION: EVOLVED - Embedding a Vision to Operationalize, Lift up, and Value Equity and Diversity in the Consortium of Aquatic Science Societies",NSF,POLITICAL,"The term ""underrepresented"" is explicitly linked to equity, diversity, and inclusion, and refers to individuals from communities historically underrepresented in STEM. This framing places the term within a social and political context concerned with fairness and representation.
"
