id,term,context,title,agency,classification,explanation
1,underserved,"g. the project will include learners from all races and ethnicities but also pay particular attention to black-latinx/é students. this project aligns with the broadening participation in engineering program goal to transform learning environments for the participation and inclusion of traditionally underserved populations in stem through research and collaborations.    this project will engage students in engineering thinking and practices (e.g., applying principles of engineering design) within three community-led courses. students will learn ways of doing engineering as they engage in real-world exampl",CAREER: BLACK-LATINX RESOURCES IN COMMUNITY-LED ENGINEERING: INVESTIGATING THE ROLE OF LANGUAGE AND CULTURE,NSF,POLITICAL,"The term ""underserved"" refers to populations that have historically faced systemic barriers and inequities in access to resources and opportunities, particularly in STEM fields. This aligns with the broader goal of broadening participation and addressing historical underrepresentation, which is inherently a political and social issue.
"
2,underserved,"lds mobile research labs designed to conduct rapid response surveys during protests and organizational rallies, and (2) establishes data analysis centers at two minority serving institutions, and (3) provides cutting-edge training, tools, and professional resources to students from marginalized and underserved groups.    this award reflects nsf's statutory mission and has been deemed worthy of support through evaluation using the foundation's intellectual merit and broader impacts review criteria.","Collaborative Research: The Role of Elites, Organizations, and Movements in Reshaping Politics and Policymaking",NSF,POLITICAL,"The term ""underserved"" refers to marginalized groups lacking access to resources and opportunities, a concept deeply rooted in social and political inequalities.
"
3,underserved,"ardship of water resources in the unites states and beyond. broad themes that wstb might explore during this nsf award period will include impacts of climate change (such as drought, flooding, wildfire, and aridification) on water availability and quality; environmental justice and water equity for underserved populations; next generation drinking water, wastewater, and stormwater systems; water reallocation and reuse; managed aquifer recharge; impact of emerging contaminants (e.g. pfas and micro/nano plastics) on water quality and availability; floodplain management; water systems engineering; aquatic e",Water Science and Technology Board and Its Activities,NSF,POLITICAL,"The phrase ""environmental justice and water equity for underserved populations"" directly links the term to social and political concepts of fairness and resource allocation based on population demographics.
"
4,underserved,"critical next steps that should be taken. research shows: (1) a need to develop more mutually supportive links in this work between researchers and practitioners; (2) a need to address equitable access, framing, and design in steam informal science learning; and additionally, (3) that steam engages underserved populations in stem. this can, potentially, help provide needed diversity in the stem workforce, along with creative and innovative thinking skills essential to success. texas southern university, in partnership with the innovation collaborative, will convene a two-year five-phase working conferenc","Conference: Equity, Innovation, and STEAM - Strengthening the R&D Connections",NSF,POLITICAL,"The term 'underserved populations' is used in the context of equity, diversity, and inclusion in STEM, which are social and political considerations.
"
5,underserved,"broaden participation of underrepresented minorities and women in stem, who lag in stem degree attainment and stem workforce participation. increasing racial/ethnic and gender diversity in stem is a recognized strategy to expand the stem workforce.      this project utilizes evidence that women and underserved students in stem are motivated by directly experiencing the ways that stem benefits their communities. the project will directly engage 400 students enrolled in stem courses, including approximately 125 stem majors, in activities that connect supportive communities to stem curricular and co-curricu",HSI Implementation & Evaluation Project: Alverno College STEM Community Impact Program (SCIP),NSF,POLITICAL,"The term ""underserved"" is used in the context of broadening participation for underrepresented minorities and women in STEM, highlighting social and demographic disparities.
"
6,underserved,"ods and practices.  the project will directly impact the quality of computer science education research conducted. in turn, this will lead to better analysis and identification of programs, curricula, training, and interventions that improve participation and experiences of populations historically underserved and underrepresented in k-12 computing education.    this award reflects nsf's statutory mission and has been deemed worthy of support through evaluation using the foundation's intellectual merit and broader impacts review criteria.","Building High-Quality K-12 Computer Science Education Research Across an Outcome Framework of Equitable Capacity, Access, Participation, and Experience",NSF,POLITICAL,"The term ""underserved"" is used to describe populations that have historically lacked equitable access and participation, which aligns with a socio-political context of equity and representation.
"
7,underserved,"ith the next generation of science standards (ngss), the project offers a transformative model of early childhood science and language education that supports kindergarten readiness at a national level and addresses the vital need for educational resources that build on and enhance the strengths of underserved communities.      the long-term goal of this project is to foster the science achievement of latinx preschoolers by addressing current challenges impacting their stem education.  these challenges include; limited early science education instruction for teachers, minimal incorporation of ngss scienc",Bilingualtek: An integrated science-language approach for Latinx preschoolers,NSF,POLITICAL,"The term 'underserved communities' refers to a specific social group (Latinx preschoolers) facing systemic disadvantages in accessing educational resources. This aligns with a political context focused on equity and addressing societal inequalities.
"
8,underserved,"advance the effectiveness of stem education and workforce development programs, activities, and outreach through evaluation and assessment; aim 2- attract and train the nation’s future stem workforce through multiple pathways to educational and career opportunities; aim 3- increase participation of underserved and underrepresented groups in stem education and workforce development programs, activities, and outreach; and aim 4- inspire community engagement in stem education programs and activities to provide meaningful wastewater-based epidemiology learning opportunities for students and educators. the ev",Collaborative Research: HSI Implementation and Evaluation Project: Developing a Wastewater-based Epidemiology Student Training and Education Program at CUNY,NSF,POLITICAL,"The term 'underserved' is used in the context of increasing participation of specific groups in STEM education and workforce development, implying a social or political goal of equity and inclusion.
"
9,underserved,"lty mentor at the university of cincinnati. results from this study will help expand the current knowledge base for creating and integrating a mentoring support system that intentionally targets engineering identity, persistence, and retention rates for students from populations underrecognized and underserved in stem. the research outcome can potentially reveal, validate, and address the academic disparities in stem education in the select population.    this award reflects nsf's statutory mission and has been deemed worthy of support through evaluation using the foundation's intellectual merit and broa",Collaborative Research: Research Initiation: Investigating the Impact of Mentorship Structures on Women's Persistence in Engineering,NSF,POLITICAL,"The term ""underserved"" refers to populations facing disparities in STEM education, which aligns with social and political concerns about equity and access.
"
10,underserved,"rse team of investigators and staff has a sustained history of working with community-based organizations (cbos) to conduct health equity research and develop and evaluate structural interventions in partnership with communities experiencing health and social inequities, who have been traditionally underserved, neglected, and/or mistreated by the academic and research enterprise. our collective work spans urban and rural settings, local, national and global contexts, and a variety of racial, ethnic, indigenous, immigrant, border, faith, disability, and sexual and gender minority communities. the c3 will ","Advancing Health Equity Through Innovative Community Capacity Building, Data Science & Delivering Community-Centered Structural Interventions & Outcomes: Drexel's ComPASS Coordinating Center (C3)",NIH,POLITICAL,"The term 'underserved' is used in the context of health equity, social inequities, and mistreatment by academic and research institutions, which are all related to social justice and political considerations. The passage explicitly mentions inequities experienced by specific communities, further solidifying the political nature of the term's usage.
"
