id,term,context,title,agency,classification,explanation
1,victim,"ipant, persons, population, public health, race, randomized  controlled trials, reporting, research, research personnel, research project grants, risk behaviors, sampling, services, source, subgroup, testing, time, translating, treatment efficacy, trust, united states national institutes of health, victimization, work, active control, alcohol risk, arm, binge drinking, bullying, comparison group, demographics, design, dosage, effectiveness/implementation trial, efficacy testing, efficacy trial, evidence base, experience, gender minority youth, health equity, help-seeking behavior, implementation int",A Randomized Controlled Trial of a Game-Based Intervention to Reduce Alcohol Use among Sexual and Gender Minority Youth,NIH,POLITICAL,"The term ""victimization"" in the context of sexual and gender minority youth is most likely related to experiences of discrimination, bullying, or violence due to their identity, which falls under a social and political context.
"
2,victim,"sychiatric diagnosis, psychiatric therapeutic procedure, psychologist, psychotherapy, public health, recommendation, records, reporting, research, research personnel, risk, role, sample size, self-injurious behavior, services, suicide attempt, time, time trend, training, translating, united states, victimization, violence, visit, vulnerable populations, weight, work, antiretroviral therapy, billing data, career, cisgender, clinical epidemiology, clinically actionable, ehealth, electronic medical record system, epidemiology study, experience, gender affirming care, health assessment, health care serv",Applying Computational Phenotypes To Assess Mental Health Disorders Among Transgender Patients in the United States,NIH,POLITICAL,"The term ""victimization"" alongside ""violence"" and ""vulnerable populations"" within the context of transgender patients suggests a focus on experiences of discrimination, prejudice, or violence, aligning with a social, political, or identity-focused usage.
"
3,victim,"peer victimization and risky alcohol use among sexual minority youth: understanding mechanisms and contexts abstract  lesbian, gay, bisexual, queer or questioning, and those youth with other sexual minority identities (lgbq+) report riskier alcohol use patterns than their heterosexual peers. this raises concer",Peer Victimization and Risky Alcohol Use among Sexual Minority Youth: Understanding Mechanisms and Contexts,NIH,POLITICAL,"The term 'victimization' in the context of ""peer victimization and risky alcohol use among sexual minority youth"" refers to a social dynamic rooted in power imbalances and discrimination against a marginalized group. This aligns with a political context concerning social justice and the impact of societal structures on vulnerable populations.
"
4,victim,"m populations, sgm populations are disproportionately affected by poor health, including disparities in alcohol use, substance use, and mental illness. substantial prior work has supported the minority stress framework to contextualize sgm health disparities; stressors related to discrimination and victimization tied to sgm status are strongly associated with disparities. the ability to accurately identify such disparities and potential causal pathways is vital to ensure that public health and health care research, policy, and practice are appropriately equipped to address the health needs of margin","Project Recognize: Improving Measurement of Alcohol Use and Other Disparities by Sex, Sexual Orientation, and Gender Identity through Community Engagement",NIH,POLITICAL,"The term ""victimization"" is used in relation to discrimination against SGM populations, directly tying it to social and political issues related to identity and power dynamics. The context explicitly mentions ""stressors related to discrimination and victimization tied to sgm status,"" placing it firmly within a framework of social and political inequality.
"
5,victim," health symptom self-management among black transgender women: a mixed-methods study proposal summary protective factors across the life course can have profound effects on individual health. it has been well established that adverse childhood experiences and lifetime exposure to discrimination and victimization have negative mental and physical health effects. for women who are black and transgender, adversity can be compounded by the intersectional impact of racism and gender-based discrimination. a constellation of interpersonal protective factors throughout the lifespan, including positive child",Interpersonal Protective Factors and Mental Health Symptom Self-Management Among Black Transgender Women: A Mixed-Methods Study,NIH,POLITICAL,"The term 'victimization' is used in the context of discrimination and its impact on a specific group (Black transgender women), highlighting power dynamics and social inequalities. This aligns with a political understanding of victimization related to identity and social injustice.
"
6,victim,"analysis, national surveillance, neglect, novel, personalized approach, pre-exposure prophylaxis, preventive intervention, psychosocial, racial diversity, recruit, scale up, sex, social, social disparities, structural determinants, substance use, syndemic, transgender women, trend, uptake, violence victimization, virtual",Enhanced COhort methods for HIV Research and Epidemiology (ENCORE) among transgender women in the United States,NIH,POLITICAL,"The term ""violence victimization"" in the context of research on transgender women and social disparities indicates a usage related to social issues, power dynamics, and the experience of violence within a specific population, thus a political context.
"
7,victim,"are, services, shame, social isolation, source, stigmatization, strategic planning, substance use disorder, system, testing, theoretical model, therapeutic intervention, thinking, training, united states, united states dept. of health and human services, united states national institutes of health, victimization, violence, woman, work, analytical method, behavior change, behavioral health, behavioral response, career, community advisory board, community based participatory research, community engaged research, community organizations, community partnership, comparison intervention, consistent condom",A Gender-Affirming Stigma Intervention to Improve Substance Misuse and HIV Risk among Transgender Women,NIH,POLITICAL,"The term 'victimization' appears alongside 'violence', 'stigma', and other terms related to social and power dynamics, suggesting its use refers to experiences of harm and oppression, a political context.
"
8,victim,"are, services, shame, social isolation, source, stigmatization, strategic planning, substance use disorder, system, testing, theoretical model, therapeutic intervention, thinking, training, united states, united states dept. of health and human services, united states national institutes of health, victimization, violence, woman, work, analytical method, behavior change, behavioral health, behavioral response, career, community advisory board, community based participatory research, community engaged research, community organizations, community partnership, comparison intervention, consistent condom",A Gender-Affirming Stigma Intervention to Improve Substance Misuse and HIV Risk among Transgender Women,NIH,POLITICAL,"The term ""victimization"" appears alongside terms such as ""violence,"" ""stigma,"" ""social isolation,"" and within the context of a grant focused on transgender women's health risks, indicating a use related to social and political factors affecting a specific population.
"
9,victim,"isorders, prevention, prevention program, prevention strategy, process, prospective  cohort study, race, reduce health disparities, research, resources, risk, risk factors, role, saliva, sampling, shapes, sleep, social identification, social support, stigmatization, stress, subgroup, surveys, swab, victimization, violence, waist-hip ratio, acute stress, alcohol abuse therapy, alcohol use disorder, cisgender, community organizations, community-level factor, comorbidity, contextual factors, design, ethnic identity, evidence base, experience, follow-up, gender affirmation, gender affirming therapy, gen",An intersectional approach linking Minority Stressors Experienced by Transgender and Gender Diverse Adults to Alcohol and Drug Use and comorbid Mental and Physical Health Outcomes,NIH,POLITICAL,"The term ""victimization"" in the context of a grant focused on transgender and gender diverse adults, minority stressors, violence, and social support strongly suggests it refers to experiences of discrimination, prejudice, and potentially violence targeting this population. This aligns with a social and political understanding of victimization rooted in power imbalances and systemic inequalities.
"
10,victim,", experience, improved, intimate partner violence, motivational enhancement therapy, nonbinary, online intervention, prospective, prototype, reduced alcohol use, satisfaction, social stigma, sound, technology intervention, technology validation, therapy development, transgender, usability, violence victimization, young adult, young adult alcohol use","Stigma,Romantic Relationships, and Alcohol Use Among Transgender and Nonbinary Young Adults",NIH,SCIENTIFIC,"The term ""violence victimization"" is used in the context of a research grant investigating intimate partner violence and alcohol use among transgender and nonbinary young adults, indicating a scientific study of the phenomenon.
"
