id,term,context,title,agency,classification,explanation
1,vulnerable populations," politics, populations at risk, pregnancy, public health, publishing, race, reporting, research, resources, rights, riots, risk, risk factors, same-sex, sampling, sex orientation, sexual health, sociology, spontaneous abortion, stress, subgroup, testing, united states national institutes of health, vulnerable populations, woman, work, aged, barrier to care, child bearing, cohort, experience, extreme prematurity, gender minority group, health disparity, health disparity populations, improved, infertility treatment, innovation, interest, intergenerational, longitudinal dataset, men, minority stress, neglect, offsprin",Sexual orientation-related disparities in obstetrical and perinatal health,NIH,POLITICAL,"The presence of terms like ""politics,"" ""rights,"" ""race,"" ""sex orientation,"" ""gender minority group,"" ""health disparity populations,"" and ""minority stress,"" in addition to ""vulnerable populations,"" suggests a focus on social, political, and identity-related factors contributing to health disparities.
"
2,vulnerable populations,"ion with individual ands structural factors on covid-19 testing, vaccination and broader health behaviors – are not routinely examined. to systematically address this gap, we will leverage two existing radx-up studies across eight us states. the “community network driven covid-19 testing among most vulnerable populations in the central united states” (c3) study is unique in that it has collected longitudinal social network data on testing, vaccination and health behaviors among pcls in five us states. additionally, the “covid-19 testing and prevention in correctional settings” (ctc) study has assessed covid-19 test",Integrated Network Analysis of RADx-UP Data to Increase COVID-19 Testing and Vaccination Among Persons Involved with Criminal Legal Systems (PCLS),NIH,SCIENTIFIC,"The term 'vulnerable populations' is used within the context of a scientific grant proposal focusing on COVID-19 testing and vaccination among persons involved with criminal legal systems (PCLS). The grant aims to leverage existing studies to address gaps in understanding health behaviors within this specific population, indicating a technical and research-oriented use of the term.
"
3,vulnerable populations,"ing procedure, self efficacy, services, sexual and gender minorities, site, standardization, structure, suicide, suicide attempt, suicide prevention, system, technology, testing, time, training, trust, united states, united states substance abuse and mental health services administration, virginia, vulnerable populations, work, youth, behavioral health, cisgender, community organizations, comparison group, data management, effectiveness/implementation hybrid, evidence base, gender minority community, gender minority youth, high risk, hybrid type 2 design, implementation facilitation, implementation strategy, improv",The BH-Works Suicide Prevention Program for Sexual and Gender Minority Youth,NIH,POLITICAL,"The term ""vulnerable populations"" in the context of a grant targeting sexual and gender minority youth leans towards a social, political, and identity context. It highlights the systemic factors and societal inequalities that contribute to the increased risk of suicide within this specific group.
"
4,vulnerable populations,"coordination, linkages to community-based services, and development of interventions to address social determinants of health. despite widespread use of acos in state medicaid programs (12 states in 2021) and the potential for innovative reforms introduced by acos to improve bh care for children in vulnerable populations, little is known about acos’ impact on pediatric bh care. our parent grant (nimh r01mh134176) aims to identify the impacts of acos on bh care quality, outcomes, and experience, including identifying heterogeneity of effects among acos with different organizational features. this administrative supp",Effect of Medicaid Accountable Care Organizations on Behavioral Health Care Quality and Outcomes for Children,NIH,SCIENTIFIC,"The term is used within the context of a scientific grant proposal focused on healthcare quality and outcomes for children, suggesting a technical and research-oriented usage.
"
5,vulnerable populations,"stigative team has decades of experience with recruitment, prevention and care of sgm youth and large-scale longitudinal cohort studies. this study will capitalize upon productive existing partnerships and digital health expertise to articulate the drivers of the ongoing hiv epidemic among the most vulnerable populations in the us in order to identify the most effective, expeditious and scalable strategies to address this ongoing public health crisis. aids prevention, address, adherence, adolescent and young adult, age, area, articulation, award, behavior, biological, bisexual, black race, caring, clinic, clinical ",Keeping it LITE 2: Exploring HIV Risk in Vulnerable Youth with Limited Interaction and Digital Health Intervention (LITE-2),NIH,SCIENTIFIC,"The term is used within the context of an HIV prevention study focused on ""sgm youth"" (sexual and gender minority youth) and addressing the HIV epidemic. This falls under a public health/scientific context.
"
6,vulnerable populations,"d multilevel approaches are required to effectively reduce these disparities. the ucsf research coordinating center will leverage and pivot our significant expertise, experience, and capacity in community-engaged research, disparities research, program implementation experience with underserved and vulnerable populations, data science, and major chronic diseases to serve and support a nationwide research coordinating and technical assistance center. the specific aims of the project are to: 1) develop the nimhd rd-mcd research consortium and its oversight mechanisms: through the  organizational and management unit’s",Research Coordinating Center to Reduce Disparities in Multiple Chronic Diseases (RCC RD-MCD),NIH,SCIENTIFIC,"The term 'vulnerable populations' is used in the context of disparities research, program implementation, and a research coordinating center, indicating a scientific/research context related to health outcomes and underserved communities.
"
7,vulnerable populations,"c therapeutic procedure, psychologist, psychotherapy, public health, recommendation, records, reporting, research, research personnel, risk, role, sample size, self-injurious behavior, services, suicide attempt, time, time trend, training, translating, united states, victimization, violence, visit, vulnerable populations, weight, work, antiretroviral therapy, billing data, career, cisgender, clinical epidemiology, clinically actionable, ehealth, electronic medical record system, epidemiology study, experience, gender affirming care, health assessment, health care service utilization, health disparity, health equity",Applying Computational Phenotypes To Assess Mental Health Disorders Among Transgender Patients in the United States,NIH,POLITICAL,"The term 'vulnerable populations' is used in the context of health disparities, health equity, and a study focused on transgender patients, all of which are often discussed in social, political, and identity-related contexts.
"
8,vulnerable populations,"ocess, psychosocial factor, public health, qualitative research, random allocation, reporting, research, risk factors, role, sampling, sex orientation, sexual harassment, social perception, students, substance abuse problem, surveys, time, united states national institutes of health, victimization, vulnerable populations, youth, adverse outcome, alcohol and other drug, alcohol use initiation, assault, bullying, coping, cyberbullying, design, diaries, emotion dysregulation, emotion regulation, emotional distress, experience, harassment, health disparity, high risk, improved, insight, intervention program, life span,",Peer Victimization and Risky Alcohol Use among Sexual Minority Youth: Understanding Mechanisms and Contexts,NIH,SCIENTIFIC,"The text is from a scientific grant proposal focusing on research related to health disparities and risk factors within a specific group (sexual minority youth). ""Vulnerable populations"" is used as a general scientific term to describe groups at higher risk for negative health outcomes.
"
9,vulnerable populations," factors that influence alcohol use and its role in increased hiv vulnerability among diverse smy. these approaches will allow us to continue identifying critical pathways for intervention to ensure equitable health outcomes and minimize the risks associated with alcohol use and abuse among notably vulnerable populations of youth. address, adolescence, adolescent risk behavior, adult, age, alaska native, alcohol abuse, alcohol consumption, alcohols, american, american indians, anxiety, area, attenuated, behavior, bisexual, categories, cities, climate, complex, county, critical pathways, data, data pooling, data set",Intersectional Approaches to Population-Level Health Research: Role of HIV Risk and Mental Health in Alcohol Use Disparities among Diverse Sexual Minority Youth,NIH,SCIENTIFIC,"The term 'vulnerable populations' is used within the context of a health research grant focused on identifying risk factors (alcohol use, HIV) and intervention pathways to improve health outcomes for specific groups of youth. This aligns with a scientific approach to understanding and addressing health disparities.
"
10,vulnerable populations,"revention interventions and scale-up among tw to simulate the impact of evaluated interventions on hiv incidence through 2030, corresponding to the national hiv strategy. there is a need to refine and evaluate hybrid digital cohort models with attention to mitigating selection bias and attrition of vulnerable populations – an area of research particularly important for an epidemic underscored by social and health disparities. our explicit efforts to develop a hybrid cohort model center on equity to support research participation across diverse populations and provide representative and generalizable data. study fin",Enhanced COhort methods for HIV Research and Epidemiology (ENCORE) among transgender women in the United States,NIH,SCIENTIFIC,"The term 'vulnerable populations' is used in the context of mitigating selection bias and attrition within a scientific study, indicating a technical and scientific application related to research methodology and epidemiological study design.
"
