id,term,context,title,agency,classification,explanation
1,women and underrepresented,"step up for stem and health careers: an intervention to reduce stem-related biases and improve high school stem learning environments project abstract the national institutes of health has a stated commitment to diversifying the national scientific workforce. while diversity has many dimensions, women and underrepresented minorities (i.e., black, latinx, indigenous, and pacific islanders) are particularly underrepresented in science, technology, engineering, and mathematics (stem) and health careers. rather than ability, disparities in career entry for both groups are largely due to differences in motivation and “se",Step UP for STEM and Health Careers: An Intervention to Reduce STEM-related biases and improve high school STEM learning environments,NIH,POLITICAL,"The term is used in the context of addressing workforce diversity and disparities in career entry for specific demographic groups, which are inherently social and political issues. The reference to NIH's commitment to diversification further supports this classification.
"
2,women and underrepresented,"are and reduce disparities, 3) collegial, highly interactive opportunities for students and postdoctoral fellows to present their research and enhance their communication skills through oral and poster presentations, and 4) networking and mentorship to promote professional and career development of women and underrepresented professionals. nssby is unique, as no other national conference provides comprehensive coverage of sexual behavior of youth and at the same time retains the openness and promotion of close interactions among participants characteristic of a medium-sized conference. the confirmed speakers represent ","Be Curious, Not Judgmental: The 4th National Symposium on Sexual Behavior of Youth",NIH,POLITICAL,"The term is used in the context of promoting professional and career development, which aligns with efforts to address disparities and increase representation of specific groups in professional fields.
"
3,women and underrepresented,the potential to benefit society by providing a tool that researchers can use to investigate epistemic exclusion in stem faculty.  advancing this line of research may result in potential interventions and policy changes at institutions of higher education that improve the retention and promotion of women and underrepresented minority stem faculty at our nation’s colleges and universities.  there is a plan for dissemination to scholarly audiences through peer-reviewed presentation and publications in professional journals that will help inform the research and academic communities.      this project is supported by the ,Collaborative Research: ECR EIE DCL: The Development and Validation of a Scale to Assess Epistemic Exclusion in Minoritized and Non-Minoritized STEM Faculty,NSF,POLITICAL,"The term is used in the context of addressing systemic inequalities and improving retention and promotion of specific groups within STEM, which falls under social and political considerations.
"
4,women and underrepresented,"achian state university (appalachian) proposes to build on an existing inclusive excellence initiative at appalachian that has produced significant gains in the recruitment and success of underrepresented minority students, but which has not yet successfully increased the recruitment and success of women and underrepresented racial and ethnic minority stem faculty. the advance adaptation project called advance appalachian will support efforts to: 1) incorporate ongoing institutional climate change into stem departments by training of chairs and faculty using a framework of inclusive excellence; 2) support stem faculty ",ADVANCE Adaptation: ADVANCE Appalachian,NSF,POLITICAL,"The term ""women and underrepresented racial and ethnic minority stem faculty"" refers to social categories and goals related to diversity and inclusion, indicating a political context within the grant's objectives.
"
5,women and underrepresented," engineering, and math (stem) academic workforce.    the virginia commonwealth university (vcu) advance-it project will implement institutional transformation through two objectives: decreasing the barriers that prevent faculty diversity; and improving the recruitment, retention, and advancement of women and underrepresented minority (urm) stem faculty.  much of the work of decreasing barriers will be accomplished through the recruitment, training, and resulting efforts of ""immunity to change"" (itc) facilitators.  the itc facilitators will lead itc workshops, work directly with departments and other stakeholder groups,",Overcoming Immunity to Change (ITC): ADVANCE IT VCU,NSF,POLITICAL,"The phrase ""women and underrepresented minority (urm) stem faculty"" refers to groups that are historically disadvantaged in STEM fields, which is a matter of social equity and thus has a political dimension. The grant aims to address diversity and inclusion, further indicating a political context.
"
6,women and underrepresented," “advancing equity through systemic strategies to improve leadership, departmental collegiality, and data transparency at texas tech university,” will address gender, race, and ethnicity systemic issues at the institution. systemic inequities can hinder the success of faculty, and most specifically women and underrepresented minoritized faculty (urm). in addition, these inequities contribute to a toxic university climate that leads to faculty attrition and dissatisfaction. ttu will adapt evidence-based strategies from prior and existing advance recipients to address these challenges. in addition, ttu will leverage exis","ADVANCE Adaptation: Advancing Equity through Systemic Strategies to Improve Leadership, Departmental Collegiality, and Data Transparency at Texas Tech University",NSF,POLITICAL,"The term ""women and underrepresented minoritized faculty"" is used within the context of addressing systemic inequities and promoting equity within a university setting. This aligns with social justice and diversity, equity, and inclusion efforts, indicating a political usage.
"
7,women and underrepresented,the potential to benefit society by providing a tool that researchers can use to investigate epistemic exclusion in stem faculty.  advancing this line of research may result in potential interventions and policy changes at institutions of higher education that improve the retention and promotion of women and underrepresented minority stem faculty at our nation’s colleges and universities.  there is a plan for dissemination to scholarly audiences through peer-reviewed presentation and publications in professional journals that will help inform the research and academic communities.      this project is supported by the ,Collaborative Research: ECR EIE DCL: The Development and Validation of a Scale to Assess Epistemic Exclusion in Minoritized and Non-Minoritized STEM Faculty,NSF,POLITICAL,"The phrase ""women and underrepresented minority stem faculty"" refers to specific demographic groups facing systemic barriers within STEM fields, aligning with social and political concerns about equity and representation.
"
8,women and underrepresented,"fforts to support women and under-represented minority members.  the project is unique in the way it builds upon prior research from advance grants. further, it gives greater insight into how stem associations can engage their leadership and members to increase the representation and advancement of women and underrepresented minorities in the rank of full professor.     the nsf advance program is designed to foster gender equity through a focus on the identification and elimination of organizational barriers that impede the full participation and advancement of diverse faculty in academic institutions. organizational b",ADVANCE Partnership: ImPACT IT: Increasing the Participation and Advancement of Women in Information Technology,NSF,POLITICAL,"The term ""women and underrepresented minorities"" is used in the context of equity, diversity, and inclusion initiatives within academic institutions. This aligns with social and political goals of increasing representation and addressing historical disadvantages, rather than a purely scientific or technical context. The reference to NSF ADVANCE further emphasizes the policy-driven nature of the usage.
"
9,women and underrepresented,"ing the efficacy of an equity-oriented ethics training. the proposed training is likely to spur projects that reduce the impacts of climate change on under-resourced communities. the training may also contribute to cultural changes within scientific communities, which may help with the retention of women and underrepresented populations in climate science.    this award reflects nsf's statutory mission and has been deemed worthy of support through evaluation using the foundation's intellectual merit and broader impacts review criteria.","Asking Different Questions in Climate Change Science, Impact, Mitigation and Adaptation",NSF,POLITICAL,"The context focuses on retention of women and underrepresented populations within scientific communities, linking it to broader social and political goals of equity and inclusion, rather than specific scientific methodologies or findings.
"
10,women and underrepresented,"o push this interdisciplinary research effort forward. the conference will feature technical presentations by invited speakers, a poster contest, and two panel sessions addressing challenges and future directions. this award will broaden the participation of a diverse set of participants, including women and underrepresented minorities, early career researchers and students, mid-career and senior faculty, as well as representatives from federal agencies and private companies. dissemination will be achieved through workshop proceedings. a detailed summary about challenges and opportunities will be made available to the ","Conference: Uncertainty Quantification for Machine Learning Integrated Physics Modeling (UQ-MLIP 2024); Arlington, Virginia; 12-14 August 2024",NSF,POLITICAL,"The term is used to describe a goal of broadening participation and diversity, which falls under social and political aims related to inclusion.
"
