id,term,context,title,agency,classification,explanation
1,women,"advance adaptation: american university creating gender and racial equity among stem faculty the american university (au) advance adaptation project will improve the professional and academic environment for all faculty with a focus on the retention of women and underrepresented racial and ethnic minority (urm) faculty in stem fields. this focus is informed by prior work done with an advance catalyst grant, which showed that changes to faculty hiring practices were achieving increased diversity in new faculty, but departures of diverse faculty, particu",ADVANCE Adaptation: American University Creating Gender and Racial Equity Among STEM Faculty,NSF,POLITICAL,"The term 'women' is used in the context of gender equity and representation within STEM faculty, which is a social and political issue.
"
2,women,"e utilization by the intersection of specific gender identity and race/ethnicity among tgnb young adults. we will use quota sampling to intentionally recruit 105 tgnb young adults in florida aged 18 to 26 who are diverse in terms of intersectional tgnb identity (35% transgender men, 35% transgender women, 35% nonbinary) and race/ethnicity (30% non-hispanic black, 30% latinx, 30% non-hispanic white, 15% asian). the sample will be recruited mostly through social media platforms, but also florida community partner organizations, house and ballroom communities, florida university organizations, and sno",Facilitators of and barriers to healthcare utilization among racially and ethnically diverse transgender and gender nonbinary young adults,NIH,SCIENTIFIC,"The term 'women' is used in the context of defining specific gender identities (transgender women) within a research study focused on healthcare utilization among transgender and gender nonbinary young adults. It is used as a demographic descriptor for participant recruitment and analysis.
"
3,women,"rkforce remains a significant problem with far-reaching implications for the us economy. the long-term vitality of the us workforce relies on the full range of engineering career pathways being available to all americans. a diverse stem workforce is more creative and innovative. while the number of women completing stem doctorates has risen, the proportion of women earning engineering doctorates remains low. and, in 2019, while 24.1% of engineering doctorates were earned by women, only 1.4% were earned by hispanic, black, and native american women (no native hawaiian/ pacific islander women). docto",Collaborative Research: The Organizational Climate Challenge: Promoting the Retention of Students from Underrepresented Groups in Doctoral Engineering Programs,NSF,POLITICAL,"The context discusses the underrepresentation of women in STEM fields and its implications for the US economy and workforce diversity, framing it as a matter of equity and access.
"
4,women,"collaborative research: investigating gender differences in digital learning games with educational data mining despite evidence that gender differences in math achievement have narrowed or disappeared in recent decades, stereotypes about men being better than women at math emerge early in childhood and persist through adulthood. these perceptions appear to influence female students’ interest and performance in math, as well as their pursuit of stem careers. given the potential motivational benefits of digital learning games, games might provide a pathway for ",Collaborative Research: Investigating Gender Differences in Digital Learning Games with Educational Data Mining,NSF,SCIENTIFIC,"The term 'women' is used in the context of investigating gender differences in math achievement, interest, performance, and career pursuits, which aligns with scientific inquiry in education and psychology.
"
5,women,"vant outcomes including the development of a diverse, globally competitive emerging technology workforce in artificial intelligence. this program model will be fully developed and will prepare 33 new individuals historically underserved and underrepresented in emerging technology careers, including women, first-generation college students, veterans, persons with disabilities, and racial/ethnic minorities. additionally, through strong partnerships with industry, the project team will have a mechanism to continue to provide access, opportunity, and empowerment to diverse groups to continue a sustaine",Pivots: Enabling Access for Historically Underserved and Underrepresented Groups to Experiential Learning and Credentials in Artificial Intelligence,NSF,POLITICAL,"The term 'women' is used as part of a list of historically underserved and underrepresented groups, indicating a social and political context related to equity and diversity.
"
6,women,"d biomedical hiv prevention and treatment tools such as pre-exposure prophylaxis (prep) and treatment among immigrant lmsm. work2prevent (w2p) is one evidence-based structural intervention which has shown to impact hiv prevention outcomes among english- speaking black and latino msm and transgender women, respectively.5–8 however, w2p has yet to be adapted for immigrant lmsm populations to address their unique needs, nor for people living with hiv. research strategy: this fellowship would be the first to adapt an hiv-status neutral structural employment as prevention intervention (w2p) to address t",Employment as prevention: Adapting a structural intervention to achieve HIV equity among immigrant Latino MSM.,NIH,POLITICAL,"The term ""transgender women"" refers to a specific social and identity group. While the research is scientific, the term itself is used to identify a population with particular socio-political considerations and healthcare disparities.
"
7,women,"ervice, privacy, privatization, proliferating, provider, public health, reproductive health, reproductive health services, risk, services, sexuality, spouses, state government, statutes and laws, stigmatization, structure, subgroup, suggestion, supreme court decisions, surveys, time, united states, women', s health, world health organization, ableism, abortion, barrier to care, cis-female, design, disability, falls, gender nonconforming, health care availability, health care service, health care service organization, health equity, health inequalities, health organization, improved, innovation, ins",Confidentiality in use of health insurance coverage for reproductive health services,NIH,POLITICAL,"The context includes terms like ""reproductive health services,"" ""abortion,"" ""health equity,"" and ""gender nonconforming,"" which are strongly associated with social, political, and identity issues related to women.
"
8,women,"brite synergy: engineering more resilient housing through inclusion  of women's knowledge, priorities and perceptions engineers have studied disaster resilience of housing as structures, but with less attention to housing as homes that embody family, hopes and dreams, and financial security. this boosting research ideas for transformative and equitable advances in engineerin","BRITE Synergy: Engineering More Resilient Housing through Inclusion  of Women's Knowledge, Priorities and Perceptions",NSF,POLITICAL,"The term 'women' is used in the context of including their knowledge, priorities, and perceptions in housing design, which relates to social equity and representation.
"
9,women," based on the premise that the students simply need targeted skill training and tips on behavioral norms to be successful in these workplace cultures. this “student deficit” model puts the burden on the newcomer to navigate a work environment that is often inherently biased against people of color, women, and individuals from groups that are underrepresented in the sciences. however, as leading-edge organizations are recognizing the value of diversity, they are also realizing that they have a role to play in establishing an inclusive workplace culture. this project aims to foster the professional d",A Collaborative Approach to Work-Based Learning in Biotechnology: Building Inclusive Lab Environments,NSF,POLITICAL,"The term 'women' is used in the context of workplace bias and underrepresentation, which are social and political issues.
"
10,women,"otential to serve as academic role models in research and education, to lead advances in the mission of their department or organization, and to build a foundation for a lifetime of leadership in integrating education and research. this career project explores the postsecondary experiences of black women currently enrolled in undergraduate computing degree programs to draw attention to racial and gender inequalities that black women in computing endure. despite efforts to intentionally increase the recruitment and retention of women in the field of computing, black women remain acutely underreprese",CAREER: Black Feminist Epistemologies: Building a Sisterhood in Computing,NSF,POLITICAL,"The term 'women' is used in the context of racial and gender inequalities and the underrepresentation of Black women in computing, highlighting social and political aspects of identity and access within the field.
"
11,women," or these decisions can increase and build upon existing inequities leading to adverse consequences for minoritized populations. furthermore, the engineering profession is a field with a history of exclusion where people of color, people with disabilities, members of the lgbtq+ community, and white women remain underrepresented after years of effort to increase diversity. to address these concerns about engineering practice, we need to understand and then transform how new engineers form their attitudes and behaviors around social equity and inclusion in the workplace. engineering students learn ab",Collaborative Research: Research: Early-Career Engineers Experiences with Equity and Ethics as They Transition to Practice and Implications for Formation of Engineers,NSF,POLITICAL,"The term ""women"" is used within the context of discussing diversity, equity, and inclusion in the engineering profession, specifically highlighting the underrepresentation of ""white women"" alongside other minoritized groups. This aligns with a social and political discourse about representation and fairness.
"
12,women,"integrated alcohol and sexual assault prevention for bisexual women project summary/abstract  alcohol misuse, sexual assault, and psychological distress (anxiety, depression) are significant interconnected problems among bisexual women. heavy drinking is a primary risk factor for sexual victimization and increases risk for revictimization. bisexual women report hig",Integrated Alcohol and Sexual Assault Prevention for Bisexual Women,NIH,SCIENTIFIC,"The term 'women' is used within the context of a scientific research grant focused on health outcomes (alcohol misuse, sexual assault, psychological distress) among a specific population (bisexual women). This clearly falls within a technical and scientific context.
"
13,women,"ird cross-section of data of the work and family life study, approximately 40 and 20 years after the first and second cross-sections. population-representative data will be collected from 2000 individuals, ages 18 to 55, in different-gender marriages. to examine aim 3, we will collect data from 300 women and 300 men in same-gender marriages. data will be collected via phone and online. the primary significance of this project is 1) evidence that marital functioning has declined over the past 40 years, and the identification of declining marital functioning as a mechanism underlying declines in adul",The All-or-Nothing Marriage? Marital Functioning and Health Among Individuals in Same and Different-Gender Marriages,NIH,SCIENTIFIC,"The term 'women' is used as a demographic category within a scientific study investigating marital dynamics and health outcomes in different-gender and same-gender marriages.
"
14,women,"usive change. the advance program also provided support for this agep alliance model work, and the advance program embraces three goals that are relevant to this alliance model's development, implementation and testing: to develop systemic approaches to increase the participation and advancement of women in academic stem careers; to develop innovative and sustainable ways to promote gender equity that involve both men and women in the stem academic workforce; and to contribute to the research knowledge base on gender equity and the intersection of gender and other social identities in stem academic",The AGEP Alliance State System Model to Transform the Hiring Practices and Career Success of Tenure Track Historically Underrepresented Minority Faculty in Biomedical Sciences,NSF,POLITICAL,"The context discusses gender equity and increasing the participation and advancement of women in STEM, which are social and political goals.
"
15,women,"a unified protocol to address sexual minority women's minority stress, mental health and hazardous drinking project summary background. sexual minority women (smw) represent one of the highest-risk groups for hazardous drinking (hd) and comorbid mental health problems (e.g., depression, anxiety) because of their exposure to minority stressors (i.e.,","A unified protocol to address sexual minority women's minority stress, mental health and hazardous drinking",NIH,SCIENTIFIC,"The term ""women"" is used within the scientific context of identifying a specific population group (sexual minority women) for a research study focused on mental health and hazardous drinking.
"
16,women,bpe-track 2: collaborative: supporting engineering faculty gender equity by understanding the experiences and career trajectories of women in non-tenure track faculty roles the broader impact of this broadening participation for engineering track 2 (bpe- track-2) project will be to enhance knowledge about how to increase the number of women in higher-power (tenure-track) engineering faculty and leadership positions. though many stakeh,BPE-Track 2: Collaborative: Supporting Engineering Faculty Gender Equity by Understanding the Experiences and Career Trajectories of Women in Non-tenure Track Faculty Roles,NSF,POLITICAL,"The term 'women' is used in the context of gender equity, broadening participation, and leadership positions, which are all social and political issues.
"
17,women,"sbp: collaborative research: culturally relevant mentorship for enhancing stem identity and career interests in stem education, mentorship has become an important means of increasing the participation of underrepresented minoritized (urm) students, including women, native/black/latinx americans, persons with disabilities, bilingual students, and low-socioeconomic status (ses) youth. this b2 3.0 project will identify new constructs of culturally relevant mentorship (crm), develop new survey instruments for assessing crm, and examine the associations between c",SBP: Collaborative Research: Culturally Relevant Mentorship for Enhancing STEM Identity and Career Interests,NSF,POLITICAL,"The term 'women' is used within the context of underrepresented minority (URM) students and increasing participation in STEM, which aligns with social, political, and identity considerations related to equity and inclusion.
"
18,women,"r minority group, girls, health disparity, healthy sexuality, high risk sexual behavior, hormone therapy, improved, intersectionality, male, member, population based, pre-exposure prophylaxis, programs, recruit, response, scale up, sex, sexual minority boys, skills, social, transgender, transgender women, transphobia, uptake",Harnessing the power of technology to develop a population-based HIV prevention program for trans girls,NIH,POLITICAL,"The term ""transgender women"" appears in a context related to minority groups, health disparities, intersectionality, and transphobia, indicating a focus on social identity and related political considerations.
"
19,women,"collaborative research: sei: creating a lasting legacy - scaling a peer-learning community model to provide ap cs preparation and career awareness for black young women careers in computer science (cs) related areas represent many of the best-paid jobs in the nation. however, black women comprise less than 1% of the workforce at the most popular u.s. software companies. low participation of black students in cs areas is often attributed to a lack of “preparatory p",Collaborative Research: SEI: Creating a Lasting LEGACY - Scaling a Peer-learning Community Model to Provide AP CS Preparation and Career Awareness for Black Young Women,NSF,POLITICAL,"The term 'women' (specifically 'Black young women' and 'Black women') is used to highlight issues of representation and underrepresentation in computer science careers, which are inherently tied to social, political, and identity-based factors influencing access and opportunity.
"
20,women,"conference: equity and inclusion in research failure disclosure the university of virginia (uva) advance conference project will support a convening on the issue of failure disclosure in the sciences, with particular attention given to inequalities of failure as experienced by women faculty in stem. potential topics for the convening include, equitable approaches to failure and failure disclosure at the institutional level; unexpected outcomes: reporting/publishing failed research; and ethical dimensions of failure disclosure for women in stem. the in-person conference is plan",Conference: Equity and Inclusion in Research Failure Disclosure,NSF,POLITICAL,"The term 'women' is used in the context of equity and inclusion, specifically highlighting inequalities experienced by women faculty in STEM, indicating a social and political dimension related to gender.
"
21,women,"ents in machine learning. it will advance the understanding of misinformation propagation patterns, produce effective algorithms for misinformation detection, and help build a secure and trustworthy cyberspace. a range of outreach activities will be pursued to broaden participation in computing for women and other underrepresented groups. tutorials and courses will be provided to broadcast the research outcomes.    the project will advance both machine-learning methodologies and social science insights, leading to effective solutions to mitigate misinformation and manipulation in a timely, scalable",III:Small: A novel machine learning framework for combating misinformation in real life,NSF,POLITICAL,"The term ""women"" is used in the context of broadening participation in computing for underrepresented groups, which is a social and political issue.
"
22,women,"xual prostate cancer patients into an r01 intervention trial of tailored rehabilitation for this population. we will replicate and expand upon these clinic-based and online methods to study how to recruit three small sgm populations – (1) sexual minority cisgender men, (2) sexual minority cisgender women, and (3) transgender and gender non-binary cancer patients - into cancer research studies. we have three specific aims. in aim 1, we will document, in depth, sgm’s attitudes towards participating in nih cancer research, identifying the facilitators and barriers that each group reports influences th",Testing Effective Methods to Recruit Sexual and Gender Minority Cancer Patients for Cancer Studies,NIH,SCIENTIFIC,"The term 'women' is used within the context of defining specific subgroups (sexual minority cisgender women) for a scientific research study on cancer research recruitment.
"
23,women,"advance partnership: ensuring fair access to career-enhancing opportunities on medical school faculties women are underrepresented at every level of academic medicine, with even greater underrepresentation of women of color. this lack of diversity significantly compromises both the quality of medical research and medicine’s ability to serve the diverse us population. one key reason why women, and women of ",ADVANCE Partnership: Ensuring Fair Access to Career-enhancing Opportunities on Medical School Faculties,NSF,POLITICAL,"The term 'women' is used in the context of underrepresentation, diversity, and equity within academic medicine, linking it to social and political issues of fairness and access to opportunities.
"
24,women,"; (2) transparent and equitable policies, (3) information through a longitudinal demographic data dashboard of faculty; and (4) strategic communications. these interventions will focus on inclusive support for gender diversity and intersectional minorities (most visibly, latina and african american women) in hiring, retention, and promotion. the process will adapt evidence-based practices and innovations from sister advance institutions. to aid institutional integration and long-term sustainability, the project team will prioritize practices that will be bootstrapped with advance support and synerg",ADVANCE Adaptation: Enabling Minorities’ Prime Outcomes with Education & Research (EMPOWER) at Florida Atlantic University,NSF,POLITICAL,"The term 'women' is used within the context of addressing gender diversity and intersectional minorities, specifically Latina and African American women, in hiring, retention, and promotion, which relates to social equity and political considerations within the institution.
"
25,women,conference: support for conferences and mentoring of women understanding how social systems work as a quantitative empirical phenomenon is vital to the future success of the united states in terms of both its domestic politics and its relations with other countries in the international system. methodology is at the core of social science; this project seek,Conference: Support for Conferences and Mentoring of Women,NSF,POLITICAL,"The grant title and context indicate a focus on supporting women in a specific area, suggesting a social and political consideration related to gender equality and representation.
"
26,women,"ticipate in this endeavor. our aims are to: 1. support three outstanding research projects focusing on addressing heath disparities by  examining the neuropsychiatric effects of hiv-1 integrase inhibitors, risk factors for racial  disparities in adverse perinatal outcomes affecting african american women and  assessment of survivor and provider perception of trauma and violence informed care  among black women. 2. strengthen core technologies and expand bioinformatics, biostatistical, data science, and  core tissue culture services supporting the three research projects, as well as all meharry  res",The RCMI Program in Health Disparities Research at Meharry Medical College,NIH,SCIENTIFIC,"The term 'women' appears in the context of research projects focused on health disparities affecting specific populations (African American women, Black women), indicating a scientific and research-oriented context.
"
27,women,career: advancing stem persistence among graduate women of color through an examination of institutional contributors and deterrents to mental health the faculty early career development (career) program is a national science foundation-wide activity that offers awards in support of early-career faculty who have the potential to serve as academic role m,CAREER: Advancing STEM Persistence among Graduate Women of Color through an Examination of Institutional Contributors and Deterrents to Mental Health,NSF,POLITICAL,"The term 'women' is used in the context of addressing disparities and promoting inclusivity within STEM for a specific demographic group (women of color). This falls under a social, political, and identity context.
"
28,women,"ative for improved recruitment, retention, and experience (fiirre) project summary diversity enhances creativity and innovation in research, but biomedical research institutions have generally failed to effectively incorporate minoritized groups, such as individuals who identify as people of color, women, and lesbian, gay, bisexual, transgender, or queer/questioning (lgbtq) persons. earlier diversity efforts focused exclusively on intensified recruitment of minoritized faculty, mentoring, and training, but many institutions did not sustain their success because of insufficient change in institution","Faculty Initiative for Improved Recruitment, Retention, and Experience (FIIRRE)",NIH,POLITICAL,"The term 'women' is used in the context of diversity and inclusion initiatives, specifically highlighting the underrepresentation of women in biomedical research institutions. This aligns with a focus on social and political identities and the need for equitable representation.
"
29,women,"se, and enhance diversity in bioengineering. sb3c is a student-focused conference, with students typically comprising over 50% of attendees. students at all levels can participate in the student paper competition; network with established investigators at the diversity mentor-mentee workshop or the women’s networking event; and enjoy social interactions with peers through activities organized by the student leadership committee. sb3c awards diversity travel grants to enable students from underrepresented groups in biomechanics to attend the conference and keeps student registration fees low by seek","Summer Biomechanics, Bioengineering, and Biotransport Conference",NIH,POLITICAL,"The term 'women' is used in the context of a ""women's networking event,"" which aims to address gender representation and equity, indicating a focus on social/political identity.
"
30,women,"lation sizes, privatization, property, prospective cohort, race, regulation, reporting, research personnel, retirement, rice, risk, rural population, smoking, socioeconomic status, soil, source, southeastern asia, stroke, system, testing, time, uranium, water, water pollutants, water supply, woman, women', s cohort, administrative database, cardiovascular disorder risk, cardiovascular risk factor, comorbidity, demographics, dietary, drinking water, endothelial dysfunction, epidemiology study, ground water, insight, lifestyle factors, mortality, nephrotoxicity, novel, prospective, recruit, renal dam","Long-term exposure to arsenic, and the co-occurrence of uranium, in public and private drinking water: associations with cardiovascular and chronic kidney diseases in the California Teachers Study",NIH,SCIENTIFIC,"The term ""women's cohort"" suggests its usage in the context of a scientific study focusing on a specific demographic group.
"
31,women,"nsf includes ddlp: wisen - supporting minoritized women students in stem, cultivating pathways using mentoring networks the women in stem education network (wisen) is a co-mentoring network for historically underrepresented and marginalized graduate and undergraduate women students in stem. this includes design and development launch pilot project engag","NSF INCLUDES DDLP: WiSEN - Supporting Minoritized Women Students in STEM, Cultivating Pathways Using Mentoring Networks",NSF,POLITICAL,"The term 'women' refers to a specific group (minoritized, underrepresented, marginalized) within STEM, highlighting issues of social justice and equity, which falls under a political context.
"
32,women,"ummary black men, especially black sexual minority men (smm), are negatively affected by health and healthcare disparities: they show worse outcomes for preventable conditions and preventable complications from chronic conditions, and are less likely to engage with healthcare than are white men and women. moreover, black smm display strikingly high rates of hiv and other sexually transmitted infections. based on evidence-based theory that discrimination contributes meaningfully to disparities, we propose to conduct a randomized controlled trial (rct) of an 8-session culturally congruent cognitive b","Still Climbin': A Randomized Controlled Trial of an Intervention to Improve Coping with Discrimination, Address Medical Mistrust, and Reduce Health Disparities among Black Sexual Minority Men",NIH,SCIENTIFIC,"The term 'women' is used in comparison to the health outcomes and healthcare engagement of Black sexual minority men, establishing a baseline for disparity analysis within a scientific study focused on health disparities.
"
33,women,"arriers to accessing health care are remarkably high. in nigeria, where the university of maryland, the johns hopkins university, and the u.s. military hiv research program have worked with sgm since 2012, 70% of sgm in the trust/rv368 study (84% men who have sex with men and 16% self-identified as women) experience a moderate-to-severe level of stigma related to discriminatory policies, and social norms that leads to avoidance of hiv care. prior to this proposal, we conducted a cross-sectional preliminary analysis, which suggested that stigma and depression are associated with clusters of cardiome","Synergistic epidemics of non-communicable diseases, stigma, depression, and material insecurities among sexual and gender minorities living with HIV in Nigeria",NIH,POLITICAL,"The term ""women"" is used as part of the description of ""sexual and gender minorities (SGM),"" specifying a subgroup within that population. The context relates to social identities and experiences of discrimination, which falls under a political/social context.
"
34,women,"ulty.  fielding graduate university, in collaboration with gpra strategic management, inc., addresses the hbcu-up’s priority of supporting leadership and professional development of hbcu faculty.  more specifically, the pis’ project seeks to establish a leadership program that supports hbcu and hsi women of color in science, technology, engineering, and mathematics (stem) fields.    the project (1) gives rise to a leadership development curriculum that attends to the projected changes in leadership development; (2) generates a safe, brave leadership development space for diverse academic stem leade",PLUS ME: A Novel Professional Development Approach for HBCU STEM Faculty,NSF,POLITICAL,"The term 'women' is used in the context of supporting leadership and professional development of HBCU and HSI women of color, highlighting a focus on equity and representation, indicating a social, political, or identity context.
"
35,women,"alcohol-involved sexual assault among bisexual women: disentangling mechanisms of risk at individual, interpersonal, and structural levels across the lifespan project summary/abstract the purpose of this mentored research scientist development award (k01) is to help the candidate, dr. jessie ford, become an independent researcher focused on identifyi","Alcohol-Involved Sexual Assault among Bisexual Women: Disentangling Mechanisms of Risk at Individual, Interpersonal, and Structural Levels Across the Lifespan",NIH,SCIENTIFIC,"The term 'women' is used to define a specific population group (bisexual women) within the scope of a scientific research project investigating alcohol-involved sexual assault and its risk factors.
"
36,women,"collaborative research: sei: creating a lasting legacy - scaling a peer-learning community model to provide ap cs preparation and career awareness for black young women careers in computer science (cs) related areas represent many of the best-paid jobs in the nation. however, black women comprise less than 1% of the workforce at the most popular u.s. software companies. low participation of black students in cs areas is often attributed to a lack of “preparatory p",Collaborative Research: SEI: Creating a Lasting LEGACY - Scaling a Peer-learning Community Model to Provide AP CS Preparation and Career Awareness for Black Young Women,NSF,POLITICAL,"The term 'women' (specifically 'Black young women' and 'Black women') is used in the context of addressing disparities in representation within the computer science workforce, highlighting a social and political issue related to diversity and inclusion.
"
37,women,"the agep florida alliance model: improving minority women success in stem faculty careers this collaborative research project brings together the university of south florida, florida memorial university, bethune-cookman university, florida international university and florida agricultural and mechanical university to form the agep florida alliance model p",The AGEP Florida Alliance Model: Improving Minority Women Success in STEM Faculty Careers,NSF,POLITICAL,"The term ""women"" is used in the context of addressing disparities and promoting success for a specific demographic group (minority women) within STEM faculty careers. This indicates a focus on social equity and representation, aligning with a political context.
"
38,women,"mentoring clinical investigators in patient-oriented research on substance use and hiv project summary/abstract transgender women have some of the highest rates of hiv in the world and are the highest hiv risk group in the united states and brazil. transgender women experience multiple stigmas that complicate their access to and adherence to healthcare, resulting in intersectional stigma and negative health outcomes. intersec",Mentoring clinical investigators in patient-oriented research on substance use and HIV,NIH,POLITICAL,"The term 'women' is used in reference to transgender women and their experiences with stigma, healthcare access, and health outcomes, which are inherently tied to social, political, and identity contexts.
"
39,women,"silos: structural inequities across layers of social-context as drivers of hiv and substance use project summary racial, ethnic, and sexual and gender minority populations are disproportionately impacted by hiv and substance use, with black men who have sex with men (bmsm) and black transgender women (tw) bearing a disproportionate burden. however, researchers have yet to synthesize a rigorous and holistic view of how individual and complex factors interact to produce health disparities among minority populations. therefore, understanding the drivers of health disparities requires a novel appro",SILOS: Structural Inequities across Layers Of Social-Context as Drivers of HIV and Substance Use,NIH,POLITICAL,"The term ""women"" appears in the phrase ""black transgender women (tw),"" which refers to a specific social identity group experiencing health disparities. This highlights a focus on social inequities and identity-based health outcomes, indicating a political context.
"
